,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Beyaz Peynir,Carrefour Taze Beyaz Peynir 200 Gr,Carrefour,"Peynır, Gıda, Self Servıs, Eritme Peynir",carrefour,Istanbul Esenler Esprı Süper,43.5,2025-05-03 10:16,0
Beyaz Peynir,Pınar Sürülebilir Beyaz Peynir 180 Gr,Pınar,"Krem Peynirler, Peynır, Gıda, Krem Peynir, Peynir-günlük Servis, Self Servıs, Süt Ve Süt Ürünleri, Beyaz Peynir, Krem Peyn, Eritme Peynir, Eri̇tme Peyni̇r, Süt Ve Sütlü Mamüller, Peynir Paket, Sürülebi̇li̇r Peyni̇r, Sürülebilir Beyaz, Peynir Günlük Servis Ve Katı Yağ, Sürülebilir Peynir, Taze Peynir",hakmar,Selimpaşa  Üsküdar,59.0,2025-05-03 10:16,0
Beyaz Peynir,Pınar Sürülebilir Beyaz Peynir 180 Gr,Pınar,"Krem Peynirler, Peynır, Gıda, Krem Peynir, Peynir-günlük Servis, Self Servıs, Süt Ve Süt Ürünleri, Beyaz Peynir, Krem Peyn, Eritme Peynir, Eri̇tme Peyni̇r, Süt Ve Sütlü Mamüller, Peynir Paket, Sürülebi̇li̇r Peyni̇r, Sürülebilir Beyaz, Peynir Günlük Servis Ve Katı Yağ, Sürülebilir Peynir, Taze Peynir",a101,Çukurçeşme Gaziosmanpaşa Istanbul,59.0,2025-05-03 10:16,0
Beyaz Peynir,Pınar Sürülebilir Beyaz Peynir 180 Gr,Pınar,"Krem Peynirler, Peynır, Gıda, Krem Peynir, Peynir-günlük Servis, Self Servıs, Süt Ve Süt Ürünleri, Beyaz Peynir, Krem Peyn, Eritme Peynir, Eri̇tme Peyni̇r, Süt Ve Sütlü Mamüller, Peynir Paket, Sürülebi̇li̇r Peyni̇r, Sürülebilir Beyaz, Peynir Günlük Servis Ve Katı Yağ, Sürülebilir Peynir, Taze Peynir",sok,Gop Sarıgöl,59.5,2025-05-03 10:16,0
Beyaz Peynir,Pınar Sürülebilir Beyaz Peynir 180 Gr,Pınar,"Krem Peynirler, Peynır, Gıda, Krem Peynir, Peynir-günlük Servis, Self Servıs, Süt Ve Süt Ürünleri, Beyaz Peynir, Krem Peyn, Eritme Peynir, Eri̇tme Peyni̇r, Süt Ve Sütlü Mamüller, Peynir Paket, Sürülebi̇li̇r Peyni̇r, Sürülebilir Beyaz, Peynir Günlük Servis Ve Katı Yağ, Sürülebilir Peynir, Taze Peynir",migros,Avasköy Bayrampaşa M Migros,59.5,2025-05-03 10:16,0
Beyaz Peynir,Pınar Sürülebilir Beyaz Peynir 180 Gr,Pınar,"Krem Peynirler, Peynır, Gıda, Krem Peynir, Peynir-günlük Servis, Self Servıs, Süt Ve Süt Ürünleri, Beyaz Peynir, Krem Peyn, Eritme Peynir, Eri̇tme Peyni̇r, Süt Ve Sütlü Mamüller, Peynir Paket, Sürülebi̇li̇r Peyni̇r, Sürülebilir Beyaz, Peynir Günlük Servis Ve Katı Yağ, Sürülebilir Peynir, Taze Peynir",carrefour,Istanbul Bayrampaşa Forum Hıpe,64.5,2025-05-03 10:16,0
Beyaz Peynir,Teksüt Süzme Beyaz Peynir 500 gr,Teksüt,"Peynir Paket, Peynir Günlük Servis Ve Katı Yağ, 0206-süzme Peyni̇rler, 020602-süzme Peynirler, Kültürlü Peynir, 02-sütlü Mamuller, Beyaz Peyni̇r",bim,Bağlarbaşıgaziosmanpaşa,79.0,2025-05-03 10:16,0
Beyaz Peynir,Mis Az Yağlı Beyaz Peynir 500 Gr,Mis,"Lıght Beyaz Peynir, Peynir-günlük Servis, Beyaz Peynir, Kültürlü Peyni̇r",sok,Gop Kızılay,86.9,2025-05-03 10:16,0
Beyaz Peynir,Migros Az Yağlı Beyaz Peynir 500 gr,Migros,"Pl Beyaz Peyni̇r, Pl Peynir Paket, Pl Kültürlü Peynir, Pl Peynir Günlük Servis Ve Katı Yağ",migros,Avasköy Bayrampaşa M Migros,86.95,2025-05-03 10:16,0
Beyaz Peynir,Sütaş Tam Yağlı Beyaz Peynir 500 Gr,Sütaş,"Peynir Paket, Peynir-günlük Servis, Peynir Günlük Servis Ve Katı Yağ, Beyaz Peynir, Kültürlü Peynir, Beyaz Peyni̇r, Kültürlü Peyni̇r",sok,Gop Kızılay,99.0,2025-05-03 10:16,0
