,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Kek,Peki Meyveli Kek 40 gr,Peki,"Kek, Atıştırmalık, Mini Kek",sok,Gop Kızılay,5.0,2025-05-03 10:16,0
Kek,Peki Mozaik Kek 40 gr,Peki,"Kek, Atıştırmalık, Mini Kek",sok,Gop Kızılay,5.0,2025-05-03 10:16,0
Kek,Peki Kakaolu Kek 40 gr,Peki,"Kek, Atıştırmalık, Mini Kek",sok,Gop Kızılay,5.0,2025-05-03 10:16,0
Kek,Kek Meyveli 45 Gr Casey,Casey,"0702-kekler, 07-bisküvi-çikolata., 070201-sade Kek",bim,Bağlarbaşıgaziosmanpaşa,5.5,2025-05-03 10:16,0
Kek,Torku Kakaolu Fındıklı Kek 35 Gr,Torku,"Kek, Gıda, Atıştırmalık, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek",tarim_kredi,Istanbul Bayrampaşa,6.9,2025-05-03 10:16,0
Kek,Peki Redlove Kırmızı Kek 50 gr,Peki,"Kek, Atıştırmalık, Mini Kek",sok,Gop Kızılay,7.0,2025-05-03 10:16,0
Kek,Kek Çikolatalı & çilekli 55 gr 8 Kek,Ülker,"Tatlı Bisküvi Kek Gofret, Gıda, Bi̇sküvi̇, Kek Ve Mamalar, Bisküvi Ve Çikolata, 170705-kremalı Kek, 17-grup Spot, Kek, Kuru Gıdalar, Kekler, Bi̇sküvi̇ler, 1707-bi̇sküvi̇-çi̇kolata, Dolgulu Kekler, Mini Kek",bim,Bağlarbaşıgaziosmanpaşa,7.0,2025-05-03 10:16,0
Kek,Kek Meyveli 40 gr Topkek Eti,Eti,"Tatlı Bisküvi Kek Gofret, Gıda, 0702-kekler, Atıştırmalık, Bisküvi Ve Çikolata, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Bisküvi,şekerleme,mamalar Ve Sağlık Ürün, 07-bisküvi-çikolata., Küçük Kekler, 070201-sade Kek, Kek, Kuru Gıdalar, Kekler, Küçük Kek, Bi̇sküvi̇ler, Mini Kek",bim,Bağlarbaşıgaziosmanpaşa,7.75,2025-05-03 10:16,0
Kek,Kek Meyveli 40 gr Topkek Eti,Eti,"Tatlı Bisküvi Kek Gofret, Gıda, 0702-kekler, Atıştırmalık, Bisküvi Ve Çikolata, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Bisküvi,şekerleme,mamalar Ve Sağlık Ürün, 07-bisküvi-çikolata., Küçük Kekler, 070201-sade Kek, Kek, Kuru Gıdalar, Kekler, Küçük Kek, Bi̇sküvi̇ler, Mini Kek",hakmar,Selimpaşa  Üsküdar,7.75,2025-05-03 10:16,0
Kek,Kek Meyveli 40 gr Topkek Eti,Eti,"Tatlı Bisküvi Kek Gofret, Gıda, 0702-kekler, Atıştırmalık, Bisküvi Ve Çikolata, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Bisküvi,şekerleme,mamalar Ve Sağlık Ürün, 07-bisküvi-çikolata., Küçük Kekler, 070201-sade Kek, Kek, Kuru Gıdalar, Kekler, Küçük Kek, Bi̇sküvi̇ler, Mini Kek",tarim_kredi,Istanbul Gop Market,7.9,2025-05-03 10:16,0
