,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km,sourceLat,sourceLng
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Konurçankaya,4.5,2025-05-03 10:16,0,39.92077,32.85411
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Şehitler  Gaziantep,4.5,2025-05-03 10:16,0,37.06622,37.38332
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Meydan  Trabzon,4.5,2025-05-03 10:16,0,41.0,39.7333333
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Dere  Konak,4.5,2025-05-03 10:16,0,38.41885,27.12872
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Ulucami  Osmangazi  Bursa,4.5,2025-05-03 10:16,0,40.18257,29.06687
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Yüzüncüyıl  Ilkadım  Samsun,4.5,2025-05-03 10:16,0,41.292782,36.33128
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Çifte Minareseyhanadana,4.5,2025-05-03 10:16,0,37.0,35.3213333
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,100yıl  Kırıkhan  Hatay,4.5,2025-05-03 10:16,0,36.4018488,36.3498097
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Hat Boyutepebaşıeskişehir,4.5,2025-05-03 10:16,0,39.784302,30.51922
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Ardamanisa,4.5,2025-05-03 10:16,0,38.619099,27.428921
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Dibek  Artuklu  Mardin,4.5,2025-05-03 10:16,0,37.3122361,40.735112
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Barguzu  Yeşilyurt  Malatya,4.5,2025-05-03 10:16,0,38.35519,38.30946
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Kızılsaray  Antalya,4.5,2025-05-03 10:16,0,36.88414,30.70563
Kraker,Sade Badem Kraker 38g Ülker,Ülker,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, 170719-sade Krakerler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, Bi̇sküvi̇ler",bim,Gevher Nesibe  Kayseri,4.5,2025-05-03 10:16,0,38.7333333,35.4833333
