,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Şehriye,Carrefour Arpa Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Istanbul Esenler Esprı Süper,12.75,2025-05-02 10:14,0
Şehriye,Tel Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Bağlarbaşıgaziosmanpaşa,12.75,2025-05-02 10:14,0
Şehriye,Makarna Arpa Şehriye 500 gr Bendo,Bendo,"Makarnalar, Bakli̇yat Ve Kuru Gıdalar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,12.75,2025-05-02 10:14,0
Şehriye,Makarna Tel Şehriye 500 gr Bendo,Bendo,"Makarnalar, Bakli̇yat Ve Kuru Gıdalar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,12.75,2025-05-02 10:14,0
Şehriye,Piyale Tel Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Gop Kızılay,12.75,2025-05-02 10:14,0
Şehriye,Arpa Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Bağlarbaşıgaziosmanpaşa,12.75,2025-05-02 10:14,0
Şehriye,Piyale Arpa Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Gop Kızılay,12.75,2025-05-02 10:14,0
Şehriye,Carrefour Tel Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Istanbul Esenler Esprı Süper,12.75,2025-05-02 10:14,0
Şehriye,Migros Arpa Şehriye 500 gr .,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Avasköy Bayrampaşa M Migros,12.95,2025-05-02 10:14,0
Şehriye,Migros Tel Şehriye 500 gr,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Avasköy Bayrampaşa M Migros,12.95,2025-05-02 10:14,0
Şehriye,Makarna Arpa Şehriye 500 gr Oba,Oba,"Makarnalar, Bakli̇yat Ve Kuru Gıdalar",a101,Sarıgöl Gaziosmanpaşa Istanbul,16.5,2025-05-02 10:14,0
Şehriye,Tarım Kredi Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Istanbul Bayrampaşa,19.9,2025-05-02 10:14,0
Şehriye,Tarım Kredi Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Istanbul Bayrampaşa,19.9,2025-05-02 10:14,0
Şehriye,Filiz Tel Şehriye 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",carrefour,Istanbul Vıa Venezıa Süper,22.0,2025-05-02 10:14,0
