,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Bal,Pınar Bal Çiçek Pratik Kahvaltı 20 gr,Pınar,"Gıda, Self Servıs, Günlük, Ballar",carrefour,Istanbul Bayrampaşa Forum Hıpe,12.95,2025-05-03 10:16,0
Bal,Mısır Cipsi Bal & hardal Aromalı 200 gr Party,Party,"050102-mısır Cipsi, 05-kuruyemiş, 0501-ci̇ps",bim,Bağlarbaşıgaziosmanpaşa,32.0,2025-05-03 10:16,0
Bal,Ulak Çik.süt.kare Bal Badem Kroka.60gx6x6,Ülker,"Tablet Çıkolatalar, Kuru Gıdalar, Gıda, Sekerleme",carrefour,Istanbul Bayrampaşa Forum Hıpe,50.0,2025-05-03 10:16,0
Bal,Keçi burnu Bisküvi Lokmacık Kurabiye Yulaflı - bal,Markasız,"Kuru Pasta Kek Çeşitleri, Pasta-ekmek, Taze Gıdalar, Kurabıyeler",carrefour,Istanbul Bayrampaşa Forum Hıpe,86.95,2025-05-03 10:16,0
Bal,Süzme Bal Çiçek 460 gr Sivas Birlik,Sivas Birlik,"Kahvaltılık Ürünler, Süzme Ballar, Süzme Bal",hakmar,Selamlıüsküdar,99.5,2025-05-03 10:16,0
Bal,Bal Çam 460 gr Kozan Kooperatif,Kozan Kooperatif,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Bağlarbaşıgaziosmanpaşa,99.5,2025-05-03 10:16,0
Bal,Hope Saç Boyası 8.3 Bal Köpüğü,Hope,"Kozmetik, Saç Boyası, Set Boya, Saç Bakım",sok,Gop Kızılay,99.75,2025-05-03 10:16,0
Bal,Bal Çam 460 gr Balçiçek,Balçiçek,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Bağlarbaşıgaziosmanpaşa,113.0,2025-05-03 10:16,0
Bal,Balparmak Apitera Propolis + Bal 7x7 gr,Balparmak,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Bal Ürünleri̇, Gıda, Kahvaltılıklar, Apiterapi Sağlık Ürünleri, Ballar-tahın Pekmez, Ballar, Çiçek Balı",carrefour,Istanbul Bayrampaşa Forum Hıpe,143.92,2025-05-03 10:16,0
Bal,Petek Bal 430 gr Kızıldağ İmranlı,Kızıldağ Imranlı,"Kahvaltılık Ürünler, Petek Ballar, Petek Bal",hakmar,Selamlıüsküdar,145.0,2025-05-03 10:16,0
Bal,Yeşil Şef Bal Kabağı Çorbası 500 ml,Yeşilşef,"Gıda, Self Servıs, Günlük, Hazır Yemek",carrefour,Istanbul Bayrampaşa Forum Hıpe,145.25,2025-05-03 10:16,0
Bal,Palette Pnc 8 - 0 Bal Köpüğü,Schwarzkopf,"Yarı Set Boya, Kozmetik, Saç Boyası, Gıda, Saç Boyaları, Saç Bakım Ürünlerı, Parfümerı Ve Hıjyen, Saç Bakım",sok,Gop Kızılay,146.5,2025-05-03 10:16,0
Bal,Palette Pnc 8 - 0 Bal Köpüğü,Schwarzkopf,"Yarı Set Boya, Kozmetik, Saç Boyası, Gıda, Saç Boyaları, Saç Bakım Ürünlerı, Parfümerı Ve Hıjyen, Saç Bakım",carrefour,Istanbul Bayrampaşa Forum Hıpe,149.9,2025-05-03 10:16,0
Bal,Süzme Bal Çiçek 450 gr Anavarza,Anavarza,"Kahvaltılık Ürünler, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Bal Ürünleri̇, Süzme Ballar, Kahvaltılıklar, Ballar-tahın Pekmez, Süzme Bal, Bal, Çicek Balları, Çiçek Balı",hakmar,Selimpaşa  Üsküdar,169.0,2025-05-03 10:16,0
Bal,Nesfit Bal Badem 480 gr Promosyon,Nesfit,"Kuru Gıdalar, Gıda, Kahvaltılıklar, Gevr Müsli Ve Granol",carrefour,Istanbul Esenler Esprı Süper,169.5,2025-05-03 10:16,0
Bal,Balparmak Apitera Propolis + Bal 7x7 gr,Balparmak,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Bal Ürünleri̇, Gıda, Kahvaltılıklar, Apiterapi Sağlık Ürünleri, Ballar-tahın Pekmez, Ballar, Çiçek Balı",migros,Bayrampaşa Pashador Mm Migros,178.95,2025-05-03 10:16,0
Bal,Arıvital Yayla Petek Bal 520 Gr,Arıvital,"Gıda, Bal-helva-reçel-krema-ezme, Şarküteri-kahvaltılık, Petek Bal",tarim_kredi,Istanbul Bayrampaşa,179.9,2025-05-03 10:16,0
Bal,Süzme Bal Çiçek 450 gr Anavarza,Anavarza,"Kahvaltılık Ürünler, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Bal Ürünleri̇, Süzme Ballar, Kahvaltılıklar, Ballar-tahın Pekmez, Süzme Bal, Bal, Çicek Balları, Çiçek Balı",a101,Çukurçeşme Gaziosmanpaşa Istanbul,194.9,2025-05-03 10:16,0
Bal,Süzme Bal Çiçek 450 gr Anavarza,Anavarza,"Kahvaltılık Ürünler, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Bal Ürünleri̇, Süzme Ballar, Kahvaltılıklar, Ballar-tahın Pekmez, Süzme Bal, Bal, Çicek Balları, Çiçek Balı",migros,Avasköy Bayrampaşa M Migros,194.9,2025-05-03 10:16,0
Bal,Bal Çiçek Çıt Kapak 460 gr Balparmak,Balparmak,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Bağlarbaşıgaziosmanpaşa,199.0,2025-05-03 10:16,0
Bal,Süzme Bal Çiçek 850 gr Sivas Birlik,Sivas Birlik,"Kahvaltılık Ürünler, Süzme Ballar, Süzme Bal",hakmar,Selamlıüsküdar,199.5,2025-05-03 10:16,0
Bal,Bal Süzme Çiçek 850 gr Balçiçek,Balçiçek,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Bağlarbaşıgaziosmanpaşa,225.0,2025-05-03 10:16,0
Bal,Petek Bal 900 gr Kızıldağ İmranlı,Kızıldağ Imranlı,"Kahvaltılık Ürünler, Petek Ballar, Petek Bal",hakmar,Selamlıüsküdar,249.0,2025-05-03 10:16,0
Bal,Süzme Bal Çiçek 450 gr Anavarza,Anavarza,"Kahvaltılık Ürünler, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Bal Ürünleri̇, Süzme Ballar, Kahvaltılıklar, Ballar-tahın Pekmez, Süzme Bal, Bal, Çicek Balları, Çiçek Balı",carrefour,Istanbul Bayrampaşa Forum Hıpe,249.9,2025-05-03 10:16,0
