,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Krem Peynir,Krem Peynir Labne 200 gr Aklena,Aklena,"Krem Peynirler, Süt Ve Süt Ürünleri, Krem Peyn",hakmar,Selamlıüsküdar,42.5,2025-05-04 10:16,0
Krem Peynir,Krem Peynir Beyaz 200 gr Aklena,Aklena,"Krem Peynirler, Süt Ve Süt Ürünleri, Krem Peyn",hakmar,Selamlıüsküdar,43.5,2025-05-04 10:16,0
Krem Peynir,Mis Krem Peynir 300 Gr,Mis,"Krem Peynir, Peynir-günlük Servis, Krem Peyni̇r, Eritme Peynir",sok,Gop Kızılay,49.5,2025-05-04 10:16,0
Krem Peynir,Tarsüt Krem Peynir 300 Gr,Tarım Kredi,"Gıda, Peyni̇r, Krem Peynir, Süt Ve Süt Ürünleri",tarim_kredi,Istanbul Bayrampaşa,49.5,2025-05-04 10:16,0
Krem Peynir,Krem Peynir 270 gr Teksüt,Teksüt,"Krem Peynirler, Süt Ve Süt Ürünleri, Krem Peyn",hakmar,Selamlıüsküdar,64.5,2025-05-04 10:16,0
Krem Peynir,La Vache Qui Rit Krem Peynir 140 gr,La Vache Qui Rit,"Peynır, Peynir Paket, Krem Peynir, Gıda, Peynir-günlük Servis, Krem Peyni̇r, Self Servıs, Peynir Günlük Servis Ve Katı Yağ, Eritme Peynir, Eri̇tme Peyni̇r",migros,Mjet Merkez Mh Gop Istanbul,65.0,2025-05-04 10:16,0
Krem Peynir,La Vache Qui Rit Krem Peynir 140 gr,La Vache Qui Rit,"Peynır, Peynir Paket, Krem Peynir, Gıda, Peynir-günlük Servis, Krem Peyni̇r, Self Servıs, Peynir Günlük Servis Ve Katı Yağ, Eritme Peynir, Eri̇tme Peyni̇r",carrefour,Istanbul Bayrampaşa Forum Hıpe,65.0,2025-05-04 10:16,0
Krem Peynir,İçim Krem Peynir 300 Gr,Ülker,"Peynır, Peynir Paket, Gıda, Peyni̇r, Krem Peynir, Peynir Günlük Servis Ve Katı Yağ, Self Servıs, Süt Ve Süt Ürünleri, Eri̇tme Peyni̇r, Eritme Peynir",tarim_kredi,Istanbul Bayrampaşa,72.5,2025-05-04 10:16,0
Krem Peynir,İçim Krem Peynir 300 Gr,Ülker,"Peynır, Peynir Paket, Gıda, Peyni̇r, Krem Peynir, Peynir Günlük Servis Ve Katı Yağ, Self Servıs, Süt Ve Süt Ürünleri, Eri̇tme Peyni̇r, Eritme Peynir",migros,Bayrampaşa Pashador Mm Migros,73.9,2025-05-04 10:16,0
Krem Peynir,Pınar Krem Peyniri 300 gr,Pınar,"Peynır, Peynir Paket, Krem Peynir, Gıda, Peynir Günlük Servis Ve Katı Yağ, Self Servıs, Eri̇tme Peyni̇r, Eritme Peynir",migros,Bayrampaşa Pashador Mm Migros,74.25,2025-05-04 10:16,0
