,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Ay Çekirdeği,Iç Ay Çekirdeği 100 gr Simbat,Simbat,"17-grup Spot, 1705-kuruyemi̇ş, 170505-kuruyemiş",bim,Bağlarbaşıgaziosmanpaşa,12.0,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş İç Ay çekirdeği 100 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Iç Ayçekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,13.5,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Yerli Ay çekirdeği Dakota 120 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,15.0,2025-05-05 10:15,0
Ay Çekirdeği,Carrefour Siyah Ay Çekirdek 250 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Çekirdek",carrefour,Istanbul Esenler Esprı Süper,29.9,2025-05-05 10:15,0
Ay Çekirdeği,Tarım Kredi Ay Çekirdeği Kavrulmuş Az Tuzlu Siyah Y. D. 180 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve, Ay Çekirdeği",tarim_kredi,Istanbul Bayrampaşa,32.9,2025-05-05 10:15,0
Ay Çekirdeği,Tarım Kredi Ay Çekirdeği Kavrulmuş Tuzsuz Siyah Y. D. 180 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve, Ay Çekirdeği",tarim_kredi,Istanbul Bayrampaşa,32.9,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Yerli Ay çekirdeği Dakota 400 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,37.5,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Yerli Bol tuzlu Ay çekirdeği Dakota 400 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Sarıgöl Gaziosmanpaşa Istanbul,37.5,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Ay çekirdek Bol tuzlu Dakota 180 gr Tadım,Tadım,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,38.0,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Ay çekirdek Dakota 180 gr Tadım,Tadım,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,38.0,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Ay çekirdeği tuzsuz Dakota 250 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,46.5,2025-05-05 10:15,0
Ay Çekirdeği,Rice Up Ay Çekirdeği Prinç Patlağıatlağı 120 gr,Rice Up,"Kuru Gıdalar, Gıda, Tuzlu Biskuviler, Bi̇sküvi̇ler",carrefour,Istanbul Esenler Esprı Süper,46.5,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Ay çekirdek Dakota 250 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,46.5,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Ay çekirdeği tuzsuz Dakota 400 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,69.5,2025-05-05 10:15,0
Ay Çekirdeği,Kuruyemiş Ay çekirdek Dakota 400 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Ay Çekirdeği",a101,Çukurçeşme Gaziosmanpaşa Istanbul,69.5,2025-05-05 10:15,0
Ay Çekirdeği,Tarım Kredi Ay Çekirdeği Kavrulmuş Az Tuzlu Siyah Y. D. 500 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve, Ay Çekirdeği",tarim_kredi,Istanbul Bayrampaşa,69.9,2025-05-05 10:15,0
Ay Çekirdeği,Tarım Kredi Ay Çekirdeği Kavrulmuş Tuzsuz Siyah Y. D. 500 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve, Ay Çekirdeği",tarim_kredi,Istanbul Bayrampaşa,69.9,2025-05-05 10:15,0
