,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Kuru Soğan,Soğan ,Markasız,"Normal Se, 10-meyve Sebze, Meyve Ve Sebzeler, 1001-meyve Sebzeler, Soğan, Sebze, 100102-karpuz, Normal Sebzeler",hakmar,Selamlıüsküdar,12.95,2025-05-07 10:15,0
Kuru Soğan,Soğan ,Markasız,"Normal Se, 10-meyve Sebze, Meyve Ve Sebzeler, 1001-meyve Sebzeler, Soğan, Sebze, 100102-karpuz, Normal Sebzeler",a101,Çukurçeşme Gaziosmanpaşa Istanbul,15.5,2025-05-07 10:15,0
Kuru Soğan,Soğan ,Markasız,"Normal Se, 10-meyve Sebze, Meyve Ve Sebzeler, 1001-meyve Sebzeler, Soğan, Sebze, 100102-karpuz, Normal Sebzeler",bim,Bağlarbaşıgaziosmanpaşa,15.5,2025-05-07 10:15,0
Kuru Soğan,Soğan Yeşil Demet ,Sivas Birlik,"Yeşillikler, Meyve Ve Sebzeler, Yeşillikl",hakmar,Selamlıüsküdar,19.95,2025-05-07 10:15,0
Kuru Soğan,Soğan Halka 450 Gr Feast -  - 18,Markasız,"110902-kaplamalı Ürünler, Dondurulmus Gıda, Gıda, Sebzeler, Self Servıs, Dondurma Ve Dondurulmuş Ürünler, Dondurulmuş Ürünler, Donuk Sebze, 1109-dondurulmuş Patates & Kaplamalı Ürünler, Donuk Hızlı Yemek, Donuk Seb, Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Dondurulmuş, Diğer Dondurulmuş, 11-dondurulmuş Ürünler",bim,Bağlarbaşıgaziosmanpaşa,34.5,2025-05-07 10:15,0
Kuru Soğan,Soğan Halka 450 Gr Feast -  - 18,Markasız,"110902-kaplamalı Ürünler, Dondurulmus Gıda, Gıda, Sebzeler, Self Servıs, Dondurma Ve Dondurulmuş Ürünler, Dondurulmuş Ürünler, Donuk Sebze, 1109-dondurulmuş Patates & Kaplamalı Ürünler, Donuk Hızlı Yemek, Donuk Seb, Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Dondurulmuş, Diğer Dondurulmuş, 11-dondurulmuş Ürünler",a101,Çukurçeşme Gaziosmanpaşa Istanbul,36.5,2025-05-07 10:15,0
Kuru Soğan,Soğan Halka 450 Gr Feast -  - 18,Markasız,"110902-kaplamalı Ürünler, Dondurulmus Gıda, Gıda, Sebzeler, Self Servıs, Dondurma Ve Dondurulmuş Ürünler, Dondurulmuş Ürünler, Donuk Sebze, 1109-dondurulmuş Patates & Kaplamalı Ürünler, Donuk Hızlı Yemek, Donuk Seb, Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Dondurulmuş, Diğer Dondurulmuş, 11-dondurulmuş Ürünler",hakmar,Selimpaşa  Üsküdar,36.5,2025-05-07 10:15,0
Kuru Soğan,Kırmızı Soğan,Markasız,"Sebzeler, Soğan, Patates Soğan",sok,Gop Kızılay,49.9,2025-05-07 10:15,0
Kuru Soğan,Soğan Halka 450 Gr Feast -  - 18,Markasız,"110902-kaplamalı Ürünler, Dondurulmus Gıda, Gıda, Sebzeler, Self Servıs, Dondurma Ve Dondurulmuş Ürünler, Dondurulmuş Ürünler, Donuk Sebze, 1109-dondurulmuş Patates & Kaplamalı Ürünler, Donuk Hızlı Yemek, Donuk Seb, Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Dondurulmuş, Diğer Dondurulmuş, 11-dondurulmuş Ürünler",tarim_kredi,Istanbul Gop Market,79.9,2025-05-07 10:15,0
Kuru Soğan,Soğan Halka 450 Gr Feast -  - 18,Markasız,"110902-kaplamalı Ürünler, Dondurulmus Gıda, Gıda, Sebzeler, Self Servıs, Dondurma Ve Dondurulmuş Ürünler, Dondurulmuş Ürünler, Donuk Sebze, 1109-dondurulmuş Patates & Kaplamalı Ürünler, Donuk Hızlı Yemek, Donuk Seb, Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Dondurulmuş, Diğer Dondurulmuş, 11-dondurulmuş Ürünler",carrefour,Istanbul Bayrampaşa Forum Hıpe,109.9,2025-05-07 10:15,0
