,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Kuzu Eti,Donuk Dana - Kuzu Kıyma 500 Gr Bonfilet,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170146-donuk Kıyma",bim,Bağlarbaşıgaziosmanpaşa,169.0,2025-05-11 10:16,0
Kuzu Eti,Uzman Kasap Dana Kuzu Kıyma 400 gr,Uzman Kasap,"Kırmızı Et Self Servis, Uzman Kasap Kıyma Kuşbaşı",migros,Avasköy Bayrampaşa M Migros,179.0,2025-05-11 10:16,0
Kuzu Eti,Kuzu-dana Kıyma Yağlı 500 gr,Esk,"Kuzu Eti Ürünleri, Tl Yükleme, Kuzu Eti",hakmar,Selamlıüsküdar,299.0,2025-05-11 10:17,0
Kuzu Eti,Eral Kuzu Kokoreç Baharatlı ( kuşbaşı ) 200 gr,Eral,"Et Sakatat, Pişirmeye Hazır Kırmızı Et Ürünleri, Pişirmeye Hazır Et Ürünler, Sakatat",migros,Bayrampaşa Pashador Mm Migros,269.95,2025-05-11 10:16,0
Kuzu Eti,Kuzu Kuşbaşı,Tarım Kredi,"Kuzu Eti Ürünleri, Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Bisküvi,şekerleme,mamalar Ve Sağlık Ürün, Kırmızı Et, Kuzu Eti",hakmar,Selamlıüsküdar,995.0,2025-05-11 10:17,0
Kuzu Eti,Dana & Kuzu İnegöl Köfte 400 Gr Emin,Emin,"011401-köfteler, 0114-kırmızı Et, 01-etli Mamuller",bim,Bağlarbaşıgaziosmanpaşa,189.0,2025-05-11 10:17,0
Kuzu Eti,Dana & Kuzu Izgara Köfte 400 Gr Emin,Emin,"011401-köfteler, 0114-kırmızı Et, 01-etli Mamuller",bim,Bağlarbaşıgaziosmanpaşa,189.0,2025-05-11 10:17,0
Kuzu Eti,Köfte Dana Kuzu Satır 400 Gr Emin,Emin,"011401-köfteler, 0114-kırmızı Et, 01-etli Mamuller",bim,Bağlarbaşıgaziosmanpaşa,189.0,2025-05-11 10:17,0
Kuzu Eti,Köfte Dana Kuru 400 gr Emin,Emin,"011401-köfteler, 0114-kırmızı Et, 01-etli Mamuller",bim,Bağlarbaşıgaziosmanpaşa,189.0,2025-05-11 10:17,0
Kuzu Eti,Dana - kuzu Satır Köfte Map Tabak 400 Gr,Tarım Kredi,"Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Kırmızı Et, Köfte",tarim_kredi,Istanbul Bayrampaşa,225.0,2025-05-11 10:17,0
Kuzu Eti,İnci Dana Kuzu Kaşarlı Köfte 500 gr,İnci,"Su Ve Et Ürünleri̇, Et Ürünleri, Dondurma-donuk Ürünler, Dondurulmuş Gıda",sok,Gop Kızılay,250.0,2025-05-11 10:16,0
Kuzu Eti,İnci Dana Kuzu Kasap Köfte 500 gr,İnci,"Su Ve Et Ürünleri̇, Et Ürünleri, Dondurma-donuk Ürünler, Dondurulmuş Gıda",sok,Gop Kızılay,250.0,2025-05-11 10:16,0
