,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Tahin,Tahin Cam 300 gr Gesaş,Gesaş,"1706-kahvaltılıklar, 170615-tahin, 17-grup Spot",bim,Bağlarbaşıgaziosmanpaşa,29.75,2025-05-11 10:16,0
Tahin,Carrefour Tahin 290 Gr,Carrefour,"Kuru Gıdalar, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez",carrefour,Istanbul Esenler Esprı Süper,53.5,2025-05-11 10:17,0
Tahin,Taşkale Tahin Helvası Sade 500 gr,Taşkale,"Sade Helva, Helva/tahin/pekmez, Kahvaltılıklar, Helva",sok,Gop Kızılay,54.5,2025-05-11 10:16,0
Tahin,Gülsan Sade Tahin Helvası 500 gr,Gülsan,"Gıda, Self Servıs, Günlük, Tatlılar",carrefour,Istanbul Bayrampaşa Forum Hıpe,76.9,2025-05-11 10:17,0
Tahin,Tahin Çifte Kavrulmuş 550 gr Metin,Metin,"Kahvaltılıklar, Tahin-pekmez, Tahin",a101,Sarıgöl Gaziosmanpaşa Istanbul,89.5,2025-05-11 10:16,0
Tahin,Gülsan Kakaolu Tahin Helvası 500 gr,Gülsan,"Gıda, Self Servıs, Günlük, Tatlılar",carrefour,Istanbul Bayrampaşa Forum Hıpe,92.0,2025-05-11 10:17,0
Tahin,Tahin Cam 600 gr Şitoğlu,Şitoğlu,"Kahvaltılık Ürünler, Tahinler",hakmar,Selamlıüsküdar,94.5,2025-05-11 10:17,0
Tahin,Tahin 600 gr Hun,Hun,"Kahvaltılıklar, Tahin-pekmez, Tahin",a101,Çukurçeşme Gaziosmanpaşa Istanbul,94.5,2025-05-11 10:17,0
Tahin,Taşkale Tahin 600 gr,Taşkale,"Helva/tahin/pekmez, Kahvaltılıklar, Tahi̇n&pekmez, Tahin",sok,Gop Kızılay,94.5,2025-05-11 10:17,0
Tahin,Carrefour Tahin 600 gr,Carrefour,"Kuru Gıdalar, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez",carrefour,Istanbul Esenler Esprı Süper,94.5,2025-05-11 10:17,0
Tahin,Tahin 600 gr Serel,Serel,"0607-tahi̇n-pekmez, 06-kahvaltılıklar, 060701-tahin",bim,Bağlarbaşıgaziosmanpaşa,94.5,2025-05-11 10:17,0
Tahin,Migros Tahin 600 gr,Migros,"Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Helva Tahi̇n Pekmez, Pl Kahvaltılıklar, Pl Tahin",migros,Avasköy Bayrampaşa M Migros,94.5,2025-05-11 10:16,0
Tahin,Koska 300 Gr Tahin,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Helva Tahi̇n Pekmez, Tahin",migros,Avasköy Bayrampaşa M Migros,94.9,2025-05-11 10:16,0
Tahin,Tarım Kredi Tahin 600 Gr,Tarım Kredi,"Gıda, Şarküteri-kahvaltılık, Tahin, Tahi̇n-pekmez",tarim_kredi,Istanbul Bayrampaşa,95.0,2025-05-11 10:17,0
Tahin,Tahin 1000 gr Pet İnci,İnci,"1706-kahvaltılıklar, 170615-tahin, 17-grup Spot",bim,Bağlarbaşıgaziosmanpaşa,99.0,2025-05-11 10:16,0
Tahin,Humm Organik Tahin Pekmez Kurabiye,Humm,"Bebek Atıştırmalık, Kuru Gıdalar, Hazır Mama Yemek Ve İçecek, Gıda, Organik Bisküviler, Kağıt Ve Bebek Ürünleri, Bebek Ürünleri, Organi̇k Ve Özel Beslenme",migros,Avasköy Bayrampaşa M Migros,99.95,2025-05-11 10:16,0
Tahin,Koska 300 Gr Tahin,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Helva Tahi̇n Pekmez, Tahin",carrefour,Istanbul Bayrampaşa Forum Hıpe,116.25,2025-05-11 10:16,0
Tahin,Tahin Kulplu 1000 gr Serel,Serel,"1706-kahvaltılıklar, 170615-tahin, 17-grup Spot",bim,Bağlarbaşıgaziosmanpaşa,125.0,2025-05-11 10:16,0
Tahin,Koska Tahin Helvası Sade 500 gr,Koska,"Sade Helva, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Helva Sade, Gıda, Helva/tahin/pekmez, Kahvaltılıklar, Self Servıs, Günlük, Helva Tahi̇n Pekmez, Helva, Tatlılar",sok,Gop Sarıgöl,137.75,2025-05-11 10:16,0
Tahin,Koska Tahin Helvası Sade 500 gr,Koska,"Sade Helva, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Helva Sade, Gıda, Helva/tahin/pekmez, Kahvaltılıklar, Self Servıs, Günlük, Helva Tahi̇n Pekmez, Helva, Tatlılar",carrefour,Istanbul Bayrampaşa Forum Hıpe,137.75,2025-05-11 10:16,0
Tahin,Koska Tahin Helvası Sade 500 gr,Koska,"Sade Helva, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Helva Sade, Gıda, Helva/tahin/pekmez, Kahvaltılıklar, Self Servıs, Günlük, Helva Tahi̇n Pekmez, Helva, Tatlılar",migros,Karadolap Istanbul M Migros,137.75,2025-05-11 10:16,0
Tahin,Tahin Pekmez 350 gr Koska,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Tahin Pekmez Set, Kahvaltılıklar, Ballar-tahın Pekmez, Pekmez, Tahin-pekmez, Helva Tahi̇n Pekmez",carrefour,Istanbul Bayrampaşa Forum Hıpe,139.75,2025-05-11 10:17,0
Tahin,Tahin Pekmez 350 gr Koska,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Tahin Pekmez Set, Kahvaltılıklar, Ballar-tahın Pekmez, Pekmez, Tahin-pekmez, Helva Tahi̇n Pekmez",migros,Avasköy Bayrampaşa M Migros,140.95,2025-05-11 10:17,0
Tahin,Tahin 1000 gr Metin,Metin,"Kahvaltılıklar, Tahin-pekmez, Tahin",a101,Çukurçeşme Gaziosmanpaşa Istanbul,145.0,2025-05-11 10:16,0
Tahin,Tahin 1000 gr Torku,Torku,"Kahvaltılıklar, Tahin-pekmez, Tahin",a101,Çukurçeşme Gaziosmanpaşa Istanbul,179.0,2025-05-11 10:17,0
Tahin,Torku Tahin 600 gr,Torku,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kahvaltılıklar, Helva Tahi̇n Pekmez, Tahin",migros,Bayrampaşa Pashador Mm Migros,184.5,2025-05-11 10:16,0
Tahin,Koska 550 Gr Tahin,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Helva/tahin/pekmez, Kahvaltılıklar, Ballar-tahın Pekmez, Helva Tahi̇n Pekmez, Tahin, Tahi̇n&pekmez",sok,Gop Kızılay,194.0,2025-05-11 10:16,0
Tahin,Koska 550 Gr Tahin,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Helva/tahin/pekmez, Kahvaltılıklar, Ballar-tahın Pekmez, Helva Tahi̇n Pekmez, Tahin, Tahi̇n&pekmez",migros,Avasköy Bayrampaşa M Migros,194.25,2025-05-11 10:16,0
Tahin,Koska 550 Gr Tahin,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Helva/tahin/pekmez, Kahvaltılıklar, Ballar-tahın Pekmez, Helva Tahi̇n Pekmez, Tahin, Tahi̇n&pekmez",carrefour,Istanbul Esenler Esprı Süper,196.25,2025-05-11 10:16,0
Tahin,Tahin 1000 gr Seyidoğlu,Seyidoğlu,"Kahvaltılıklar, Tahin-pekmez, Tahin",a101,Çukurçeşme Gaziosmanpaşa Istanbul,219.0,2025-05-11 10:16,0
Tahin,Sade Organik Tahin 300 gr,Sade,"Organik Bal-tahin Pekmez, Kuru Gıdalar, Gıda, Organi̇k Ve Özel Beslenme",carrefour,Istanbul Bayrampaşa Forum Hıpe,283.5,2025-05-11 10:17,0
