,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Ayran,İçim Bardak Ayran 200 ml,İçim,"Günlük Içecek, Gıda, 1702-sütlü Mamuller, Self Servıs, Günlük, Günlük Içecekler, 17-grup Spot, Süt Yoğurt Ve Günlük Paketli, Ayran, 170214-küçük Ayran",bim,Bağlarbaşıgaziosmanpaşa,6.75,2025-05-12 10:16,0
Ayran,Ayran 200 Ml Birşah,Birşah,"Süt Ve Sütlü Mamüller, Ayran, Ayran Ve Kefirler",a101,Çukurçeşme Gaziosmanpaşa Istanbul,7.0,2025-05-12 10:16,0
Ayran,Tarım Kredi Ayran 200 Ml,Tarım Kredi,"Gıda, Yoğurt-ayran-kefi̇r, Süt Ve Süt Ürünleri, Ayran",tarim_kredi,Istanbul Bayrampaşa,7.0,2025-05-12 10:16,0
Ayran,Ayran Bardak 200 ml Dost,Dost,"020401-küçük Ayran, 0204-ayran, 02-sütlü Mamuller",bim,Bağlarbaşıgaziosmanpaşa,7.0,2025-05-12 10:17,0
Ayran,İçim Bardak Ayran 200 ml,İçim,"Günlük Içecek, Gıda, 1702-sütlü Mamuller, Self Servıs, Günlük, Günlük Içecekler, 17-grup Spot, Süt Yoğurt Ve Günlük Paketli, Ayran, 170214-küçük Ayran",carrefour,Istanbul Bayrampaşa Forum Hıpe,9.75,2025-05-12 10:16,0
Ayran,Sütaş 200 Ml Ayran,Sütaş,"Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran",migros,Mjet Merkez Mh Gop Istanbul,9.85,2025-05-12 10:16,0
Ayran,Tarım Kredi Ayran 285 Ml,Tarım Kredi,"Gıda, Yoğurt-ayran-kefi̇r, Süt Ve Süt Ürünleri, Ayran",tarim_kredi,Istanbul Bayrampaşa,9.9,2025-05-12 10:16,0
Ayran,Migros Bardak Ayran 300 Ml,Migros,"Pl Ayran, Pl Süt Yoğurt Ve Günlük Paketli, Pl Günlük Içecekler",migros,Mjet Merkez Mh Gop Istanbul,10.5,2025-05-12 10:16,0
Ayran,Sek 300 Ml Naneli Ayran,Sek,"1702-sütlü Mamuller, 17-grup Spot, 170214-küçük Ayran",bim,Bağlarbaşıgaziosmanpaşa,11.5,2025-05-12 10:16,0
Ayran,Eker Bardak Ayran 300 ml,Eker,"Günlük Içecek, Gıda, Self Servıs, Günlük",carrefour,Istanbul Ramı Kışla Cad Mını,12.95,2025-05-12 10:16,0
Ayran,İçim Ayran 285 ml,İçim,"Günlük Içecek, Gıda, Self Servıs, Günlük",carrefour,Istanbul Esenler Esprı Süper,12.95,2025-05-12 10:16,0
Ayran,Sek Ayran 285 Ml,Sek,"Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran",migros,Bayrampaşa Pashador Mm Migros,13.95,2025-05-12 10:16,0
Ayran,Sütaş Ayran 300 ml,Sütaş,"Süt Ve Sütlü Mamüller, Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran, Ayran Ve Kefirler",migros,Avasköy Bayrampaşa M Migros,14.0,2025-05-12 10:16,0
Ayran,Eker Tombul Ayran 293 ml,Eker,"Günlük Içecek, Gıda, Self Servıs, Günlük, Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran",carrefour,Istanbul Bayrampaşa Forum Hıpe,16.5,2025-05-12 10:16,0
Ayran,Eker Tombul Ayran 293 ml,Eker,"Günlük Içecek, Gıda, Self Servıs, Günlük, Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran",migros,Mjet Merkez Mh Gop Istanbul,19.5,2025-05-12 10:16,0
Ayran,Ayran Şişe 1500 Ml Dost,Dost,"020402-büyük Ayran, 0204-ayran, 02-sütlü Mamuller",bim,Bağlarbaşıgaziosmanpaşa,35.0,2025-05-12 10:16,0
Ayran,İçim Ayran 1 Lt,Ülker,"Günlük Içecek, Gıda, Self Servıs, Günlük, Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran",carrefour,Istanbul Vıa Venezıa Süper,36.5,2025-05-12 10:16,0
Ayran,Ayran 1 lt Sütaş,Sütaş,"Süt Ve Sütlü Mamüller, Ayran, Ayran Ve Kefirler",a101,Çukurçeşme Gaziosmanpaşa Istanbul,36.5,2025-05-12 10:16,0
