,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Baharat,Baharat nane 30 gr Destan,Destan,"081103-baharatlar, 0811-baharatlar, 08-konserve",bim,Bağlarbaşıgaziosmanpaşa,11.5,2025-05-13 10:15,0
Baharat,Baharat Nane 30 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,11.5,2025-05-13 10:15,0
Baharat,Baharat Karbonat 120 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,12.0,2025-05-13 10:15,0
Baharat,Baharat Kekik 30 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,14.5,2025-05-13 10:15,0
Baharat,Baharat susam 75 gr Destan,Destan,"081103-baharatlar, 0811-baharatlar, 08-konserve",bim,Bağlarbaşıgaziosmanpaşa,17.0,2025-05-13 10:15,0
Baharat,Baharat Susam 75 gr Edalı,Edalı,"Konserveler Ve Çorbalar, Baharatlar, Baharatla",hakmar,Selamlıüsküdar,17.0,2025-05-13 10:15,0
Baharat,Baharat Susam 75 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,17.0,2025-05-13 10:15,0
Baharat,Baharat Çörekotu 75 gr Edalı,Edalı,"Konserveler Ve Çorbalar, Baharatlar, Baharatla",hakmar,Selamlıüsküdar,17.5,2025-05-13 10:15,0
Baharat,Baharat çörekotu 75 gr Destan,Destan,"081103-baharatlar, 0811-baharatlar, 08-konserve",bim,Bağlarbaşıgaziosmanpaşa,17.5,2025-05-13 10:15,0
Baharat,Baharat Köri 50 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,18.9,2025-05-13 10:15,0
Baharat,Baharat Köri 100 gr Edalı,Edalı,"Konserveler Ve Çorbalar, Baharatlar, Baharatla",hakmar,Selamlıüsküdar,19.5,2025-05-13 10:15,0
Baharat,Baharat Karanfil 25 gr Kent,Kent,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,22.5,2025-05-13 10:15,0
Baharat,Baharat tarçın 75 gr Destan,Destan,"081103-baharatlar, 0811-baharatlar, 08-konserve",bim,Bağlarbaşıgaziosmanpaşa,24.5,2025-05-13 10:15,0
Baharat,Baharat Tarçın 75 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,24.5,2025-05-13 10:15,0
Baharat,Baharat kimyon 75 gr Destan,Destan,"081103-baharatlar, 0811-baharatlar, 08-konserve",bim,Bağlarbaşıgaziosmanpaşa,28.25,2025-05-13 10:15,0
Baharat,Baharat Kimyon 75 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,28.25,2025-05-13 10:15,0
Baharat,Baharat Kimyon 75 gr Edalı,Edalı,"Konserveler Ve Çorbalar, Baharatlar, Baharatla",hakmar,Selamlıüsküdar,28.5,2025-05-13 10:15,0
Baharat,Baharat Sumak 100 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,32.5,2025-05-13 10:15,0
Baharat,Baharat Karbonat 500 gr Kent,Kent,"Baharatlar, Konserve Ve Baharatlar",a101,Dershaneler Gaziosmanpaşa Istanbul,35.0,2025-05-13 10:15,0
Baharat,Lays Baharat Süper Boy 107 gr,Lays,"Gıda, Atıştırmalık, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Cips, Ci̇psler, Ci̇ps, 0501-ci̇ps, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, 050101-patates Cipsi, 05-kuruyemiş, Patates Cips, Patates Cipsi, Cipsler",bim,Bağlarbaşıgaziosmanpaşa,35.75,2025-05-13 10:15,0
Baharat,Lays Baharat Süper Boy 107 gr,Lays,"Gıda, Atıştırmalık, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Cips, Ci̇psler, Ci̇ps, 0501-ci̇ps, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, 050101-patates Cipsi, 05-kuruyemiş, Patates Cips, Patates Cipsi, Cipsler",tarim_kredi,Istanbul Bayrampaşa,42.0,2025-05-13 10:15,0
Baharat,Baharat İsot 100 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,43.5,2025-05-13 10:15,0
Baharat,Baharat Karabiber 75 gr Diyar,Diyar,"Baharatlar, Konserve Ve Baharatlar",a101,Çukurçeşme Gaziosmanpaşa Istanbul,46.0,2025-05-13 10:15,0
Baharat,Baharat Karabiber 75 gr Edalı,Edalı,"Konserveler Ve Çorbalar, Baharatlar, Baharatla",hakmar,Selamlıüsküdar,46.0,2025-05-13 10:15,0
Baharat,Baharat Karabiber 75 gr Destan,Destan,"081103-baharatlar, 0811-baharatlar, 08-konserve",bim,Bağlarbaşıgaziosmanpaşa,46.0,2025-05-13 10:15,0
Baharat,Baroness 9 Lu Baharat Seti,Baroness,"Mutfak-banyo Gereçleri̇, Baharatlık, Gıda Dışı, Klasik Non Food",tarim_kredi,Istanbul Bayrampaşa,349.0,2025-05-13 10:15,0
