,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Ekmek,Bagetürk Normal Ekmek,Markasız,"Gıda, Ekmek, Temel Gıda Ürünleri, Unlu Mamüller",tarim_kredi,Istanbul Bayrampaşa,10.0,2025-05-14 10:16,0
Ekmek,İstanbul Halk Ekmek Fındıklı Ve Üzümlü Ekmek 50 gr,İHE,"Ekmekler, Paketli Ekmekler, Pasta-ekmek, Taze Gıdalar",carrefour,Istanbul Küçükköy Süper,10.0,2025-05-14 10:16,0
Ekmek,Ekmek Odun 200g-stk,Unkar,"Un Ve Bakliyatlar, Normal Ek, Normal Ekmekler",hakmar,Selamlıüsküdar,12.25,2025-05-14 10:16,0
Ekmek,Günlük Kepekli Ekmek,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Çukurçeşme Gaziosmanpaşa Istanbul,12.5,2025-05-14 10:15,0
Ekmek,Ekmek,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Çukurçeşme Gaziosmanpaşa Istanbul,12.5,2025-05-14 10:16,0
Ekmek,Normal Ekmek,Markasız,"Ekmek Fırınlar, Ekmek Günlük, Unlu Mamuller, Ekmek Speci̇al Sofra",sok,Gop Meydan,12.5,2025-05-14 10:15,0
Ekmek,Bagetürk Odun Ekmek,Markasız,"Gıda, Ekmek, Temel Gıda Ürünleri, Unlu Mamüller",tarim_kredi,Istanbul Gop Küçükköy,12.5,2025-05-14 10:16,0
Ekmek,Ekmek Tandır,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Sarıgöl Gaziosmanpaşa Istanbul,12.5,2025-05-14 10:16,0
Ekmek,Çeşit Ekmek,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Çukurçeşme Gaziosmanpaşa Istanbul,16.95,2025-05-14 10:16,0
Ekmek,Halep Ekmek 300 gr,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Çukurçeşme Gaziosmanpaşa Istanbul,18.95,2025-05-14 10:16,0
Ekmek,Ekmek Bazlama 150 gr,Markasız,"Lavaş/katmer/bazlama, Ekmek, Un Ve Unlu Mamuller",a101,Çukurçeşme Gaziosmanpaşa Istanbul,19.95,2025-05-14 10:16,0
Ekmek,Simit Ekmek,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Çukurçeşme Gaziosmanpaşa Istanbul,22.5,2025-05-14 10:16,0
Ekmek,Ekmek Kepekli 400 gr Nimet,Nimet,"Ekmek, Paketli Ekmek, Un Ve Unlu Mamuller",a101,Sarıgöl Gaziosmanpaşa Istanbul,26.5,2025-05-14 10:15,0
Ekmek,Ekmek Çavdarlı 400 gr Nimet,Nimet,"Ekmek, Paketli Ekmek, Un Ve Unlu Mamuller",a101,Çukurçeşme Gaziosmanpaşa Istanbul,26.5,2025-05-14 10:15,0
Ekmek,Bagetta Çavdar Unlu Ekmek,Bagetta ,"Ekmek Fırınlar, Gıda, Ekmek, Temel Gıda Ürünleri, Unlu Mamüller, Ekmek Günlük, Unlu Mamuller, Ekmek Speci̇al Sofra",sok,Gop Sarıgöl,29.9,2025-05-14 10:16,0
Ekmek,İyilik Çavdarlı Ekmek 400 gr,İyilik,"Unlu Mamuller Servis, Paketli Unlu Mamüller, Çeşit Ekmek, Ekmek Çeşi̇tleri̇",migros,Bayrampaşa Pashador Mm Migros,31.0,2025-05-14 10:15,0
