,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Bitki ve Meyve Çayı (Poşet),Deren Form Kayısılı Karışık Bitki Çayı 20 Li,Deren,"Çay-kahve-toz Içecekler, Poşet Çay, Bitki / Meyve Çayları, Çay",sok,Gop Kızılay,22.5,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Deren Form Kiraz Saplı Karışık Bitki Çay 20 li 36g,Deren,"Çay-kahve-toz Içecekler, Poşet Çay, Bitki / Meyve Çayları, Çay",sok,Gop Kızılay,22.5,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Tarım Kredi Rezene Süzen Poşet Bitki Çay ( 20 x 2 ) 40 Gr,Tarım Kredi,"Gıda, Bitki Çayı, Çay Ve Sıcak İçecekler, Içecekler",tarim_kredi,Istanbul Gop Market,26.9,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Bitki Çayı Limonlu 25 li 40 gr Çaykur,Çaykur,"Meyve Ve, Meyve Ve Bitki Çay., Içecekler",hakmar,Selamlıüsküdar,34.5,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Migros Ihlamurlu Karışık Bitki Çayı 20 li 30 gr,Migros,"Pl Bitki Ve Meyve Çayları, Pl Bi̇tki̇sel Çaylar, Pl Çay, Pl Çay Kahve Su Ve Maden Suları",migros,Mjet Gaziosmanpaşa Istanbul,38.5,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Doğuş Collagen Bitki Çayı 20 li 30 gr,Doğuş,"Çay Kahve Su Ve Maden Suları, Bi̇tki̇sel Çaylar, Bitki Ve Meyve Çayları, Çay",migros,Bayrampaşa Pashador Mm Migros,46.95,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Doğuş Detox Karışık Bitki Çayı 20 li 30 gr,Doğuş,"Çay Kahve Su Ve Maden Suları, Bi̇tki̇sel Çaylar, Bitki Ve Meyve Çayları, Çay",migros,Bayrampaşa Pashador Mm Migros,46.95,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Doğuş Energy Karışık Bitki Çayı 20 li 40 gr,Doğuş,"Çay Kahve Su Ve Maden Suları, Bi̇tki̇sel Çaylar, Bitki Ve Meyve Çayları, Çay",migros,Bayrampaşa Pashador Mm Migros,46.95,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Doğadan Bitki Çayı Ihlamur 18 li,Doğadan,"Çay-kahve-toz Içecekler, Poşet Çay, Bitki / Meyve Çayları, Çay",sok,Gop Kızılay,64.5,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Doğadan Zencefil Limon Bitki Çayı 18 li,Doğadan,"Çay-kahve-toz Içecekler, Poşet Çay, Bitki / Meyve Çayları, Çay",sok,Gop Kızılay,64.5,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),M life Sante Karışık Bitki Çayı 20 li 40 gr,M Life,"Pl Bitki Ve Meyve Çayları, Pl Bi̇tki̇sel Çaylar, Pl Çay, Pl Çay Kahve Su Ve Maden Suları",migros,Bayrampaşa Pashador Mm Migros,64.95,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),M life Relax Karışık Bitki Çayı 20 li 30 gr,Mlıfe,"Pl Bitki Ve Meyve Çayları, Pl Bi̇tki̇sel Çaylar, Pl Çay, Pl Çay Kahve Su Ve Maden Suları",migros,Bayrampaşa Pashador Mm Migros,64.95,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),M life Form Rooibos Açaili Bitki Çayı 20 li 40 gr,Mlıfe,"Pl Bitki Ve Meyve Çayları, Pl Bi̇tki̇sel Çaylar, Pl Çay, Pl Çay Kahve Su Ve Maden Suları",migros,Bayrampaşa Pashador Mm Migros,64.95,2025-05-17 10:20,0
Bitki ve Meyve Çayı (Poşet),Teekanne Papatya Ve Ballı Bitki Çayı 20 li 30 gr,Teekanne,"Çay Kahve Su Ve Maden Suları, Bi̇tki̇sel Çaylar, Bitki Ve Meyve Çayları, Çay",migros,Bayrampaşa Pashador Mm Migros,79.9,2025-05-17 10:20,0
