,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Kahve,İstanbul Hazır Türk Kahvesi Şekerli 10 gr,İstanbul Kahve,"Türk Kahvesi̇, Türk Kahvesi, Çay Kahve Su Ve Maden Suları, Kahve",migros,Bayrampaşa Pashador Mm Migros,6.0,2025-05-17 10:20,0
Kahve,İstanbul Hazır Türk Kahvesi Sade 7 gr,İstanbul Kahve,"Türk Kahvesi̇, Türk Kahvesi, Çay Kahve Su Ve Maden Suları, Kahve",migros,Bayrampaşa Pashador Mm Migros,6.0,2025-05-17 10:20,0
Kahve,Kaffka Osmanlı Kahvesi 150 Gr,Kaffka ,"Gıda, Çay Ve Sıcak İçecekler, Içecekler, Kahve",tarim_kredi,Istanbul Gop Market,31.5,2025-05-17 10:20,0
Kahve,Kaffka Dibek Kahvesi 150 Gr,Kaffka ,"Gıda, Çay Ve Sıcak İçecekler, Içecekler, Kahve",tarim_kredi,Istanbul Bayrampaşa,31.5,2025-05-17 10:20,0
Kahve,Kaffka Menengiç Kahvesi 150 Gr,Kaffka ,"Gıda, Çay Ve Sıcak İçecekler, Içecekler, Kahve",tarim_kredi,Istanbul Gop Market,31.5,2025-05-17 10:20,0
Kahve,Yemeneli Türk Kahvesi 100 gr,Yemeneli ,"Çay-kahve-toz Içecekler, Türk Kahvesi̇, Türk Kahvesi, Kahve",sok,Gop Kızılay,45.0,2025-05-17 10:20,0
Kahve,Carrefour Türk Kahvesi 100 Gr,Carrefour,"Türk Kahvesi, Kuru Gıdalar, Gıda, Kahve/çay Ve Di̇ğer",carrefour,Istanbul Esenler Esprı Süper,45.0,2025-05-17 10:20,0
Kahve,Kahve Türk Kahvesi 100 gr Abdullah Efendi,Abdullah Efendi,"03-içecekler, 0306-kahve, 030601-türk Kahvesi",bim,Bağlarbaşıgaziosmanpaşa,45.0,2025-05-17 10:20,0
Kahve,Dibek Kahvesi Abdullah Efendi 200 gr,Abdullah Efendi,"170319-türk Kahvesi, 17-grup Spot, 1703-i̇çecekler",bim,Bağlarbaşıgaziosmanpaşa,45.0,2025-05-17 10:19,0
Kahve,Migros Türk Kahvesi 100 gr (pl1),Migros,"Pl Türk Kahvesi̇, Pl Kahve, Pl Türk Kahvesi, Pl Çay Kahve Su Ve Maden Suları",migros,Avasköy Bayrampaşa M Migros,45.0,2025-05-17 10:20,0
Kahve,Türk Kahvesi 100 gr Halis Efendi,Halis Efendi,"Türk Kahvesi, Türk Kahv, Içecekler",hakmar,Selamlıüsküdar,45.0,2025-05-17 10:20,0
Kahve,Tarım Kredi Türk Kahvesi 100 Gr,Tarım Kredi,"Gıda, Çay Ve Sıcak İçecekler, Içecekler, Kahve",tarim_kredi,Istanbul Bayrampaşa,45.0,2025-05-17 10:20,0
Kahve,Türk Kahvesi 100 gr Tchıbo,Markasız,"170319-türk Kahvesi, 17-grup Spot, 1703-i̇çecekler",bim,Bağlarbaşıgaziosmanpaşa,49.5,2025-05-17 10:19,0
Kahve,İstanbul Türk Kahvesi 100 gr,İstanbul Kahve,"Türk Kahvesi̇, Türk Kahvesi, Çay Kahve Su Ve Maden Suları, Kahve",migros,Avasköy Bayrampaşa M Migros,49.5,2025-05-17 10:20,0
Kahve,Tahmis Türk Kahvesi Paket 100 gr,Tahmiş,"Türk Kahvesi̇, Türk Kahvesi, Çay Kahve Su Ve Maden Suları, Kahve",migros,Bayrampaşa Pashador Mm Migros,58.5,2025-05-17 10:20,0
Kahve,Hatır Türk Kahvesi 100 Gr,Karaca,"Çay-kahve-toz Içecekler, Türk Kahvesi̇, Türk Kahvesi, Kahve",sok,Gop Kızılay,61.95,2025-05-17 10:20,0
Kahve,İstanbul Osmanlı Dibek Kahvesi 200 gr,İstanbul Kahve,"Türk Kahvesi̇, Türk Kahvesi, Çay Kahve Su Ve Maden Suları, Kahve",migros,Avasköy Bayrampaşa M Migros,63.95,2025-05-17 10:19,0
