,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Adana Seyhan Sular,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,ADANA
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Çankaya Merkez,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,ANKARA
Kıvırcık,Kıvırcık Demet,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Ankara Çankaya Esat Cad,22.9,"22,90 ₺/adet",19.05.2025 10:19,0,ANKARA
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Muratpaşa Yenikapı,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,ANTALYA
Kıvırcık,Kıvırcık Demet,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Aydın Mımar Sınan Süper,19.9,"19,90 ₺/adet",19.05.2025 10:19,0,AYDIN
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Balıkesir Anafartalar,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,BALIKESİR
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Bursa Osmangazi Mağaz,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,BURSA
Kıvırcık,Kıvırcık Demet,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Bursa Nılüfer Hatun Cad Süper,21.9,"21,90 ₺/adet",19.05.2025 10:19,0,BURSA
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Denizli 15 Mayıs Ds,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,DENİZLİ
Kıvırcık,Kıvırcık Demet,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Denızlı Ünıversıte Süper,19.9,"19,90 ₺/adet",19.05.2025 10:19,0,DENİZLİ
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Erzurum Pelit,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,ERZURUM
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Eskişehir Sıhhiye,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,ESKİŞEHİR
Kıvırcık,Kıvırcık Demet,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Eskışehır Yedıler Süper,22.9,"22,90 ₺/adet",19.05.2025 10:19,0,ESKİŞEHİR
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Kırıkhan Feyzullah Kıyılı,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,HATAY
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Kumkapı,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,İSTANBUL
Kıvırcık,Kıvırcık Adet,Markasız,"Yeşillikler, Meyve Ve Sebzeler, Meyve Sebze, Meyve-sebze, Yeşillikl, Sebze, Kıvırcık",hakmar,Valide  Üsküdar,19.95,"19,95 ₺/adet",19.05.2025 10:19,0,İSTANBUL
Kıvırcık,Salata Kıvırcık,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Kıvırcık",sok,Rakım Erkutlu,29.9,"29,90 ₺/adet",19.05.2025 10:19,0,İZMİR
Kıvırcık,Kıvırcık Demet,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Izmır Konak Halıt Zıya Mını,19.9,"19,90 ₺/adet",19.05.2025 10:19,0,İZMİR
