,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Taze Fasulye,Fasulye Çalı,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Normal Se, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler, Fasulye",carrefour,Adana Seyhan Çınarlı,72.9,"72,90 ₺/kg",19.05.2025 10:19,0,ADANA
Taze Fasulye,Fasulye Çalı,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Normal Se, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler, Fasulye",carrefour,Ankara Hoşdere Süper Süper,76.9,"76,90 ₺/kg",19.05.2025 10:19,0,ANKARA
Taze Fasulye,Fasulye Taze,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Ankara Çankaya Esat Cad,99.95,"99,95 ₺/kg",19.05.2025 10:19,0,ANKARA
Taze Fasulye,Fasulye Çalı,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Normal Se, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler, Fasulye",carrefour,Antalya Narencıye Süper,69.9,"69,90 ₺/kg",19.05.2025 10:19,0,ANTALYA
Taze Fasulye,Fasulye Çalı,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Normal Se, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler, Fasulye",carrefour,Bursa Nılüfer Hatun Cad Süper,79.9,"79,90 ₺/kg",19.05.2025 10:19,0,BURSA
Taze Fasulye,Fasulye Çalı,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Normal Se, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler, Fasulye",carrefour,Denızlı Acıpayam Blv Süper,76.9,"76,90 ₺/kg",19.05.2025 10:19,0,DENİZLİ
Taze Fasulye,Fasulye Ayşe Kadın,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Fasulye",carrefour,Denızlı Ünıversıte Süper,134.95,"134,95 ₺/kg",19.05.2025 10:19,0,DENİZLİ
Taze Fasulye,Fasulye Çalı,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Normal Se, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler, Fasulye",carrefour,Eskışehır Muttalıp Süper,65.9,"65,90 ₺/kg",19.05.2025 10:19,0,ESKİŞEHİR
Taze Fasulye,Fasulye Taze,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Eskışehır Neo Hıper,99.95,"99,95 ₺/kg",19.05.2025 10:19,0,ESKİŞEHİR
Taze Fasulye,Fasulye Çalı,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Normal Se, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler, Fasulye",hakmar,Valide  Üsküdar,59.95,"59,95 ₺/kg",19.05.2025 10:19,0,İSTANBUL
Taze Fasulye,Fasulye Çalı,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Normal Se, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler, Fasulye",sok,Cemberlıtas,99.9,"99,90 ₺/kg",19.05.2025 10:19,0,İSTANBUL
Taze Fasulye,Fasulye Taze,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Cıhangır Gurme,119.95,"119,95 ₺/kg",19.05.2025 10:19,0,İSTANBUL
Taze Fasulye,Fasulye Çalı Çıkma,Markasız,"Normal Se, Meyve Ve Sebzeler, Normal Sebzeler",hakmar,Selamlıüsküdar,99.95,"99,95 ₺/kg",19.05.2025 10:19,0,İSTANBUL
Taze Fasulye,Fasulye Taze Paket,Markasız,"Mevsi̇m Sebzeleri̇, Sebzeler, Fasulye",sok,Cemberlıtas,89.9,"89,90 ₺/kg",19.05.2025 10:19,0,İSTANBUL
Taze Fasulye,Fasulye Ayşe Kadın,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Fasulye",sok,Cemberlıtas,189.9,"189,90 ₺/kg",19.05.2025 10:19,0,İSTANBUL
