,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Meyve Suyu,Nektarı Kayısı 200 Jucy,Jucy,"03-içecekler, 0302-meyve Suyu, 030202-meyve Nektarı",bim,Çifte Minareseyhanadana,9.0,"45,00 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Migros Kayısı Nektarı 200 Ml,Migros,"Pl Gazsız Içecekler, Pl Meyve Suları Ve Aromalı Içecekler, Pl Meyve Suları",migros,Yeni Vilayet M Migros,9.0,"45,00 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Mis Nektarı Kayısı 200 Ml,Mis,"Gazsız Içecekler, Meyve Suları, Içecek, Nektar",sok,Adana Seyhan Kurtuluş,9.0,"45,00 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Migros Kayısı Nektarı 1 lt,Migros,"Pl Gazsız Içecekler, Pl Meyve Suları Ve Aromalı Içecekler, Pl Meyve Suları",migros,Yeni Vilayet M Migros,35.0,"35,00 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Tamek Kayısı Nektarı 1 lt,Tamek,"Gazsız Içecekler, Gıda, Meyve Suyu, Meyve Suları Ve Aromalı Içecekler, Meyve Suları, Meyve Suyu Nektarı, Lıkıtler",migros,Yeni Vilayet M Migros,47.5,"47,50 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Mis Nektarı Kayısı 1 Lt,Mis,"Gazsız Içecekler, Meyve Suları, Içecek, Nektar",sok,Adana Seyhan Kurtuluş,35.0,"35,00 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Cappy Kayısı Nektarı 330 Ml,Cappy,"Gazsız Içecekler, Meyve Suları Ve Aromalı Içecekler, Meyve Suları",migros,Yeni Vilayet M Migros,40.75,"123,48 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Cappy Kayısı Nektarı 200 Ml,Cappy,"Gazsız Içecekler, Meyve Suları Ve Aromalı Içecekler, Meyve Suları",migros,Yeni Vilayet M Migros,12.0,"60,00 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Suyu Kayısı 200 ml Dimes,Dimes,"03-içecekler, Gıda, Gazsız Içecekler, Meyve Suyu, Gazsız İçecekler-meyve Suları, Meyve Suları Ve Aromalı Içecekler, Meyve Suları, Ml Meyve, Lıkıtler, Içecekler, 0302-meyve Suyu, 030203-meyveli Içecek, Ml Meyve Suları, Meyve Suyu Nektarı",bim,Çifte Minareseyhanadana,13.5,"67,50 ₺/lt",21.05.2025 10:19,0,ADANA
Meyve Suyu,Suyu Kayısı 200 ml Dimes,Dimes,"03-içecekler, Gıda, Gazsız Içecekler, Meyve Suyu, Gazsız İçecekler-meyve Suları, Meyve Suları Ve Aromalı Içecekler, Meyve Suları, Ml Meyve, Lıkıtler, Içecekler, 0302-meyve Suyu, 030203-meyveli Içecek, Ml Meyve Suları, Meyve Suyu Nektarı",migros,Yeni Vilayet M Migros,13.5,"67,50 ₺/lt",21.05.2025 10:19,0,ADANA
