,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Turşu,Turşu Salatalık 680g Güneybağ,Güneybağ,"1708-konserve, 17-grup Spot, 170808-salatalık Turşusu",bim,Çifte Minareseyhanadana,37.5,"55,15 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Migros Karışık Turşu 680gr,Migros,"Pl Paketli̇ Turşu, Pl Turşular, Pl Konserve Salça Sos, Pl Karışık Turşular",migros,Yeni Vilayet M Migros,34.95,"51,40 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Kornişon Turşu 1650g Tukaş,Tukaş,"1708-konserve, 17-grup Spot, 170808-salatalık Turşusu",bim,Çifte Minareseyhanadana,51.0,"51.000,00 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Tat Turşu 650 gr,Tat,"Konserve, Kuru Gıdalar, Gıda, Konserve Salça Sos, Tursular, Karışık Turşusu, Konserve/sos/baharat, Paketli̇ Turşu, Karışık Turşular, Turşular",carrefour,Adana Yenı Baraj Süper,96.9,"149,08 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Carrefour Biberiye Turşu 335g,Carrefour,"Kuru Gıdalar, Gıda, Tursular, Konserve/sos/baharat",carrefour,Adana Türkmenbaşı Süper,29.5,"88,06 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Kemal Kükrer Karışık Turşu 720cc,Kemal Kükrer,"Kuru Gıdalar, Gıda, Tursular, Konserve/sos/baharat",carrefour,Adana Yenı Baraj Süper,59.93,"83,24 ₺/lt",21.05.2025 10:19,0,ADANA
Turşu,Çubuk Salatalık Turşu 670g Berrak,Berrak,"1708-konserve, 17-grup Spot, 170808-salatalık Turşusu",bim,Çifte Minareseyhanadana,35.0,"92,11 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Carrefour Salatalık Turşu 670 gr,Carrefour,"Kuru Gıdalar, Gıda, Tursular, Konserve/sos/baharat",carrefour,Adana Türkmenbaşı Süper,37.5,"55,97 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Carrefour Jalapeno Turşu 350 gr,Carrefour,"Kuru Gıdalar, Gıda, Tursular, Konserve/sos/baharat",carrefour,Adana Türkmenbaşı Süper,27.5,"78,57 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Turşu Salatalık 1 kg Tat,Tat,"1708-konserve, 17-grup Spot, 170808-salatalık Turşusu",bim,Çifte Minareseyhanadana,37.5,"37.500,00 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Tat Biberiye Turşu 330 gr,Tat,"Kuru Gıdalar, Biber Turşusu, Gıda, Konserve Salça Sos, Tursular, Konserve/sos/baharat, Paketli̇ Turşu, Biber Turşuları, Turşular, Konserve Ve Baharatlar",carrefour,Adana Yenı Baraj Süper,80.25,"243,18 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Kühne Biberiye Turşu 325 gr,Kühne,"Kuru Gıdalar, Gıda, Konserve Salça Sos, Tursular, Konserve/sos/baharat, Paketli̇ Turşu, Biber Turşuları, Turşular",carrefour,Adana Yenı Baraj Süper,79.0,"243,08 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Tat Kornişon Turşu 350 gr,Tat,"Kuru Gıdalar, Gıda, Konserve Salça Sos, Tursular, Konserve/sos/baharat, Paketli̇ Turşu, Salatalık Turşuları, Turşular",carrefour,Adana Türkmenbaşı Süper,86.5,"247,14 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Tat Kornişon Turşu 350 gr,Tat,"Kuru Gıdalar, Gıda, Konserve Salça Sos, Tursular, Konserve/sos/baharat, Paketli̇ Turşu, Salatalık Turşuları, Turşular",migros,Yeni Vilayet M Migros,89.95,"257,00 ₺/kg",21.05.2025 10:19,0,ADANA
Turşu,Fersan Kornişon Turşu 670 gr,Fersan,"Kuru Gıdalar, Gıda, Tursular, Konserve/sos/baharat",carrefour,Adana Yenı Baraj Süper,101.0,"150,75 ₺/kg",21.05.2025 10:19,0,ADANA
