,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Zeytinyağı,Kristal Riviera Zeytinyağı 1l.,Kristal,"Zeyti̇n Yağı, Kuru Gıdalar, Gıda, Sıvı Yağlar, Yaglar, Zeytın Yagları, Sıvı Yağ Makarna Un, Riviera Zeytinyağları",migros,Adana Sular M Mıgros,299.95,"299,95 ₺/lt",23.05.2025 10:20,0,ADANA
Zeytinyağı,Güvenasa Riviera Zeytinyağı 5 lt,Güven Asa,"Zeyti̇n Yağı, Sıvı Yağlar, Sıvı Yağ Makarna Un, Riviera Zeytinyağları",migros,Yeni Vilayet M Migros,1199.95,"239,99 ₺/lt",23.05.2025 10:20,0,ADANA
Zeytinyağı,Kristal Riviera Zeytinyağı 5 lt,Kristal,"Zeyti̇n Yağı, Sıvı Yağlar, Sıvı Yağ Makarna Un, Riviera Zeytinyağları",migros,Yeni Vilayet M Migros,1359.95,"271,99 ₺/lt",23.05.2025 10:19,0,ADANA
Zeytinyağı,Zeytinyağı Riviera 2 Lt Sırım,Sırım,"0902-sıvı Yağlar, 090201-zeytinyağı, 09-katı Ve Sıvı Yağlar",bim,Çifte Minareseyhanadana,339.0,"339.000,00 ₺/lt",23.05.2025 10:19,0,ADANA
Zeytinyağı,Zeytinyağı Riviera 1 Lt Komili,Komili,"0902-sıvı Yağlar, 090201-zeytinyağı, 09-katı Ve Sıvı Yağlar",bim,Çifte Minareseyhanadana,189.0,"189,00 ₺/lt",23.05.2025 10:20,0,ADANA
Zeytinyağı,Lio Riviera Zeytinyağı 1 Lt,Lio,"Zeytinyağı, Zeytin-zeytinyağı, Zeyti̇nyağı, Riviera Zeytinyağları",sok,Adana Seyhan Sular,199.0,"199,00 ₺/lt",23.05.2025 10:19,0,ADANA
Zeytinyağı,Lio Sızma Zeytinyağı 2 Lt,Lio,"Zeytinyağı, Zeytin-zeytinyağı, Zeyti̇nyağı, Sızma Zeytinyağları",sok,Adana Seyhan Kurtuluş,379.0,"189,50 ₺/lt",23.05.2025 10:19,0,ADANA
Zeytinyağı,Zeytinyağı Riviera 2 lt Kristal,Kristal,"Zeyti̇n Yağı, Kuru Gıdalar, Margarin Ve Sıvı Yağlar, Gıda, Sıvı Yağlar, Zeytin Yağları, Yaglar, Zeytın Yagları, Zeytin Ya, Sıvı Yağ Makarna Un, Riviera Zeytinyağları",migros,Yeni Vilayet M Migros,576.95,"288,48 ₺/lt",23.05.2025 10:19,0,ADANA
Zeytinyağı,Tariş Riviera Zeytinyağı 2 l,Tariş,"Zeyti̇n Yağı, Kuru Gıdalar, Gıda, Sıvı Yağlar, Yaglar, Zeytın Yagları, Sıvı Yağ Makarna Un, Riviera Zeytinyağları",migros,Yeni Vilayet M Migros,400.0,"200,00 ₺/lt",23.05.2025 10:19,0,ADANA
Zeytinyağı,Lio Sızma Zeytinyağı 1 Lt,Lio,"Zeytinyağı, Zeytin-zeytinyağı, Zeyti̇nyağı, Sızma Zeytinyağları",sok,Adana Seyhan Kurtuluş,219.0,"219,00 ₺/lt",23.05.2025 10:19,0,ADANA
