,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Cebesoy Seyhan Adana,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,ADANA
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Adana Seyhan Kurtuluş,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,ADANA
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Adana Türkmenbaşı Süper,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,ADANA
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Sakarya Caddesi Çankaya Ankara,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,ANKARA
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Çankaya Merkez,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,ANKARA
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Ankara Çankaya Esat Cad,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,ANKARA
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Ismetpaşa Caddesi Muratpaşa Antalya,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,ANTALYA
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Muratpaşa Yenikapı,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Antalya Konyaaltı Caddesı Mını,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Güzelhisar Merkez Aydın,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,AYDIN
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Aydın Mımar Sınan Süper,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,AYDIN
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Akıncılar Karesi Balıkesir,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,BALIKESİR
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Balıkesir Anafartalar,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,BALIKESİR
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Balıkesır 2 Süper,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,BALIKESİR
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Hocaalizade Mah Osmangazi Bursa,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,BURSA
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Bursa Osmangazi Mağaz,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,BURSA
Patlıcan,Patlıcan Bostan,Markasız,"Meyvelerı Yenen Sebz, Normal Se, Mevsi̇m Sebzeleri̇, Meyve Ve Sebzeler, Patlıcan-kabak, Patlıcan, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler",carrefour,Bursa Maya Hıper,69.9,"69,90 ₺/kg",25.05.2025 10:20,0,BURSA
Patlıcan,Patlıcan Kemer Ekonomik,Markasız,"Patlıcan, Dört Mevsi̇m Sebzeler, Üretim Ürünleri Meyve Sebze, Sebzeler",migros,Mjet Bursa Darmstad,22.95,"22,95 ₺/kg",25.05.2025 10:20,0,BURSA
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Bursa Heykel Süper,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,BURSA
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Kayalık Pamukkale Denizli,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,DENİZLİ
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Denizli Saltak Cadde,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,DENİZLİ
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Denızlı Ünıversıte Süper,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,DENİZLİ
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Yenişehir Yenişehir Diyarbakır,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,DİYARBAKIR
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Diyarbakır Balıkçılarbaşı,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,DİYARBAKIR
Patlıcan,Patlıcan Kemer Ekonomik,Markasız,"Patlıcan, Dört Mevsi̇m Sebzeler, Üretim Ürünleri Meyve Sebze, Sebzeler",migros,Nctıy Avm Diyarbakır M,19.95,"19,95 ₺/kg",25.05.2025 10:20,0,DİYARBAKIR
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Er Konut  Erzurum Yakutiye Erzurum,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,ERZURUM
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Erzurum Pelit,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,ERZURUM
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Turgut Reis Tepebaşı Eskişehir,20.5,"20,50 ₺/kg",25.05.2025 10:20,0,ESKİŞEHİR
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Eskişehir Sıhhiye,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,ESKİŞEHİR
Patlıcan,Patlıcan Kemer Ekonomik,Markasız,"Patlıcan, Dört Mevsi̇m Sebzeler, Üretim Ürünleri Meyve Sebze, Sebzeler",migros,Mjet Sıhhiye Meydanı Eskişehir,22.95,"22,95 ₺/kg",25.05.2025 10:20,0,ESKİŞEHİR
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Eskışehır Yedıler Süper,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,ESKİŞEHİR
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Yeşil Su Şahinbey Gaziantep,27.5,"27,50 ₺/kg",25.05.2025 10:20,0,GAZİANTEP
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Gaziantep Alleben,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,GAZİANTEP
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Özlem Yüzgüleç Kırıkhan Hatay,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,HATAY
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Kırıkhan Feyzullah Kıyılı,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,HATAY
Patlıcan,Patlıcan Bostan,Markasız,"Meyvelerı Yenen Sebz, Normal Se, Mevsi̇m Sebzeleri̇, Meyve Ve Sebzeler, Patlıcan-kabak, Patlıcan, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler",sok,Kurtlusoğuksu Mah,44.9,"44,90 ₺/kg",25.05.2025 10:20,0,HATAY
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",hakmar,Valide  Üsküdar,24.95,"24,95 ₺/kg",25.05.2025 10:20,0,İSTANBUL
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Kadırga Fatih Istanbul,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,İSTANBUL
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Mercan Mheminönü,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,İSTANBUL
Patlıcan,Patlıcan Bostan,Markasız,"Meyvelerı Yenen Sebz, Normal Se, Mevsi̇m Sebzeleri̇, Meyve Ve Sebzeler, Patlıcan-kabak, Patlıcan, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler",sok,Cemberlıtas,49.9,"49,90 ₺/kg",25.05.2025 10:20,0,İSTANBUL
Patlıcan,Patlıcan Bostan,Markasız,"Meyvelerı Yenen Sebz, Normal Se, Mevsi̇m Sebzeleri̇, Meyve Ve Sebzeler, Patlıcan-kabak, Patlıcan, Sebzeler, Taze Gıdalar, Sebze, Meyve Ve Sebze, Normal Sebzeler",carrefour,Istanbul Cıhangır Gurme,69.9,"69,90 ₺/kg",25.05.2025 10:20,0,İSTANBUL
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Fatıh Mını,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,İSTANBUL
Patlıcan,Kuru Patlıcan Dizi,Markasız,"Normal Se, Meyve Ve Sebzeler, Normal Sebzeler",hakmar,Selamlıüsküdar,89.5,"3,58 ₺/adet",25.05.2025 10:21,0,İSTANBUL
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Agora Konak Izmir,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,İZMİR
Patlıcan,Patlıcan Kemer,Markasız,"Mevsi̇m Sebzeleri̇, Patlıcan, Sebzeler",sok,Izmir Çankaya Gümrük,34.9,"34,90 ₺/kg",25.05.2025 10:20,0,İZMİR
Patlıcan,Patlıcan Kemer Pazar,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Izmır Park Avm Süper,29.9,"29,90 ₺/kg",25.05.2025 10:20,0,İZMİR
Patlıcan,Patlıcan ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Stadyum Merkez Kars,25.0,"25,00 ₺/kg",25.05.2025 10:20,0,KARS
