,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Baharat,Migros Çörek Otu 75 gr,Migros,"Pl Tuz Baharat Harç, Pl Konserve Salça Sos, Pl Soslar, Pl Baharat",migros,Yeni Vilayet M Migros,17.75,"236,67 ₺/kg",26.05.2025 10:20,0,ADANA
Baharat,Carrefour Çörek Otu 70 gr,Carrefour,"Kuru Gıdalar, Gıda, Tuzlar Ve Baharatlar, Konserve/sos/baharat",carrefour,Adana Türkmenbaşı Süper,21.5,"307,14 ₺/kg",26.05.2025 10:20,0,ADANA
Baharat,Anadolu Mutfağı Çörek Otu 80 gr,Anadolu Mutfağı,"Tuz-baharat, Baharat, Çörek Otu",sok,Adana Seyhan Kurtuluş,17.5,"218,75 ₺/kg",26.05.2025 10:20,0,ADANA
Baharat,Deva Çörek Otu 65 gr,Deva,"Tuz Baharat Harç, Soslar, Konserve Salça Sos, Baharat",migros,Ankara Kolej M Mıgros,34.95,"537,69 ₺/kg",26.05.2025 10:20,0,ANKARA
Baharat,Migros Çörek Otu 75 gr,Migros,"Pl Tuz Baharat Harç, Pl Konserve Salça Sos, Pl Soslar, Pl Baharat",migros,Ankara Kolej M Mıgros,17.75,"236,67 ₺/kg",26.05.2025 10:20,0,ANKARA
Baharat,Carrefour Çörek Otu 70 gr,Carrefour,"Kuru Gıdalar, Gıda, Tuzlar Ve Baharatlar, Konserve/sos/baharat",carrefour,Ankara Çankaya Esat Cad,21.5,"307,14 ₺/kg",26.05.2025 10:20,0,ANKARA
Baharat,Anadolu Mutfağı Çörek Otu 80 gr,Anadolu Mutfağı,"Tuz-baharat, Baharat, Çörek Otu",sok,Çankaya Merkez,17.5,"218,75 ₺/kg",26.05.2025 10:20,0,ANKARA
Baharat,Migros Çörek Otu 75 gr,Migros,"Pl Tuz Baharat Harç, Pl Konserve Salça Sos, Pl Soslar, Pl Baharat",migros,Mjet Kaleiçi Antalya,17.75,"236,67 ₺/kg",26.05.2025 10:20,0,ANTALYA
Baharat,Carrefour Çörek Otu 70 gr,Carrefour,"Kuru Gıdalar, Gıda, Tuzlar Ve Baharatlar, Konserve/sos/baharat",carrefour,Antalya Konyaaltı Caddesı Mını,21.5,"307,14 ₺/kg",26.05.2025 10:20,0,ANTALYA
Baharat,Anadolu Mutfağı Çörek Otu 80 gr,Anadolu Mutfağı,"Tuz-baharat, Baharat, Çörek Otu",sok,Muratpaşa Yenikapı,17.5,"218,75 ₺/kg",26.05.2025 10:20,0,ANTALYA
Baharat,Çörek Otu 150 gr,Markasız,"Tuz Baharat Harç, Soslar, Konserve Salça Sos, Baharat",migros,5m Aydın Kipa Avm,59.95,"399,67 ₺/kg",26.05.2025 10:20,0,AYDIN
Baharat,Deva Çörek Otu 65 gr,Deva,"Tuz Baharat Harç, Soslar, Konserve Salça Sos, Baharat",migros,Istiklal Aydın M Migros,34.95,"537,69 ₺/kg",26.05.2025 10:20,0,AYDIN
Baharat,Migros Çörek Otu 75 gr,Migros,"Pl Tuz Baharat Harç, Pl Konserve Salça Sos, Pl Soslar, Pl Baharat",migros,Istiklal Aydın M Migros,17.75,"236,67 ₺/kg",26.05.2025 10:20,0,AYDIN
