,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Dana Eti,Sultan Dondurulmuş Dana Kıyma,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170146-donuk Kıyma",bim,Çifte Minareseyhanadana,349.0,"349,00 ₺/adet",26.05.2025 10:20,0,ADANA
Dana Eti,Dondurulmuş Dana Kıyma 1,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170146-donuk Kıyma",bim,Çifte Minareseyhanadana,349.0,"349.000,00 ₺/kg",26.05.2025 10:20,0,ADANA
Dana Eti,Dana Kıyma Map 1,Markasız,"Dana, Dana Hazır Ürünler, Kasap, Taze Gıdalar",carrefour,Adana Türkmenbaşı Süper,469.9,"469,90 ₺/kg",26.05.2025 10:20,0,ADANA
Dana Eti,Lezzetlim Dana Kıyma 400 gr,Lezzetlim,"Dana, Dana Paket, Kırmızı Et, Dana Kıymalık Etler",sok,Adana Seyhan Kurtuluş,235.0,"587,50 ₺/kg",26.05.2025 10:20,0,ADANA
Dana Eti,Donuk Dana Kıyma 400 Gr,Tarım Kredi,"Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Kırmızı Et",tarim_kredi,Adana Seyhan Ibo Osman,175.0,"437,50 ₺/kg",26.05.2025 10:20,0,ADANA
Dana Eti,Uzman Kasap Dana Kıyma 2*200g,Uzman Kasap,"Kırmızı Et Self Servis, Uzman Kasap Kıyma Kuşbaşı",migros,Cemalpaşa M Migros,189.0,"0,47 ₺/kg",26.05.2025 10:20,0,ADANA
Dana Eti,Donuk Dana - Kuzu Kıyma 500 Gr Bonfilet,Bonfilet,"1701-etli̇ Mamuller, 17-grup Spot, 170146-donuk Kıyma",bim,Çifte Minareseyhanadana,169.0,"338,00 ₺/kg",26.05.2025 10:20,0,ADANA
Dana Eti,Uzman Kasap Dana Kuzu Kıyma 400 gr,Uzman Kasap,"Kırmızı Et Self Servis, Uzman Kasap Kıyma Kuşbaşı",migros,Yeni Vilayet M Migros,185.0,"462,50 ₺/kg",26.05.2025 10:20,0,ADANA
Dana Eti,Kıyma Dana %20 Yağlı 400 gr Emin,Emin,"0114-kırmızı Et, 01-etli Mamuller, 011402-taze Kıyma",bim,Çifte Minareseyhanadana,199.0,"497,50 ₺/kg",26.05.2025 10:21,0,ADANA
Dana Eti,%20 Yağlı Dana Kıyma Map Tabak 400 gr,Tarım Kredi,"Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Kırmızı Et",tarim_kredi,Adana Seyhan Ibo Osman,235.0,"587,50 ₺/kg",26.05.2025 10:21,0,ADANA
Dana Eti,Sultan Dondurulmuş Dana Kıyma,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170146-donuk Kıyma",bim,Konurçankaya,349.0,"349,00 ₺/adet",26.05.2025 10:20,0,ANKARA
Dana Eti,Dondurulmuş Dana Kıyma 1,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170146-donuk Kıyma",bim,Konurçankaya,349.0,"349.000,00 ₺/kg",26.05.2025 10:20,0,ANKARA
Dana Eti,Dana Kıyma Map 1,Markasız,"Dana, Dana Hazır Ürünler, Kasap, Taze Gıdalar",carrefour,Ankara Çankaya Esat Cad,469.9,"469,90 ₺/kg",26.05.2025 10:20,0,ANKARA
Dana Eti,Lezzetlim Dana Kıyma 400 gr,Lezzetlim,"Dana, Dana Paket, Kırmızı Et, Dana Kıymalık Etler",sok,Çankaya Merkez,235.0,"587,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Dana Eti,Donuk Dana Kıyma 400 Gr,Tarım Kredi,"Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Kırmızı Et",tarim_kredi,Ankara Necatibey Market,169.9,"424,75 ₺/kg",26.05.2025 10:20,0,ANKARA
Dana Eti,Uzman Kasap Dana Kıyma 2*200g,Uzman Kasap,"Kırmızı Et Self Servis, Uzman Kasap Kıyma Kuşbaşı",migros,Ziya Gökalp Ankara M Migros,195.0,"0,49 ₺/kg",26.05.2025 10:20,0,ANKARA
