,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kola,Kristal Kola 2.5 Lt,Kristal,"Gıda, Gazlı İçecekler, Kola, Içecekler",tarim_kredi,Adana Seyhan Mithatpaşa,37.9,"0,02 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Hurmalı Kola 1.5l Kristal,Kristal,"170311-kolalı, 17-grup Spot, 1703-i̇çecekler",bim,Çifte Minareseyhanadana,39.5,"39.500,00 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Sarıyer Kola 2.5 Lt,Sarıyer,"Gıda, Gazlı İçecekler, Kola, Içecekler",tarim_kredi,Adana Seyhan Ibo Osman,41.5,"16,60 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Sarıyer Kola 330 Ml,Sarıyer,"Gıda, Gazlı İçecekler, Kola, Içecekler",tarim_kredi,Adana Seyhan Ibo Osman,19.5,"59,09 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Sarıyer Kola 1 Lt,Sarıyer,"Gıda, Gazlı İçecekler, Kola, Içecekler",tarim_kredi,Adana Seyhan Ibo Osman,24.5,"24,50 ₺/lt",26.05.2025 10:21,0,ADANA
Kola,Gazlı İçecek Kola 2.5 Lt Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Çifte Minareseyhanadana,41.5,"16,60 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Gazlı İçecek Kola 330 Ml Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Çifte Minareseyhanadana,19.5,"59,09 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Gazlı İçecek Kola 250 Ml Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Çifte Minareseyhanadana,10.0,"40,00 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Gazlı İçecek Kola 1 Lt Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Çifte Minareseyhanadana,24.5,"24,50 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Gazlı İçecek Kola 2.5 Lt Şekersiz Kristal,Markasız,"170311-kolalı, 17-grup Spot, 1703-i̇çecekler",bim,Çifte Minareseyhanadana,34.5,"13,80 ₺/lt",26.05.2025 10:20,0,ADANA
Kola,Gazlı İçecek Kola Şekersiz 330 ml Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Çifte Minareseyhanadana,19.5,"59,09 ₺/lt",26.05.2025 10:20,0,ADANA
