,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Patates,Patates Taze,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Adana Türkmenbaşı Süper,24.9,"24,90 ₺/kg",26.05.2025 10:20,0,ADANA
Patates,Patates Taze,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Ankara Çankaya Esat Cad,29.5,"29,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Patates,Patates Tatlı İthal,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Ankara Tunalı Hılmı Cad Süper,199.9,"199,90 ₺/kg",26.05.2025 10:20,0,ANKARA
Patates,Patates Taze,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Antalya Meydan Kavağı Süper,17.5,"17,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Patates,Patates Taze,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Balıkesır 2 Süper,32.9,"32,90 ₺/kg",26.05.2025 10:20,0,BALIKESİR
Patates,Patates Tatlı İthal,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Balıkesır 2 Süper,199.9,"199,90 ₺/kg",26.05.2025 10:20,0,BALIKESİR
Patates,Patates Taze,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Bursa Heykel Süper,17.5,"17,50 ₺/kg",26.05.2025 10:20,0,BURSA
Patates,Patates Tatlı İthal,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Bursa Maya Hıper,159.9,"159,90 ₺/kg",26.05.2025 10:20,0,BURSA
Patates,Patates Taze,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Denızlı Teras Park Hıper,31.9,"31,90 ₺/kg",26.05.2025 10:20,0,DENİZLİ
Patates,Patates Tatlı İthal,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Denızlı Acıpayam Blv Süper,159.9,"159,90 ₺/kg",26.05.2025 10:20,0,DENİZLİ
Patates,Patates Taze,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Eskışehır Muttalıp Süper,24.9,"24,90 ₺/kg",26.05.2025 10:20,0,ESKİŞEHİR
Patates,Patates Tatlı İthal,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Eskışehır Neo Hıper,159.9,"159,90 ₺/kg",26.05.2025 10:20,0,ESKİŞEHİR
Patates,Patates File,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Cıhangır Gurme,32.9,"32,90 ₺/kg",26.05.2025 10:20,0,İSTANBUL
Patates,Patates Taze,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Fatıh Molla Güranı,17.5,"17,50 ₺/kg",26.05.2025 10:20,0,İSTANBUL
Patates,Patates Tatlı İthal,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Taksım Asmalı Mescıt,199.9,"199,90 ₺/kg",26.05.2025 10:20,0,İSTANBUL
Patates,Haşlamalık Patates File,Markasız,"Sebzeler, Patates Soğan, Patates",sok,Cemberlıtas,24.9,"24,90 ₺/kg",26.05.2025 10:20,0,İSTANBUL
