,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Portakal,Portakal,Markasız,"10-meyve Sebze, Meyveler, Meyve Sebze, 1001-meyve Sebzeler, Meyve-sebze, 100101-muz, Narenci̇ye, Meyve, Portakal",bim,Çifte Minareseyhanadana,24.5,"24,50 ₺/kg",26.05.2025 10:20,0,ADANA
Portakal,Portakal Valencia,Markasız,"Turunçgıl, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Adana Yenı Baraj Süper,34.9,"34,90 ₺/kg",26.05.2025 10:20,0,ADANA
Portakal,Portakal Washington,Markasız,"Turunçgıl, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Adana Yenı Baraj Süper,32.9,"32,90 ₺/kg",26.05.2025 10:20,0,ADANA
Portakal,Portakal Sıkmalık,Markasız,"Turunçgıl, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Adana Seyhan Çınarlı,43.9,"43,90 ₺/kg",26.05.2025 10:21,0,ADANA
Portakal,Portakal,Markasız,"10-meyve Sebze, Meyveler, Meyve Sebze, 1001-meyve Sebzeler, Meyve-sebze, 100101-muz, Narenci̇ye, Meyve, Portakal",bim,Konurçankaya,24.5,"24,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Portakal,Portakal Valencia,Markasız,"Turunçgıl, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Ankara Çankaya Esat Cad,46.9,"46,90 ₺/kg",26.05.2025 10:20,0,ANKARA
Portakal,Portakal Sıkmalık,Markasız,"Turunçgıl, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Ankara Çankaya Esat Cad,43.9,"43,90 ₺/kg",26.05.2025 10:21,0,ANKARA
Portakal,Portakal,Markasız,"10-meyve Sebze, Meyveler, Meyve Sebze, 1001-meyve Sebzeler, Meyve-sebze, 100101-muz, Narenci̇ye, Meyve, Portakal",bim,Kızılsaray  Antalya,24.5,"24,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Portakal,Portakal Valencia,Markasız,"Turunçgıl, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Antalya Narencıye Süper,49.9,"49,90 ₺/kg",26.05.2025 10:20,0,ANTALYA
Portakal,Portakal Sıkmalık,Markasız,"Turunçgıl, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Antalya Narencıye Süper,46.9,"46,90 ₺/kg",26.05.2025 10:21,0,ANTALYA
Portakal,Portakal,Markasız,"10-meyve Sebze, Meyveler, Meyve Sebze, 1001-meyve Sebzeler, Meyve-sebze, 100101-muz, Narenci̇ye, Meyve, Portakal",bim,Güzelhisar  Aydın,24.5,"24,50 ₺/kg",26.05.2025 10:20,0,AYDIN
