,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Su,Su 0.5 Lt,Markasız,"03-içecekler, 030103-0,5 Litre, 0301-su",bim,Çifte Minareseyhanadana,3.75,"7,50 ₺/lt",26.05.2025 10:20,0,ADANA
Su,Su 5 Lt,Markasız,"03-içecekler, 0301-su, 030101-5 Litre",bim,Çifte Minareseyhanadana,23.0,"4,60 ₺/lt",26.05.2025 10:20,0,ADANA
Su,Su 5.25 Lt,Markasız,"03-içecekler, 0301-su, 030101-5 Litre",bim,Çifte Minareseyhanadana,23.0,"4,34 ₺/lt",26.05.2025 10:20,0,ADANA
Su,Bahçepınar Su 5 Lt,Bahçepınar,"Su &maden Suyu, Su, Maden Suyu-soda-su, Gıda, Içecek, 5lt, Içecekler",tarim_kredi,Adana Seyhan Ibo Osman,22.0,"4,40 ₺/lt",26.05.2025 10:20,0,ADANA
Su,Bahçepınar Su 5 Lt,Bahçepınar,"Su &maden Suyu, Su, Maden Suyu-soda-su, Gıda, Içecek, 5lt, Içecekler",sok,Adana Gazipaşa Mağaza,23.0,"4,60 ₺/lt",26.05.2025 10:20,0,ADANA
Su,Damla Su 1.5 Lt,Damla,"Gıda, Su Ve Maden Suyu, Sade Sular, Lıkıtler",carrefour,Adana Seyhan Çınarlı,23.75,"15,83 ₺/lt",26.05.2025 10:20,0,ADANA
Su,İdeal Su 5 lt,Ideal,"Maden Suyu-soda-su, Su, Su &maden Suyu, Sular, Gıda, Çay Kahve Su Ve Maden Suları, Su Ve Maden Suları, Sade Sular, Içecek, 5lt, Içecekler",tarim_kredi,Adana Seyhan Ibo Osman,22.0,"4,40 ₺/lt",26.05.2025 10:20,0,ADANA
Su,İdeal Su 5 lt,Ideal,"Maden Suyu-soda-su, Su, Su &maden Suyu, Sular, Gıda, Çay Kahve Su Ve Maden Suları, Su Ve Maden Suları, Sade Sular, Içecek, 5lt, Içecekler",migros,Yeni Vilayet M Migros,23.5,"4,70 ₺/lt",26.05.2025 10:20,0,ADANA
Su,Damla Su 6x1.5 lt,Damla,"Sular, Çay Kahve Su Ve Maden Suları, Su Ve Maden Suları, Sade Sular",migros,Yeni Vilayet M Migros,136.0,"15,11 ₺/lt",26.05.2025 10:20,0,ADANA
Su,Bahçepınar Su 1.5 Lt,Bahçepınar,"Su &maden Suyu, Su, Maden Suyu-soda-su, Gıda, 1.5lt, Içecek, Içecekler",tarim_kredi,Adana Seyhan Ibo Osman,7.0,"4,67 ₺/lt",26.05.2025 10:20,0,ADANA
