,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Baklava,Yeşil Fıstıklı Çikolatalı Soğuk Baklava 400 gr,Migros,"Donuk Dondurma, Pasta Tatlı, Dondurulmuş Gıda",migros,Adana Sular M Mıgros,184.95,"462,38 ₺/kg",26.05.2025 10:20,0,ADANA
Baklava,Yeşil Çikolatalı Cevizli Soğuk Baklava 900 gr,Taneli,"Donuk Dondurma, Pasta Tatlı, Dondurulmuş Gıda",migros,Adana Sular M Mıgros,224.95,"249,94 ₺/kg",26.05.2025 10:20,0,ADANA
Baklava,Ecem d. fıstıklı Baklava kg,Markasız,"Unlu Mamuller Servis, Paketli Unlu Mamüller, Yapraklı Şerbetli Tatlılar, Tatlılar",migros,Yedieylül Mhefeler Aydın M,399.0,"399,00 ₺/kg",26.05.2025 10:20,0,AYDIN
Baklava,Ecem d. cevizli Baklava kg,Markasız,"Unlu Mamuller Servis, Paketli Unlu Mamüller, Yapraklı Şerbetli Tatlılar, Tatlılar",migros,Yedieylül Mhefeler Aydın M,285.0,"285,00 ₺/kg",26.05.2025 10:20,0,AYDIN
Baklava,Yeşil Cevizli Baklava 400 gr,Markasız,"Donuk Dondurma, Pasta Tatlı, Dondurulmuş Gıda",migros,5m Aydın Kipa Avm,129.95,"324,88 ₺/kg",26.05.2025 10:20,0,AYDIN
Baklava,Aslı Fıstıklı Soğuk Baklava 400 gr,Aslı,"Donuk Dondurma, Pasta Tatlı, Dondurulmuş Gıda",migros,5m Aydın Kipa Avm,199.95,"499,87 ₺/kg",26.05.2025 10:20,0,AYDIN
Baklava,Yeşil Fıstıklı Çikolatalı Soğuk Baklava 400 gr,Migros,"Donuk Dondurma, Pasta Tatlı, Dondurulmuş Gıda",migros,5m Aydın Kipa Avm,184.95,"462,38 ₺/kg",26.05.2025 10:20,0,AYDIN
Baklava,Yeşil Çikolatalı Cevizli Soğuk Baklava 900 gr,Taneli,"Donuk Dondurma, Pasta Tatlı, Dondurulmuş Gıda",migros,5m Aydın Kipa Avm,224.95,"249,94 ₺/kg",26.05.2025 10:20,0,AYDIN
Baklava,Cevizli Soğuk Baklava,Markasız,"Pasta-ekmek, Taze Gıdalar, Hamurlu Ve Serbetlı, Serbetlı Tatlılar",carrefour,Bursa Maya Hıper,269.0,"269,00 ₺/kg",26.05.2025 10:20,0,BURSA
Baklava,Fıstıklı Soğuk Baklava,Markasız,"Pasta-ekmek, Taze Gıdalar, Hamurlu Ve Serbetlı, Serbetlı Tatlılar",carrefour,Bursa Maya Hıper,490.0,"490,00 ₺/kg",26.05.2025 10:20,0,BURSA
Baklava,Yeşil Çikolatalı Cevizli Soğuk Baklava 900 gr,Taneli,"Donuk Dondurma, Pasta Tatlı, Dondurulmuş Gıda",migros,Zafer Plaza Bursa Mm Migros,224.95,"249,94 ₺/kg",26.05.2025 10:20,0,BURSA
Baklava,Çik.dubai Baklavası kg,Markasız,"Pasta-ekmek, Taze Gıdalar, Hamurlu Ve Serbetlı, Serbetlı Tatlılar",carrefour,Bursa Maya Hıper,950.0,"950,00 ₺/kg",26.05.2025 10:20,0,BURSA
Baklava,Ecem d. fıstıklı Baklava kg,Markasız,"Unlu Mamuller Servis, Paketli Unlu Mamüller, Yapraklı Şerbetli Tatlılar, Tatlılar",migros,5m Horizon Garden Avm Denizli,399.0,"399,00 ₺/kg",26.05.2025 10:20,0,DENİZLİ
Baklava,Ecem d. cevizli Baklava kg,Markasız,"Unlu Mamuller Servis, Paketli Unlu Mamüller, Yapraklı Şerbetli Tatlılar, Tatlılar",migros,5m Horizon Garden Avm Denizli,285.0,"285,00 ₺/kg",26.05.2025 10:20,0,DENİZLİ
