,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Gofret,Gofret Kakaolu 900g Oslo,Markasız,"17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, 170708-kaplamasız Gofret",bim,Çifte Minareseyhanadana,54.5,"60,56 ₺/kg",26.05.2025 10:20,0,ADANA
Gofret,Gofret Çikolata Kremalı 216 Wafermaster,Wafer Master,"17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, 170708-kaplamasız Gofret",bim,Çifte Minareseyhanadana,49.5,"49,50 ₺/adet",26.05.2025 10:20,0,ADANA
Gofret,Gofret Vanilya 800 gr Miskos,Miskos,"17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, 170708-kaplamasız Gofret",bim,Çifte Minareseyhanadana,69.0,"76,67 ₺/kg",26.05.2025 10:20,0,ADANA
Gofret,Gofret Kakaolu 350 gr Centro,Centro,"070302-kaplamasız Gofret, 07-bisküvi-çikolata., 0703-gofretler",bim,Çifte Minareseyhanadana,34.5,"98,57 ₺/kg",26.05.2025 10:20,0,ADANA
Gofret,Karmen Çikolata Gofret 38 gr,Karmen,"Atıştırmalık, Çi̇kolatalı Gofret, Çikolatalı Gofret",sok,Adana Seyhan Kurtuluş,8.5,"223,68 ₺/kg",26.05.2025 10:20,0,ADANA
Gofret,Karmen Fındıklı Gofret 32 gr,Karmen,"Atıştırmalık, Çi̇kolatalı Gofret, Çikolatalı Gofret",sok,Adana Seyhan Kurtuluş,12.5,"390,62 ₺/kg",26.05.2025 10:20,0,ADANA
Gofret,Peki Muzlu Gofret 350 gr,Peki,"Atıştırmalık, Gofret, Wafer",sok,Adana Seyhan Kurtuluş,34.5,"98,57 ₺/kg",26.05.2025 10:20,0,ADANA
Gofret,Torku Miniki Gofret 18 Gr,Torku,"Gıda, Çikolata Kaplamalı Gofretler, Atıştırmalık, Bisküvi Ve Çikolata, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Gofret, Çikolata Kaplamalılar, Çi̇kolata Kaplamalı Gofretler",tarim_kredi,Adana Seyhan Ibo Osman,7.9,"438,89 ₺/kg",26.05.2025 10:20,0,ADANA
Gofret,Torku Miniki Gofret 18 Gr,Torku,"Gıda, Çikolata Kaplamalı Gofretler, Atıştırmalık, Bisküvi Ve Çikolata, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Gofret, Çikolata Kaplamalılar, Çi̇kolata Kaplamalı Gofretler",migros,Yeni Vilayet M Migros,8.9,"494,44 ₺/kg",26.05.2025 10:20,0,ADANA
Gofret,Peki Kakaolu Gofret 350 gr,Peki,"Atıştırmalık, Gofret, Wafer",sok,Adana Seyhan Kurtuluş,34.5,"98,57 ₺/kg",26.05.2025 10:20,0,ADANA
