,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Şehriye,Carrefour Arpa Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Adana Türkmenbaşı Süper,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Carrefour Tel Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Adana Türkmenbaşı Süper,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Piyale Arpa Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Adana Seyhan Kurtuluş,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Filiz Tel Şehriye 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Adana Türkmenbaşı Süper,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Piyale Tel Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Adana Seyhan Kurtuluş,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Migros Arpa Şehriye 500 gr .,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Yeni Vilayet M Migros,12.95,"25,90 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Mutlu Arpa Şehriye 500 gr,Mutlu,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Adana Türkmenbaşı Süper,22.75,"45,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Ankara Tel Şehriye 500 gr,Ankara,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Adana Türkmenbaşı Süper,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Migros Tel Şehriye 500 gr,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Yeni Vilayet M Migros,12.95,"25,90 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Ankara Arpa Şehriye 500 gr,Ankara,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Adana Türkmenbaşı Süper,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Arpa Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Çifte Minareseyhanadana,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Tel Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Çifte Minareseyhanadana,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Filiz Arpa Şehriye Makarna 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Adana Türkmenbaşı Süper,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Filiz Yıldız Şehriye Makarna 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Adana Yenı Baraj Süper,24.95,"49,90 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Tarım Kredi Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Adana Seyhan Ibo Osman,19.9,"39,80 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Tarım Kredi Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Adana Seyhan Ibo Osman,19.9,"39,80 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Arbella Plus Glutensiz Arpa Şehriye 400 gr,Arbella,"Glutensi̇z, Glutensiz Makarna, Sağlıklı Yaşam Ürünleri, Sıvı Yağ Makarna Un",migros,Yeni Vilayet M Migros,83.95,"209,87 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Tarım Kredi Anadolu Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Adana Seyhan Ibo Osman,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Tarım Kredi Anadolu Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Adana Seyhan Ibo Osman,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ADANA
Şehriye,Carrefour Arpa Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Çankaya Esat Cad,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Carrefour Tel Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Çankaya Esat Cad,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Piyale Arpa Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Çankaya Merkez,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Filiz Tel Şehriye 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Cebecı Mını,22.0,"44,00 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Piyale Tel Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Çankaya Merkez,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Migros Arpa Şehriye 500 gr .,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Ankara Kolej M Mıgros,12.95,"25,90 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Barilla Arpa Şehriye 500 gr,Barilla,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Tunalı Hılmı Cad Süper,47.5,"95,00 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Mutlu Arpa Şehriye 500 gr,Mutlu,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Çankaya Esat Cad,22.75,"45,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Ankara Tel Şehriye 500 gr,Ankara,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Çankaya Esat Cad,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Migros Tel Şehriye 500 gr,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Ankara Kolej M Mıgros,12.95,"25,90 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Ankara Arpa Şehriye 500 gr,Ankara,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Çankaya Esat Cad,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Arpa Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Konurçankaya,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Tel Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Konurçankaya,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Filiz Arpa Şehriye Makarna 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Çankaya Esat Cad,22.0,"44,00 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Filiz Yıldız Şehriye Makarna 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Tunalı Hılmı Cad Süper,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Tarım Kredi Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Ankara Necatibey Market,19.9,"39,80 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Tarım Kredi Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Ankara Necatibey Market,19.9,"39,80 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Tarım Kredi Anadolu Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Ankara Necatibey Market,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Tarım Kredi Anadolu Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Ankara Necatibey Market,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Pirinç Şehriyesi 400 gr,Rice Vermicelli,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Tunalı Hılmı Cad Süper,102.9,"257,25 ₺/kg",26.05.2025 10:20,0,ANKARA
Şehriye,Carrefour Arpa Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Konyaaltı Caddesı Mını,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Carrefour Tel Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Konyaaltı Caddesı Mını,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Piyale Arpa Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Muratpaşa Yenikapı,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Tel Şehriye 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Meydan Kavağı Süper,22.0,"44,00 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Piyale Tel Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Muratpaşa Yenikapı,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Migros Arpa Şehriye 500 gr .,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Mjet Kaleiçi Antalya,12.95,"25,90 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Barilla Arpa Şehriye 500 gr,Barilla,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Narencıye Süper,47.5,"95,00 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Mutlu Arpa Şehriye 500 gr,Mutlu,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Narencıye Süper,22.75,"45,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Ankara Tel Şehriye 500 gr,Ankara,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Konyaaltı Caddesı Mını,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Migros Tel Şehriye 500 gr,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Mjet Kaleiçi Antalya,12.95,"25,90 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Ankara Arpa Şehriye 500 gr,Ankara,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Konyaaltı Caddesı Mını,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Arpa Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Kızılsaray  Antalya,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Tel Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Kızılsaray  Antalya,11.25,"22,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Arpa Şehriye Makarna 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Sgk Çarşamba Süper,22.0,"44,00 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Yıldız Şehriye Makarna 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Narencıye Süper,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Tarım Kredi Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Antalya Muratpaşa Yenigün,19.9,"39,80 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Tarım Kredi Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Antalya Muratpaşa Yenigün,19.9,"39,80 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Arbella Plus Glutensiz Arpa Şehriye 400 gr,Arbella,"Glutensi̇z, Glutensiz Makarna, Sağlıklı Yaşam Ürünleri, Sıvı Yağ Makarna Un",migros,Recep Peker Antalya M Migros,83.95,"209,87 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Tarım Kredi Anadolu Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Antalya Muratpaşa Yenigün,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Tarım Kredi Anadolu Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Antalya Muratpaşa Yenigün,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,ANTALYA
Şehriye,Carrefour Arpa Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Aydın Mımar Sınan Süper,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,AYDIN
Şehriye,Carrefour Tel Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Aydın Mımar Sınan Süper,12.75,"25,50 ₺/kg",26.05.2025 10:20,0,AYDIN
Şehriye,Filiz Tel Şehriye 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Aydın Mımar Sınan Süper,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,AYDIN
Şehriye,Migros Arpa Şehriye 500 gr .,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Istiklal Aydın M Migros,12.95,"25,90 ₺/kg",26.05.2025 10:20,0,AYDIN
Şehriye,Mutlu Arpa Şehriye 500 gr,Mutlu,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Aydın Mımar Sınan Süper,22.75,"45,50 ₺/kg",26.05.2025 10:20,0,AYDIN
Şehriye,Ankara Tel Şehriye 500 gr,Ankara,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Aydın Mımar Sınan Süper,27.95,"55,90 ₺/kg",26.05.2025 10:20,0,AYDIN
