,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Ayran,Torku 1 Lt Ayran,Torku,"1702-sütlü Mamuller, 17-grup Spot, 170215-büyük Ayran",bim,Çifte Minareseyhanadana,32.5,"32.500,00 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Migros Ayran 1.5 lt,Migros,"Pl Ayran, Pl Süt Yoğurt Ve Günlük Paketli, Pl Günlük Içecekler",migros,Mjet Ziyapaşa Adana,41.75,"27,83 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Sek Ayran 285 Ml,Sek,"Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran",migros,Yeni Vilayet M Migros,13.95,"48,95 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Sütaş 200 Ml Ayran,Sütaş,"Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran",migros,Yeni Vilayet M Migros,9.85,"49,25 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Torku Ayran 2 l,Torku,"020402-büyük Ayran, Günlük Içecekler, 0204-ayran, Süt Yoğurt Ve Günlük Paketli, Ayran, 02-sütlü Mamuller",bim,Çifte Minareseyhanadana,72.5,"36,25 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Sütaş Ayran 300 ml,Sütaş,"Süt Ve Sütlü Mamüller, Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran, Ayran Ve Kefirler",migros,Yeni Vilayet M Migros,14.0,"46,67 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Eker Ayran 1 lt,Eker,"Günlük Içecek, Gıda, Günlük Içecekler, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Ayran",carrefour,Adana Türkmenbaşı Süper,38.95,"38,95 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Eker Ayran 1 lt,Eker,"Günlük Içecek, Gıda, Günlük Içecekler, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Ayran",migros,Adana Sular M Mıgros,39.5,"39,50 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Sek 300 Ml Naneli Ayran,Sek,"1702-sütlü Mamuller, 17-grup Spot, 170214-küçük Ayran",bim,Çifte Minareseyhanadana,11.5,"38,33 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Sütaş Ayran Şişe 250 Ml,Sütaş,"Süt Ve Sütlü Mamüller, Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran, Ayran Ve Kefirler",a101,Cumhuriyet Cad Seyhan Adana,12.5,"50,00 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,İçim 1.5 Lt Şişe Ayran,İçim,"Günlük Içecek, Gıda, 020402-büyük Ayran, Self Servıs, Günlük, 0204-ayran, 02-sütlü Mamuller",bim,Çifte Minareseyhanadana,52.5,"35,00 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Tarım Kredi Ayran 200 Ml,Tarım Kredi,"Gıda, Yoğurt-ayran-kefi̇r, Süt Ve Süt Ürünleri, Ayran",tarim_kredi,Adana Seyhan Ibo Osman,7.0,"35,00 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Tarım Kredi Ayran 285 Ml,Tarım Kredi,"Gıda, Yoğurt-ayran-kefi̇r, Süt Ve Süt Ürünleri, Ayran",tarim_kredi,Adana Seyhan Ibo Osman,9.9,"34,74 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Ayran Bardak 200 ml Dost,Dost,"020401-küçük Ayran, 0204-ayran, 02-sütlü Mamuller",bim,Çifte Minareseyhanadana,7.0,"35,00 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Ayran Şişe 1500 Ml Dost,Dost,"020402-büyük Ayran, 0204-ayran, 02-sütlü Mamuller",bim,Çifte Minareseyhanadana,41.5,"27,67 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Eker Tombul Ayran 195 Ml,Eker,"Günlük Içecek, Gıda, Günlük Içecekler, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Ayran",migros,Yeni Vilayet M Migros,14.5,"74,36 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Eker Tombul Ayran 195 Ml,Eker,"Günlük Içecek, Gıda, Günlük Içecekler, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Ayran",carrefour,Adana Seyhan Çınarlı,15.15,"77,69 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Ayran Şişe 1 Lt Binvezir,Binvezir,"020402-büyük Ayran, 0204-ayran, 02-sütlü Mamuller",bim,Çifte Minareseyhanadana,24.5,"24,50 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,"Ayran %0,8 Yağlı 170 Ml Yörükoğlu",Yörükoğlu,"1702-sütlü Mamuller, 17-grup Spot, 170214-küçük Ayran",bim,Çifte Minareseyhanadana,5.0,"5.000,00 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,"%0,8 Yağlı Ayran 200 Ml Sek",Sek,"1702-sütlü Mamuller, 17-grup Spot, 170214-küçük Ayran",bim,Çifte Minareseyhanadana,6.5,"32,50 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,"Dost 2 Lt %1,2 Yağlı Ayran",Dost,"1702-sütlü Mamuller, 17-grup Spot, 170215-büyük Ayran",bim,Çifte Minareseyhanadana,49.5,"49.500,00 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Tam Yağlı Ayran İçim 2 Lt,İçim,"1702-sütlü Mamuller, 17-grup Spot, 170215-büyük Ayran",bim,Çifte Minareseyhanadana,59.0,"29,50 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Mis Ayran Tam Yağlı 1.5 Lt,Mis,"Süt-yoğurt-günlük Paketli-katı Yağ, Ayran, Şişe Ayran, Günlük Ve Diğer Şarküteri",sok,Adana Seyhan Kurtuluş,37.0,"24,67 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Sütaş Pratik Şişe Ayran 2 lt,Sütaş,"Gıda, Yoğurt-ayran-kefi̇r, Ayranlar, Günlük Içecekler, Süt Ve Süt Ürünleri, Süt Yoğurt Ve Günlük Paketli, Ayran",tarim_kredi,Adana Seyhan Ibo Osman,59.9,"29,95 ₺/lt",31.05.2025 10:19,0,ADANA
Ayran,Torku Tam Yağlı Ayran 200 Ml,Torku,"Günlük Içecekler, Süt Yoğurt Ve Günlük Paketli, Ayran",migros,Yeni Vilayet M Migros,8.5,"42,50 ₺/lt",31.05.2025 10:19,0,ADANA
