,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Sirke,Beyaz Sirke 5 Lt Fermeden,Markasız,"170816-beyaz Sirke, 1708-konserve, 17-grup Spot",bim,Çifte Minareseyhanadana,69.5,"13,90 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Sirke Üzüm 500 Ml Torku,Torku,"1708-konserve, 17-grup Spot, 170818-üzüm Sirkesi",bim,Çifte Minareseyhanadana,27.0,"54,00 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Migros Beyaz Sirke 1 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Yeni Vilayet M Migros,14.5,"14,50 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Migros Beyaz Sirke 2 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Yeni Vilayet M Migros,28.75,"14,38 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Çınarköy Beyaz Sirke 2 Lt,Çınarköy,"170816-beyaz Sirke, Soslar, Salata Sosları, Sirke, 1708-konserve, 17-grup Spot",sok,Adana Seyhan Kurtuluş,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Çınarköy Beyaz Sirke 2 Lt,Çınarköy,"170816-beyaz Sirke, Soslar, Salata Sosları, Sirke, 1708-konserve, 17-grup Spot",bim,Çifte Minareseyhanadana,32.5,"16,25 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Ferfresh Beyaz Sirke 2 lt,Ferfresh,"Salata Malzemelerı, Soslar, Kuru Gıdalar, Salata Sosları, Gıda, Konserve Salça Sos, Sirke, Konserve/sos/baharat",migros,Yeni Vilayet M Migros,89.95,"44,97 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Fersan Balsamik Sirke 250 Ml,Fersan,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Yeni Vilayet M Migros,149.95,"599,80 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Beyaz Sirke 2 Lt Efor,Efor,"080701-beyaz Sirke, 0807-si̇rkeler, 08-konserve",bim,Çifte Minareseyhanadana,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Sirke Üzüm 750 Ml Fıçı,Fıçı,"080703-üzüm Sirkesi, 0807-si̇rkeler, 08-konserve",bim,Çifte Minareseyhanadana,23.5,"31,33 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Sirke Elma 750 Ml Fıçı,Fıçı,"0807-si̇rkeler, 080702-elma Sirkesi, 08-konserve",bim,Çifte Minareseyhanadana,23.5,"31,33 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Beyaz Sirke 2 Lt Bizim Vatan,Bizim Vatan,"Soslar, Salata Sosları, Sirke",sok,Adana Seyhan Kurtuluş,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Yeni Kavaklıdere Beyaz Sirke 2000 Ml,Kavaklıdere,"170816-beyaz Sirke, Soslar, Salata Sosları, Konserve Salça Sos, Sirke, 1708-konserve, 17-grup Spot",bim,Çifte Minareseyhanadana,25.0,"12,50 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Doğanay Nare Beyaz Sirke 2000 Ml,Doğanay,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Yeni Vilayet M Migros,59.95,"29,98 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Tariş Üzüm Sirke 2 Lt Pet,Tariş,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Yeni Vilayet M Migros,149.95,"74,97 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Tarım Kredi Anadolu Beyaz Sirke 2 Lt,Tarım Kredi,"Soslar, Gıda, Sirke, Temel Gıda Ürünleri",tarim_kredi,Adana Seyhan Ibo Osman,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Fersan Detox Doğal Sirke Analı Üzüm Sirkesi 500 Ml,Fersan,"Salata Malzemelerı, Soslar, Kuru Gıdalar, Salata Sosları, Gıda, Konserve Salça Sos, Sirke, Konserve/sos/baharat",migros,Yeni Vilayet M Migros,89.95,"179,90 ₺/lt",31.05.2025 10:19,0,ADANA
Sirke,Beyaz Sirke 5 Lt Fermeden,Markasız,"170816-beyaz Sirke, 1708-konserve, 17-grup Spot",bim,Konurçankaya,69.5,"13,90 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Sirke Üzüm 500 Ml Torku,Torku,"1708-konserve, 17-grup Spot, 170818-üzüm Sirkesi",bim,Konurçankaya,27.0,"54,00 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Migros Beyaz Sirke 1 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Ankara Kolej M Mıgros,14.5,"14,50 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Migros Beyaz Sirke 2 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Ankara Kolej M Mıgros,28.75,"14,38 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Çınarköy Beyaz Sirke 2 Lt,Çınarköy,"170816-beyaz Sirke, Soslar, Salata Sosları, Sirke, 1708-konserve, 17-grup Spot",bim,Konurçankaya,32.5,"16,25 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Ferfresh Beyaz Sirke 2 lt,Ferfresh,"Salata Malzemelerı, Soslar, Kuru Gıdalar, Salata Sosları, Gıda, Konserve Salça Sos, Sirke, Konserve/sos/baharat",migros,Ankara Kolej M Mıgros,89.95,"44,97 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Fersan Balsamik Sirke 250 Ml,Fersan,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Ankara Kolej M Mıgros,149.95,"599,80 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Beyaz Sirke 2 Lt Efor,Efor,"080701-beyaz Sirke, 0807-si̇rkeler, 08-konserve",bim,Konurçankaya,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Sirke Üzüm 750 Ml Fıçı,Fıçı,"080703-üzüm Sirkesi, 0807-si̇rkeler, 08-konserve",bim,Konurçankaya,23.5,"31,33 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Sirke Elma 750 Ml Fıçı,Fıçı,"0807-si̇rkeler, 080702-elma Sirkesi, 08-konserve",bim,Konurçankaya,23.5,"31,33 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Beyaz Sirke 2 Lt Bizim Vatan,Bizim Vatan,"Soslar, Salata Sosları, Sirke",sok,Çankaya Merkez,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Yeni Kavaklıdere Beyaz Sirke 2000 Ml,Kavaklıdere,"170816-beyaz Sirke, Soslar, Salata Sosları, Konserve Salça Sos, Sirke, 1708-konserve, 17-grup Spot",bim,Konurçankaya,25.0,"12,50 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Doğanay Nare Beyaz Sirke 2000 Ml,Doğanay,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Ankara Kolej M Mıgros,59.95,"29,98 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Tariş Üzüm Sirke 2 Lt Pet,Tariş,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Ankara Kolej M Mıgros,149.95,"74,97 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Tarım Kredi Anadolu Beyaz Sirke 2 Lt,Tarım Kredi,"Soslar, Gıda, Sirke, Temel Gıda Ürünleri",tarim_kredi,Ankara Necatibey Market,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Fersan Detox Doğal Sirke Analı Üzüm Sirkesi 500 Ml,Fersan,"Salata Malzemelerı, Soslar, Kuru Gıdalar, Salata Sosları, Gıda, Konserve Salça Sos, Sirke, Konserve/sos/baharat",migros,Ankara Kolej M Mıgros,89.95,"179,90 ₺/lt",31.05.2025 10:19,0,ANKARA
Sirke,Beyaz Sirke 5 Lt Fermeden,Markasız,"170816-beyaz Sirke, 1708-konserve, 17-grup Spot",bim,Kızılsaray  Antalya,69.5,"13,90 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Sirke Üzüm 500 Ml Torku,Torku,"1708-konserve, 17-grup Spot, 170818-üzüm Sirkesi",bim,Kızılsaray  Antalya,27.0,"54,00 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Migros Beyaz Sirke 1 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Mjet Kaleiçi Antalya,14.5,"14,50 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Migros Beyaz Sirke 2 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Mjet Kaleiçi Antalya,28.75,"14,38 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Çınarköy Beyaz Sirke 2 Lt,Çınarköy,"170816-beyaz Sirke, Soslar, Salata Sosları, Sirke, 1708-konserve, 17-grup Spot",bim,Kızılsaray  Antalya,32.5,"16,25 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Ferfresh Beyaz Sirke 2 lt,Ferfresh,"Salata Malzemelerı, Soslar, Kuru Gıdalar, Salata Sosları, Gıda, Konserve Salça Sos, Sirke, Konserve/sos/baharat",migros,Recep Peker Antalya M Migros,89.95,"44,97 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Fersan Balsamik Sirke 250 Ml,Fersan,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Mjet Kaleiçi Antalya,149.95,"599,80 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Beyaz Sirke 2 Lt Efor,Efor,"080701-beyaz Sirke, 0807-si̇rkeler, 08-konserve",bim,Kızılsaray  Antalya,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Sirke Üzüm 750 Ml Fıçı,Fıçı,"080703-üzüm Sirkesi, 0807-si̇rkeler, 08-konserve",bim,Kızılsaray  Antalya,23.5,"31,33 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Sirke Elma 750 Ml Fıçı,Fıçı,"0807-si̇rkeler, 080702-elma Sirkesi, 08-konserve",bim,Kızılsaray  Antalya,23.5,"31,33 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Beyaz Sirke 2 Lt Bizim Vatan,Bizim Vatan,"Soslar, Salata Sosları, Sirke",sok,Muratpaşa Yenikapı,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Yeni Kavaklıdere Beyaz Sirke 2000 Ml,Kavaklıdere,"170816-beyaz Sirke, Soslar, Salata Sosları, Konserve Salça Sos, Sirke, 1708-konserve, 17-grup Spot",bim,Kızılsaray  Antalya,25.0,"12,50 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Tariş Üzüm Sirke 2 Lt Pet,Tariş,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Recep Peker Antalya M Migros,149.95,"74,97 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Tarım Kredi Anadolu Beyaz Sirke 2 Lt,Tarım Kredi,"Soslar, Gıda, Sirke, Temel Gıda Ürünleri",tarim_kredi,Antalya Muratpaşa Yenigün,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,ANTALYA
Sirke,Beyaz Sirke 5 Lt Fermeden,Markasız,"170816-beyaz Sirke, 1708-konserve, 17-grup Spot",bim,Güzelhisar  Aydın,69.5,"13,90 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Sirke Üzüm 500 Ml Torku,Torku,"1708-konserve, 17-grup Spot, 170818-üzüm Sirkesi",bim,Güzelhisar  Aydın,27.0,"54,00 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Migros Beyaz Sirke 1 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Istiklal Aydın M Migros,14.5,"14,50 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Migros Beyaz Sirke 2 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Istiklal Aydın M Migros,28.75,"14,38 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Çınarköy Beyaz Sirke 2 Lt,Çınarköy,"170816-beyaz Sirke, Soslar, Salata Sosları, Sirke, 1708-konserve, 17-grup Spot",bim,Güzelhisar  Aydın,32.5,"16,25 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Ferfresh Beyaz Sirke 2 lt,Ferfresh,"Salata Malzemelerı, Soslar, Kuru Gıdalar, Salata Sosları, Gıda, Konserve Salça Sos, Sirke, Konserve/sos/baharat",migros,Istiklal Aydın M Migros,89.95,"44,97 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Fersan Balsamik Sirke 250 Ml,Fersan,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Mjet Cumhuriyet Efeler Aydın,149.95,"599,80 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Beyaz Sirke 2 Lt Efor,Efor,"080701-beyaz Sirke, 0807-si̇rkeler, 08-konserve",bim,Güzelhisar  Aydın,28.5,"14,25 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Sirke Üzüm 750 Ml Fıçı,Fıçı,"080703-üzüm Sirkesi, 0807-si̇rkeler, 08-konserve",bim,Güzelhisar  Aydın,23.5,"31,33 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Sirke Elma 750 Ml Fıçı,Fıçı,"0807-si̇rkeler, 080702-elma Sirkesi, 08-konserve",bim,Güzelhisar  Aydın,23.5,"31,33 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Beyaz Sirke 2 Lt Bizim Vatan,Bizim Vatan,"Soslar, Salata Sosları, Sirke",sok,Aydın Soğukkuyu,25.0,"12,50 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Fersan Balsamik Sirke 500 Ml Cam,Fersan,"Salata Malzemelerı, Soslar, Kuru Gıdalar, Salata Sosları, Gıda, Konserve Salça Sos, Sirke, Konserve/sos/baharat",migros,Aydın Mağazası,209.95,"419,90 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Yeni Kavaklıdere Beyaz Sirke 2000 Ml,Kavaklıdere,"170816-beyaz Sirke, Soslar, Salata Sosları, Konserve Salça Sos, Sirke, 1708-konserve, 17-grup Spot",bim,Güzelhisar  Aydın,25.0,"12,50 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Doğanay Nare Beyaz Sirke 2000 Ml,Doğanay,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,Aydın Mağazası,59.95,"29,98 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Tariş Üzüm Sirke 2 Lt Pet,Tariş,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,5m Aydın Kipa Avm,149.95,"74,97 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Fersan Balsamik Sirke Condımento Rose 250 Ml,Fersan,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,5m Aydın Kipa Avm,109.95,"439,80 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Fersan Yaban Mersinli Balsamik Sirke 250 Ml,Fersan,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,5m Aydın Kipa Avm,109.95,"439,80 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Fersan Balsamik Sirke Condımento Bıanco 250 Ml,Fersan,"Soslar, Salata Sosları, Konserve Salça Sos, Sirke",migros,5m Aydın Kipa Avm,109.95,"439,80 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Fersan Detox Doğal Sirke Analı Üzüm Sirkesi 500 Ml,Fersan,"Salata Malzemelerı, Soslar, Kuru Gıdalar, Salata Sosları, Gıda, Konserve Salça Sos, Sirke, Konserve/sos/baharat",migros,5m Aydın Kipa Avm,89.95,"179,90 ₺/lt",31.05.2025 10:19,0,AYDIN
Sirke,Beyaz Sirke 5 Lt Fermeden,Markasız,"170816-beyaz Sirke, 1708-konserve, 17-grup Spot",bim,Anafartalar  Balıkesir,69.5,"13,90 ₺/lt",31.05.2025 10:19,0,BALIKESİR
Sirke,Sirke Üzüm 500 Ml Torku,Torku,"1708-konserve, 17-grup Spot, 170818-üzüm Sirkesi",bim,Anafartalar  Balıkesir,27.0,"54,00 ₺/lt",31.05.2025 10:19,0,BALIKESİR
Sirke,Migros Beyaz Sirke 1 lt,Migros,"Pl Konserve Salça Sos, Pl Soslar, Pl Salata Sosları, Pl Sirke",migros,Balıkesir Eskiterminal M,14.5,"14,50 ₺/lt",31.05.2025 10:19,0,BALIKESİR
