,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Tavuk Eti,Piliç Baget Lale Tazem Piliç,Tazem,"0101-kanatlı Et, 01-etli Mamuller, 010102-tabaklı Tavuk",bim,Çifte Minareseyhanadana,219.0,"219,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Dond.fırınlık Piliç,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170104-donuk Poşetli Tavuk",bim,Çifte Minareseyhanadana,74.9,"74.900,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Piliç Fırınlık,Markasız,"0101-kanatlı Et, 010101-poşetli Tavuk, 01-etli Mamuller",bim,Çifte Minareseyhanadana,87.5,"87,50 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Ondurulmuş Piliç Sarma,Markasız,"0101-kanatlı Et, 01-etli Mamuller, 010105-donuk Tabaklı Tavuk",bim,Çifte Minareseyhanadana,99.0,"99.000,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Dondurulmuş Piliç Bonfile,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170105-donuk Tabaklı Tavuk",bim,Çifte Minareseyhanadana,149.0,"149.000,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Donuk Bütün Piliç,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170104-donuk Poşetli Tavuk",bim,Çifte Minareseyhanadana,69.9,"69.900,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Dondurulmuş Piliç Baget,Markasız,"1701-etli̇ Mamuller, 17-grup Spot, 170105-donuk Tabaklı Tavuk",bim,Çifte Minareseyhanadana,69.9,"69.900,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Tadpi Piliç Pirzola,Tadpi,"Kümes Hayvanları-yumurta, Taze Pi̇li̇ç Ürünleri̇, Taze Gıda Kümes Hayvanları, But Pirzola",sok,Adana Seyhan Sular,139.0,"139,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Banvit Piliç Kanat,Banvit,"Kanat, Piliç, Beyaz Et",migros,Yeni Vilayet M Migros,299.95,"299,95 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Gedik Piliç Fileto,Gedik,"Piliç, Göğüs, Beyaz Et, Bonfile",migros,Cemalpaşa M Migros,219.95,"219,95 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Tadpi Piliç Bonfile,Tadpi,"Kümes Hayvanları-yumurta, Taze Pi̇li̇ç Ürünleri̇, Taze Gıda Kümes Hayvanları, Bonfile",sok,Adana Seyhan Sular,179.0,"179,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Banvit Piliç Pirzola,Banvit,"But, Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Piliç, Beyaz Et, Pirzola",migros,Yeni Vilayet M Migros,199.95,"199,95 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Banvit Bütün Piliç,Banvit,"Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Piliç, Beyaz Et",tarim_kredi,Adana Seyhan Mithatpaşa,92.5,"92,50 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Piliç Baget Tazem,Tazem,"0101-kanatlı Et, 01-etli Mamuller, 010102-tabaklı Tavuk",bim,Çifte Minareseyhanadana,109.5,"109,50 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Banvit Piliç Ciğer,Banvit,"Et-et Ürünleri-dondurulmuş Ürünler, Et Ve Et Ürünleri, Piliç, Beyaz Et",tarim_kredi,Adana Seyhan Mithatpaşa,45.0,"45,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Piliç Bonfile Tazem,Tazem,"0101-kanatlı Et, 01-etli Mamuller, 010102-tabaklı Tavuk",bim,Çifte Minareseyhanadana,225.0,"225,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Piliç Pirzola Tazem,Tazem,"0101-kanatlı Et, 01-etli Mamuller, 010102-tabaklı Tavuk",bim,Çifte Minareseyhanadana,175.0,"175,00 ₺/kg",31.05.2025 10:19,0,ADANA
Tavuk Eti,Banvit Piliç Baget,Banvit,"But, Kasap, Pılıç, Et-et Ürünleri-dondurulmuş Ürünler, Kanatlı, Et Ve Et Ürünleri, Baget, Taze Gıdalar, Piliç, Beyaz Et",tarim_kredi,Adana Seyhan Mithatpaşa,89.0,"89,00 ₺/kg",31.05.2025 10:19,0,ADANA
