,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Beyaz Peynir,Ünal Klasik Beyaz Peynir,Ünal,"Sarküterı, Taze Gıdalar, Süt Ürünlerı, Beyaz Peynir Kg",carrefour,Adana Türkmenbaşı Süper,499.95,"499,95 ₺/kg",01.06.2025 10:20,0,ADANA
Beyaz Peynir,Ekici Beyaz Peynir 500 gr,Ekici,"Peynır, Gıda, Lokumlu Peynir, Peynir-günlük Servis, Self Servıs, Beyaz Pey, Süt Ve Süt Ürünleri, Beyaz Peynir, Beyaz Peyni̇r, Beyaz Peynirler, Kültürlü Peyni̇r, Beyaz Peynir Kültürl, Süt Ve Sütlü Mamüller, Peynir Paket, Beyaz Peynır, Beyaz Peynir Kültürlü, Peynir Günlük Servis Ve Katı Yağ, Kültürlü Peynir",migros,Yeni Vilayet M Migros,127.5,"255,00 ₺/kg",01.06.2025 10:19,0,ADANA
Beyaz Peynir,Ekici Beyaz Peynir 500 gr,Ekici,"Peynır, Gıda, Lokumlu Peynir, Peynir-günlük Servis, Self Servıs, Beyaz Pey, Süt Ve Süt Ürünleri, Beyaz Peynir, Beyaz Peyni̇r, Beyaz Peynirler, Kültürlü Peyni̇r, Beyaz Peynir Kültürl, Süt Ve Sütlü Mamüller, Peynir Paket, Beyaz Peynır, Beyaz Peynir Kültürlü, Peynir Günlük Servis Ve Katı Yağ, Kültürlü Peynir",carrefour,Adana Seyhan Çınarlı,139.0,"278,00 ₺/kg",01.06.2025 10:19,0,ADANA
Beyaz Peynir,Migros Beyaz Peynir 1 kg,Migros,"Pl Beyaz Peyni̇r, Pl Peynir Paket, Pl Kültürlü Peynir, Pl Peynir Günlük Servis Ve Katı Yağ",migros,Yeni Vilayet M Migros,159.0,"159,00 ₺/kg",01.06.2025 10:19,0,ADANA
Beyaz Peynir,Sütaş Beyaz Peynir 900 Gr,Sütaş,"Peynir Paket, Gıda, Peyni̇r, Peynir Günlük Servis Ve Katı Yağ, Süt Ve Süt Ürünleri, Beyaz Peynir, Kültürlü Peynir, Beyaz Peyni̇r",tarim_kredi,Adana Seyhan Ibo Osman,194.5,"216,11 ₺/kg",01.06.2025 10:19,0,ADANA
Beyaz Peynir,Bahçıvan Beyaz Peynir 900 gr,Bahçıvan,"Peynır, Beyaz Peynır, Gıda, Self Servıs",carrefour,Adana Seyhan Çınarlı,289.0,"321,11 ₺/kg",01.06.2025 10:20,0,ADANA
Beyaz Peynir,Yörüksüt Beyaz Peynir 250 gr,Yörüksüt,"Peynır, Beyaz Peynır, Gıda, Self Servıs",carrefour,Adana Seyhan Çınarlı,67.5,"270,00 ₺/kg",01.06.2025 10:20,0,ADANA
Beyaz Peynir,Yörüksüt Beyaz Peynir 750 gr,Yörüksüt,"Peynır, Beyaz Peynır, Gıda, Self Servıs",carrefour,Adana Seyhan Çınarlı,189.9,"253,20 ₺/kg",01.06.2025 10:20,0,ADANA
Beyaz Peynir,Olgun.tam Yağlı Beyaz Peynir 600g Peysan,Markasız,"1702-sütlü Mamuller, 170216-klasik Peynirler, 17-grup Spot",bim,Çifte Minareseyhanadana,199.0,"331,67 ₺/kg",01.06.2025 10:20,0,ADANA
Beyaz Peynir,Carrefour Olgunlaştırılmış beyaz Peynir 600 gr,Carrefour,"Peynır, Beyaz Peynır, Gıda, Self Servıs",carrefour,Adana Türkmenbaşı Süper,195.5,"325,83 ₺/kg",01.06.2025 10:19,0,ADANA
