,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Adana Türkmenbaşı Süper,125.9,"125,90 ₺/kg",02.06.2025 10:18,0,ADANA
Kivi,Kivi Paket,Markasız,"Meyveler, Kiwi, Egzoti̇k Meyveler",sok,Adana Gazipaşa Mağaza,44.9,"44,90 ₺/adet",02.06.2025 10:19,0,ADANA
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Ankara Çankaya Esat Cad,129.9,"129,90 ₺/kg",02.06.2025 10:18,0,ANKARA
Kivi,Kivi Paket,Markasız,"Meyveler, Kiwi, Egzoti̇k Meyveler",sok,Ankara Kızılay Mgz,44.9,"44,90 ₺/adet",02.06.2025 10:19,0,ANKARA
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Antalya Narencıye Süper,139.9,"139,90 ₺/kg",02.06.2025 10:18,0,ANTALYA
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Aydın Mımar Sınan Süper,126.9,"126,90 ₺/kg",02.06.2025 10:18,0,AYDIN
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Balıkesır 2 Süper,126.9,"126,90 ₺/kg",02.06.2025 10:18,0,BALIKESİR
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Bursa Heykel Süper,114.9,"114,90 ₺/kg",02.06.2025 10:18,0,BURSA
Kivi,Kivi Paket,Markasız,"Meyveler, Kiwi, Egzoti̇k Meyveler",sok,Meridyen Avm,44.9,"44,90 ₺/adet",02.06.2025 10:19,0,BURSA
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Denızlı Evora Süper,126.9,"126,90 ₺/kg",02.06.2025 10:18,0,DENİZLİ
Kivi,Kivi Paket,Markasız,"Meyveler, Kiwi, Egzoti̇k Meyveler",sok,Denizli Horoz Meydanı,44.9,"44,90 ₺/adet",02.06.2025 10:19,0,DENİZLİ
Kivi,Kivi Paket,Markasız,"Meyveler, Kiwi, Egzoti̇k Meyveler",sok,Erzurum Cumhuriyet,44.9,"44,90 ₺/adet",02.06.2025 10:19,0,ERZURUM
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Eskışehır Muttalıp Süper,129.9,"129,90 ₺/kg",02.06.2025 10:18,0,ESKİŞEHİR
Kivi,Kivi Paket,Markasız,"Meyveler, Kiwi, Egzoti̇k Meyveler",sok,Gaziantep Alleben,44.9,"44,90 ₺/adet",02.06.2025 10:19,0,GAZİANTEP
Kivi,Kivi Paket,Markasız,"Meyveler, Kiwi, Egzoti̇k Meyveler",sok,Kurtlusoğuksu Mah,44.9,"44,90 ₺/adet",02.06.2025 10:19,0,HATAY
Kivi,Kivi,Markasız,"Normal Meyveler, Meyveler, Meyve Ve Sebzeler, Kivi, Meyve Sebze, Kiwi, Meyve-sebze, Egzoti̇k Meyveler, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Tropıkal Meyve",carrefour,Istanbul Fatıh Molla Güranı,114.9,"114,90 ₺/kg",02.06.2025 10:18,0,İSTANBUL
