,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kuru Kayısı,Dovido Kuru Kayısı 140 gr,Dovido,"Kayısı, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Kuruyemi̇şler, Çerez, Kuru Meyve",carrefour,Adana Türkmenbaşı Süper,60.5,"432,14 ₺/kg",02.06.2025 10:19,0,ADANA
Kuru Kayısı,Tadım Kuru Kayısı 140 gr,Tadım,"Kayısı, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kuruyemi̇şler, Çerez, Kuru Meyve",carrefour,Adana Türkmenbaşı Süper,141.5,"1.010,71 ₺/kg",02.06.2025 10:19,0,ADANA
Kuru Kayısı,Kuru Kayısı 250 gr Simbat,Simbat,"050302-kayısı, 0503-kuru Meyve, 05-kuruyemiş",bim,Çifte Minareseyhanadana,99.5,"398,00 ₺/kg",02.06.2025 10:19,0,ADANA
Kuru Kayısı,Amigo Dalından Kuru Kayısı 250 gr,Amigo,"Kuru Kayısı, Çerez, Kuru Meyve",sok,Adana Seyhan Kurtuluş,119.0,"476,00 ₺/kg",02.06.2025 10:19,0,ADANA
Kuru Kayısı,Master Farm Kuru Kayısı 140 gr,Master,"Kayısı, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Kuruyemi̇şler, Çerez, Kuru Meyve",migros,Adana Sular M Mıgros,63.95,"456,79 ₺/kg",02.06.2025 10:18,0,ADANA
Kuru Kayısı,Master Farm Kuru Kayısı 140 gr,Master,"Kayısı, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Kuruyemi̇şler, Çerez, Kuru Meyve",carrefour,Adana Türkmenbaşı Süper,141.5,"1.010,71 ₺/kg",02.06.2025 10:18,0,ADANA
Kuru Kayısı,Carrefour Sarı Kuru Kayısı 130 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kuru Meyve",carrefour,Adana Pınarkent Süper,41.5,"319,23 ₺/kg",02.06.2025 10:19,0,ADANA
Kuru Kayısı,Tarım Kredi Kuru Kayısı Doypack 200 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuru Kayısı, Kuruyemi̇ş-kurutulmuş Meyve",tarim_kredi,Adana Seyhan Mithatpaşa,78.9,"394,50 ₺/kg",02.06.2025 10:19,0,ADANA
Kuru Kayısı,Amigo dalından Kuru Kayısı Gün Kurusu 250 gr,Amigo,"Kuru Kayısı, Çerez, Kuru Meyve",sok,Adana Seyhan Kurtuluş,119.0,"476,00 ₺/kg",02.06.2025 10:19,0,ADANA
Kuru Kayısı,Dovido Kuru Kayısı 140 gr,Dovido,"Kayısı, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Kuruyemi̇şler, Çerez, Kuru Meyve",carrefour,Ankara Hoşdere Süper Süper,60.5,"432,14 ₺/kg",02.06.2025 10:19,0,ANKARA
Kuru Kayısı,Tadım Kuru Kayısı 140 gr,Tadım,"Kayısı, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kuruyemi̇şler, Çerez, Kuru Meyve",carrefour,Ankara Hoşdere Süper Süper,141.5,"1.010,71 ₺/kg",02.06.2025 10:19,0,ANKARA
