,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Adana Seyhan Çınarlı,29.9,"29,90 ₺/kg",03.06.2025 10:19,0,ADANA
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Ankara Hoşdere Süper Süper,26.9,"26,90 ₺/kg",03.06.2025 10:19,0,ANKARA
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Bursa Nılüfer Kanunı Cad Süpe,29.9,"29,90 ₺/kg",03.06.2025 10:19,0,BURSA
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Denızlı Evora Süper,26.9,"26,90 ₺/kg",03.06.2025 10:19,0,DENİZLİ
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Eskışehır Yedıler Süper,26.9,"26,90 ₺/kg",03.06.2025 10:19,0,ESKİŞEHİR
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Kastamonu Süper,26.9,"26,90 ₺/kg",03.06.2025 10:19,0,KASTAMONU
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Manısa Yunus Emre Prıme Mall,26.9,"26,90 ₺/kg",03.06.2025 10:19,0,MANİSA
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Samsun Gürbüz,26.9,"26,90 ₺/kg",03.06.2025 10:19,0,SAMSUN
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Tekırdağ Değırmenaltı Mını,26.9,"26,90 ₺/kg",03.06.2025 10:19,0,TEKİRDAĞ
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Zonguldak Demırpark Avm,29.9,"29,90 ₺/kg",03.06.2025 10:19,0,ZONGULDAK
Beyaz Lahana,Beyaz Lahana,Markasız,"Yaprakları Yenen Seb, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Aksaray Merkez,29.9,"29,90 ₺/kg",03.06.2025 10:19,0,AKSARAY
