,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Karpuz,Karpuz,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Borsa  Seyhan  Adana,19.5,"19.500,00 ₺/kg",03.06.2025 10:19,0,ADANA
Karpuz,Karpuz,Markasız,"Normal Meyveler, Karpuz-kavun, Meyveler, Meyve Ve Sebzeler, Kavun/karpuz, Meyve Sebze, Meyve-sebze, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Kavun Ve Karpuz, Karpuz",tarim_kredi,Adana Yüreğir Yavuzlar,15.9,"15,90 ₺/kg",03.06.2025 10:18,0,ADANA
Karpuz,Karpuz,Markasız,"Normal Meyveler, Karpuz-kavun, Meyveler, Meyve Ve Sebzeler, Kavun/karpuz, Meyve Sebze, Meyve-sebze, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Kavun Ve Karpuz, Karpuz",sok,Adana Seyhan Kurtuluş,18.9,"18,90 ₺/kg",03.06.2025 10:18,0,ADANA
Karpuz,Karpuz,Markasız,"Normal Meyveler, Karpuz-kavun, Meyveler, Meyve Ve Sebzeler, Kavun/karpuz, Meyve Sebze, Meyve-sebze, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Kavun Ve Karpuz, Karpuz",carrefour,Adana Seyhan Çınarlı,19.9,"19,90 ₺/kg",03.06.2025 10:18,0,ADANA
Karpuz,Karpuz,Markasız,"Normal Meyveler, Karpuz-kavun, Meyveler, Meyve Ve Sebzeler, Kavun/karpuz, Meyve Sebze, Meyve-sebze, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Kavun Ve Karpuz, Karpuz",a101,Cumhuriyet Cad Seyhan Adana,29.5,"29,50 ₺/kg",03.06.2025 10:18,0,ADANA
Karpuz,Çekirdeksiz Karpuz,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Borsa  Seyhan  Adana,24.5,"24.500,00 ₺/kg",03.06.2025 10:19,0,ADANA
Karpuz,Mini Karpuz,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Borsa  Seyhan  Adana,22.5,"22.500,00 ₺/kg",03.06.2025 10:19,0,ADANA
Karpuz,Karpuz Mini,Markasız,"Kavun/karpuz, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Adana Seyhan Çınarlı,49.95,"49,95 ₺/kg",03.06.2025 10:18,0,ADANA
Karpuz,Karpuz,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Konurçankaya,19.5,"19.500,00 ₺/kg",03.06.2025 10:19,0,ANKARA
Karpuz,Karpuz,Markasız,"Normal Meyveler, Karpuz-kavun, Meyveler, Meyve Ve Sebzeler, Kavun/karpuz, Meyve Sebze, Meyve-sebze, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Kavun Ve Karpuz, Karpuz",tarim_kredi,Ankara Kolej Market,15.9,"15,90 ₺/kg",03.06.2025 10:18,0,ANKARA
Karpuz,Karpuz,Markasız,"Normal Meyveler, Karpuz-kavun, Meyveler, Meyve Ve Sebzeler, Kavun/karpuz, Meyve Sebze, Meyve-sebze, Taze Gıdalar, Normal Me, Meyve, Meyve Ve Sebze, Kavun Ve Karpuz, Karpuz",sok,Çankaya Merkez,18.9,"18,90 ₺/kg",03.06.2025 10:18,0,ANKARA
