,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Pekmez,Pekmez 700 gr Lokman,Lokman,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Borsa  Seyhan  Adana,65.0,"92,86 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Pekmez Cam 380 gr Gesaş,Gesaş,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Borsa  Seyhan  Adana,29.75,"78,29 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Pekmez Üzüm 380 gr Lokman,Lokman,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Borsa  Seyhan  Adana,34.5,"90,79 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Carrefour Harnup Pekmez 390 Gr,Carrefour,"Kuru Gıdalar, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez",carrefour,Adana Türkmenbaşı Süper,71.5,"183,33 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Pekmez Üzüm 400 gr Serel,Serel,"0607-tahi̇n-pekmez, 060702-pekmez, 06-kahvaltılıklar",bim,Borsa  Seyhan  Adana,94.5,"236,25 ₺/kg",03.06.2025 10:19,0,ADANA
Pekmez,Pekmez Harnup 800 gr Serel,Serel,"0607-tahi̇n-pekmez, 060702-pekmez, 06-kahvaltılıklar",bim,Borsa  Seyhan  Adana,67.5,"84,38 ₺/kg",03.06.2025 10:19,0,ADANA
Pekmez,Yenigün Pekmix 5 Meyve Pekmez Karışımı 290 gr,Yenigün,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kahvaltılıklar, Pekmez, Helva Tahi̇n Pekmez",migros,Yeni Vilayet M Migros,110.46,"380,90 ₺/kg",03.06.2025 10:19,0,ADANA
Pekmez,Üzüm Pekmezi 900g Lokman,Lokman,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Borsa  Seyhan  Adana,65.0,"72,22 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Üzüm Pekmezi 1300 gr Gesaş,Gesaş,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Borsa  Seyhan  Adana,99.0,"99.000,00 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Keçiboynuzu Pekmezi 700 gr Koska,Koska,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Borsa  Seyhan  Adana,49.0,"70,00 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Dut Pekmezi 1300 gr Gesaş,Gesaş,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Borsa  Seyhan  Adana,99.0,"99.000,00 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Koska 800 Gr Üzüm Pekmezi,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Pekmez, Helva Tahi̇n Pekmez",migros,Yeni Vilayet M Migros,245.75,"307,19 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Koska Keçiboynuzu Pekmezi 380 gr,Koska,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Pekmez, Helva Tahi̇n Pekmez",migros,Yeni Vilayet M Migros,80.0,"210,53 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Koska Keçiboynuzu Pekmezi 380 gr,Koska,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Pekmez, Helva Tahi̇n Pekmez",carrefour,Adana Türkmenbaşı Süper,84.9,"223,42 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Koska 380 Gr Dut Pekmezi,Koska,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Pekmez, Helva Tahi̇n Pekmez",migros,Adana Sular M Mıgros,124.75,"328,29 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Yenigün Harnup Pekmezi 800 gr,Yenigün,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kahvaltılıklar, Pekmez, Helva Tahi̇n Pekmez",migros,Adana Sular M Mıgros,149.82,"187,28 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Torku Üzüm Pekmezi 750 gr,Torku,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kahvaltılıklar, Pekmez, Helva Tahi̇n Pekmez",migros,Yeni Vilayet M Migros,204.9,"273,20 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Migros Keçiboynuzu Pekmezi 800 gr,Migros,"Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Helva Tahi̇n Pekmez, Pl Kahvaltılıklar, Pl Pekmez",migros,Yeni Vilayet M Migros,67.5,"84,38 ₺/kg",03.06.2025 10:18,0,ADANA
Pekmez,Pekmez 700 gr Lokman,Lokman,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Konurçankaya,65.0,"92,86 ₺/kg",03.06.2025 10:18,0,ANKARA
Pekmez,Pekmez Cam 380 gr Gesaş,Gesaş,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Konurçankaya,29.75,"78,29 ₺/kg",03.06.2025 10:18,0,ANKARA
Pekmez,Pekmez Üzüm 380 gr Lokman,Lokman,"1706-kahvaltılıklar, 170616-pekmez, 17-grup Spot",bim,Konurçankaya,34.5,"90,79 ₺/kg",03.06.2025 10:18,0,ANKARA
