,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Tulum Peyniri,Mis Tulum Peyniri 300 Gr,Mis,"Özel Peynirler, Izmir Tulum, Peynir-günlük Servis, Yerli̇ Yöresel Peyni̇r",sok,Adana Seyhan Kurtuluş,129.0,"430,00 ₺/kg",03.06.2025 10:18,0,ADANA
Tulum Peyniri,Tahsildaroğlu İzmir Tulum 350 gr,Tahsildaroğlu,"Peynır, Peynir Paket, Gıda, Tulum Peyniri, Peynir Günlük Servis Ve Katı Yağ, Self Servıs, Yöresel Peynirler, Beyaz Peyni̇r",migros,Yeni Vilayet M Migros,245.0,"700,00 ₺/kg",03.06.2025 10:18,0,ADANA
Tulum Peyniri,Tahsildaroğlu İzmir Tulum 350 gr,Tahsildaroğlu,"Peynır, Peynir Paket, Gıda, Tulum Peyniri, Peynir Günlük Servis Ve Katı Yağ, Self Servıs, Yöresel Peynirler, Beyaz Peyni̇r",carrefour,Adana Seyhan Çınarlı,302.9,"865,43 ₺/kg",03.06.2025 10:18,0,ADANA
Tulum Peyniri,Taciroğlu Tulum Peyniri 250 gr,Taciroğlu,"Peynir Paket, Tulum Peyniri, Peynir Günlük Servis Ve Katı Yağ, Beyaz Peyni̇r",migros,Yeni Vilayet M Migros,149.9,"599,60 ₺/kg",03.06.2025 10:19,0,ADANA
Tulum Peyniri,Çiftlikzade İzmir Tulum Peynir kg,Çiftlikzade,"Sarküterı, Özel Peynirler, Taze Gıdalar, Süt Ürünlerı",carrefour,Adana Yenı Baraj Süper,325.0,"325,00 ₺/kg",03.06.2025 10:19,0,ADANA
Tulum Peyniri,Tulum Peyniri 250 gr Peysan,Peysan,"021007-tulum Peyniri, 02-sütlü Mamuller, 0210-keyi̇f Peyni̇rleri̇",bim,Borsa  Seyhan  Adana,152.5,"610,00 ₺/kg",03.06.2025 10:19,0,ADANA
Tulum Peyniri,Carrefour Tulum Peyniri 350 Gr,Carrefour,"Peynır, Gıda, Self Servıs, Yöresel Peynirler",carrefour,Adana Türkmenbaşı Süper,158.9,"454,00 ₺/kg",03.06.2025 10:19,0,ADANA
Tulum Peyniri,Efendioğulları Şavak Tulum Peyniri 300 Gr,Efendioğulları,"Özel Peynirler, Peynir-günlük Servis, Şavak Tulum, Yerli̇ Yöresel Peyni̇r",sok,Adana Seyhan Kurtuluş,149.0,"496,67 ₺/kg",03.06.2025 10:18,0,ADANA
Tulum Peyniri,Şavak Tam Yağlı Tulum Peyniri kg,Savak,"Tulum Peyniri, Peynir Günlük Servis Ve Katı Yağ, Peynir Servis, Beyaz Peyni̇r",migros,Yeni Vilayet M Migros,589.9,"589,90 ₺/kg",03.06.2025 10:18,0,ADANA
Tulum Peyniri,Altınkılıç İzmir Tulum Peyniri 250 gr,Altınkılıç,"Peynır, Gıda, Self Servıs, Yöresel Peynirler",carrefour,Adana Seyhan Çınarlı,201.9,"807,60 ₺/kg",03.06.2025 10:19,0,ADANA
