,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Balık,İstavrit,Markasız,"Balıklar, Av Balıkları, Taze Gıdalar, Balık",carrefour,Istanbul Cıhangır Gurme,329.0,"329,00 ₺/kg",07.06.2025 10:19,0,İSTANBUL
Balık,Çipura 400 - 600,Markasız,"Balıklar, Taze Gıdalar, Balık, Kültür Balıkları",carrefour,Istanbul Cıhangır Gurme,429.0,"429,00 ₺/kg",07.06.2025 10:19,0,İSTANBUL
Balık,Çipura 600 - 800,Markasız,"Balıklar, Taze Gıdalar, Balık, Kültür Balıkları",carrefour,Istanbul Cıhangır Gurme,469.0,"469,00 ₺/kg",07.06.2025 10:19,0,İSTANBUL
Balık,Çipura 300 - 400,Markasız,"Balıklar, Taze Gıdalar, Balık, Kültür Balıkları",carrefour,Istanbul Cıhangır Gurme,399.0,"399,00 ₺/kg",07.06.2025 10:20,0,İSTANBUL
Balık,Levrek 9 Lu,Markasız,"Balıklar, Taze Gıdalar, Balık, Kültür Balıkları",carrefour,Istanbul Cıhangır Gurme,749.0,"749,00 ₺/adet",07.06.2025 10:19,0,İSTANBUL
Balık,Levrek 600 - 800,Markasız,"Balıklar, Taze Gıdalar, Balık, Kültür Balıkları",carrefour,Istanbul Cıhangır Gurme,599.0,"599,00 ₺/kg",07.06.2025 10:19,0,İSTANBUL
Balık,Levrek 400 - 600,Markasız,"Balıklar, Taze Gıdalar, Balık, Kültür Balıkları",carrefour,Istanbul Cıhangır Gurme,549.0,"549,00 ₺/kg",07.06.2025 10:19,0,İSTANBUL
Balık,Levrek 800 - 1000,Markasız,"Balıklar, Taze Gıdalar, Balık, Kültür Balıkları",carrefour,Istanbul Cıhangır Gurme,679.0,"679,00 ₺/kg",07.06.2025 10:20,0,İSTANBUL
Balık,Levrek 300 - 400,Markasız,"Balıklar, Taze Gıdalar, Balık, Kültür Balıkları",carrefour,Istanbul Cıhangır Gurme,379.0,"379,00 ₺/kg",07.06.2025 10:20,0,İSTANBUL
Balık,Çıtır Levrek Burger 400 gr,Markasız,"İşlenmi̇ş Ürünler, Taze Gıdalar, Balık, Dondurulmuş Ürünler",carrefour,Istanbul Cıhangır Gurme,409.0,"1.022,50 ₺/kg",07.06.2025 10:19,0,İSTANBUL
Balık,Marex Simit Levrek 400 gr,Markasız,"İşlenmi̇ş Ürünler, Taze Gıdalar, Balık, Dondurulmuş Ürünler",carrefour,Istanbul Cıhangır Gurme,329.0,"822,50 ₺/kg",07.06.2025 10:19,0,İSTANBUL
