,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Hazır Sütlü Tatlılar,Mis Puding Muzlu 210 Gr,Mis,"Süt-yoğurt-günlük Paketli-katı Yağ, Günlük Ve Diğer Şarküteri, Pudıng, Uht Pudıng",sok,Mercan Mheminönü,15.9,"75,71 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Mis Puding Muzlu 100 Gr,Mis,"Süt-yoğurt-günlük Paketli-katı Yağ, Taze Pudıng, Günlük Ve Diğer Şarküteri, Pudıng",sok,Mercan Mheminönü,10.0,"100,00 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Mis Puding Kakaolu 210 Gr,Mis,"Süt-yoğurt-günlük Paketli-katı Yağ, Günlük Ve Diğer Şarküteri, Pudıng, Uht Pudıng",sok,Mercan Mheminönü,15.9,"75,71 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Eker Çikolatalı Puding 65 gr,Eker,"Puding, 171113-hazır Pudingler, Süt Ve Sütlü Mamüller, 1711-dondurulmuş Ürünler, Sütlü Ürünler, Sütlü Tatlılar, Hazır Tatlılar, Puding Tatlı, 17-grup Spot, Süt Yoğurt Ve Günlük Paketli",bim,Sinanağafatih,14.5,"223,08 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Danette Çikolatalı Puding 375 gr,Danette,"Puding, Gıda, Sütlü Ürünler, Sütlü Tatlılar, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Tatlılar",carrefour,Istanbul Fatıh Mını,66.5,"177,33 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Mis Puding Çilekli 100 Gr,Mis,"Süt-yoğurt-günlük Paketli-katı Yağ, Taze Pudıng, Günlük Ve Diğer Şarküteri, Pudıng",sok,Mercan Mheminönü,10.0,"100,00 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Mis Puding Çikolatalı 100 Gr,Mis,"Süt-yoğurt-günlük Paketli-katı Yağ, Taze Pudıng, Günlük Ve Diğer Şarküteri, Pudıng",sok,Mercan Mheminönü,10.0,"100,00 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Danette Çikolatalı Puding 4x100 gr,Danette,"Puding, Sütlü Ürünler, Sütlü Tatlılar, Gıda, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Tatlılar",migros,Mjet Cağaloğlu Istanbul,69.9,"174,75 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Danette Çikolatalı Puding 4x100 gr,Danette,"Puding, Sütlü Ürünler, Sütlü Tatlılar, Gıda, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Tatlılar",carrefour,Istanbul Fatıh Mını,70.5,"176,25 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Mis Çikolatalı Puding 500 Gr,Mis,"Süt-yoğurt-günlük Paketli-katı Yağ, Taze Pudıng, Günlük Ve Diğer Şarküteri, Pudıng",sok,Mercan Mheminönü,41.5,"83,00 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,İçim Fit Puding Kakaolu 120 gr,Içım,"Gıda, Self Servıs, Günlük, Tatlılar",carrefour,Istanbul Fatıh Mını,99.95,"832,92 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Puding Çikolatalı 60 gr Dolcia İçim,Içim,"Hazır Pud, Süt Ve Süt Ürünleri, Hazır Pudingler",hakmar,Valide  Üsküdar,7.5,"125,00 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Eker Sütlaç 150 gr,Eker,"Gıda, Sütlü Ürünler, Sütlü Tatlılar, Geleneksel Tatlılar, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Tatlılar",carrefour,Istanbul Cıhangır Gurme,26.95,"179,67 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Eker Sütlaç 150 gr,Eker,"Gıda, Sütlü Ürünler, Sütlü Tatlılar, Geleneksel Tatlılar, Self Servıs, Günlük, Süt Yoğurt Ve Günlük Paketli, Tatlılar",migros,Mjet Yenikapı Aksaray Istanbul,35.5,"236,67 ₺/kg",08.06.2025 10:18,0,İSTANBUL
Hazır Sütlü Tatlılar,Sütlü Tatlı Sütlaç 500 gr Eker,Eker,"Süt Ve Sütlü Mamüller, Sütlü Ürünler, Sütlü Tatlılar, Hazır Sütlü Tatlılar, Geleneksel Tatlılar, Hazır Tatlılar, Hazır Süt, Süt Ve Süt Ürünleri, Sütlü Tatlı, Süt Yoğurt Ve Günlük Paketli",hakmar,Valide  Üsküdar,49.5,"99,00 ₺/kg",08.06.2025 10:18,0,İSTANBUL
