,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Ay Çekirdeği,Iç Ay Çekirdeği 100 gr Simbat,Simbat,"17-grup Spot, 1705-kuruyemi̇ş, 170505-kuruyemiş",bim,Sinanağafatih,12.0,"12.000,00 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Tarım Kredi Ay Çekirdeği Kavrulmuş Tuzsuz Siyah Y. D. 500 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve, Ay Çekirdeği",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,64.9,"129,80 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Tarım Kredi Ay Çekirdeği Kavrulmuş Tuzsuz Siyah Y. D. 180 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve, Ay Çekirdeği",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,33.5,"186,11 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Tarım Kredi Ay Çekirdeği Kavrulmuş Az Tuzlu Siyah Y. D. 180 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve, Ay Çekirdeği",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,33.5,"186,11 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Tarım Kredi Ay Çekirdeği Kavrulmuş Az Tuzlu Siyah Y. D. 500 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve, Ay Çekirdeği",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,64.9,"129,80 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Carrefour Siyah Ay Çekirdek 250 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Çekirdek",carrefour,Istanbul Fatıh Mını,29.9,"119,60 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Dakota Çekirdek Depo,Markasız,"Çarsı, Taze Gıdalar, Kuru Yemıs, Meyve Ve Sebze",carrefour,Istanbul Fatıh Mını,109.9,"109,90 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Dakota Çekirdek Yerli 750 Gr Simbat,Simbat,"05-kuruyemiş, 0502-kuruyemi̇ş, 050201-çekirdek",bim,Sinanağafatih,62.5,"83,33 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Dakota Çekirdek Yerli Tuzlu 750 gr,Simbat,"05-kuruyemiş, 0502-kuruyemi̇ş, 050201-çekirdek",bim,Sinanağafatih,62.5,"83,33 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Dakota Çekirdek ithal Tuzlu / tuzsuz 400 gr Simbat,Simbat,"05-kuruyemiş, 0502-kuruyemi̇ş, 050201-çekirdek",bim,Sinanağafatih,69.5,"173,75 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Dakota Çekirdek ithal Tuzlu / tuzsuz 250 gr Simbat,Simbat,"05-kuruyemiş, 0502-kuruyemi̇ş, 050201-çekirdek",bim,Sinanağafatih,46.5,"186,00 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Dakota Çekirdek Yerli Tuzlu / bol Tuzlu 400 gr Simbat,Simbat,"05-kuruyemiş, 0502-kuruyemi̇ş, 050201-çekirdek",bim,Sinanağafatih,37.5,"93,75 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Amigo Tuzsuz Siyah Çekirdek 1,Amigo,"Çerez, Kuru Yemi̇şler, Ay Çekirdeği",sok,Mercan Mheminönü,82.5,"82,50 ₺/kg",09.06.2025 10:18,0,İSTANBUL
Ay Çekirdeği,Amigo Tuzlu Siyah Çekirdek 1,Amigo,"Çerez, Kuru Yemi̇şler, Ay Çekirdeği",sok,Mercan Mheminönü,82.5,"82,50 ₺/kg",09.06.2025 10:18,0,İSTANBUL
