,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Ketçap,Ketçap 860g Fidan,Markasız,"170811-ketçap, 1708-konserve, 17-grup Spot",bim,Sinanağafatih,39.75,"46,22 ₺/kg",13.06.2025 13:49,0,İSTANBUL
Ketçap,Ketçap 342g Heınz,Heınz,"Ketçaplar, Konserveler Ve Çorbalar",hakmar,Valide  Üsküdar,59.5,"173,98 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Ketçap 1000 gr Tukaş,Tukaş,"170811-ketçap, 1708-konserve, 17-grup Spot",bim,Sinanağafatih,39.75,"39.750,00 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Ketçap 700 Gr Heinz,Heinz,"170811-ketçap, Ketçaplar, Soslar, Gıda, Konserve Salça Sos, 1708-konserve, Temel Gıda Ürünleri, 17-grup Spot, Hazır Soslar, Ketçap, Konserve Ve Baharatlar",a101,Atlamataşı Fatih Istanbul,59.0,"84,29 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Ketçap 700 Gr Heinz,Heinz,"170811-ketçap, Ketçaplar, Soslar, Gıda, Konserve Salça Sos, 1708-konserve, Temel Gıda Ürünleri, 17-grup Spot, Hazır Soslar, Ketçap, Konserve Ve Baharatlar",bim,Sinanağafatih,59.5,"85,00 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Ketçap 700 Gr Heinz,Heinz,"170811-ketçap, Ketçaplar, Soslar, Gıda, Konserve Salça Sos, 1708-konserve, Temel Gıda Ürünleri, 17-grup Spot, Hazır Soslar, Ketçap, Konserve Ve Baharatlar",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,69.0,"98,57 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Migros Ketçap 1000 gr,Migros,"Pl Hazır Soslar, Pl Ketçaplar, Pl Konserve Salça Sos, Pl Soslar",migros,Mjet Cağaloğlu Istanbul,49.95,"49,95 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Tukaş Ketçap 650 gr,Tukaş,"Soslar, Gıda, Temel Gıda Ürünleri, Ketçap, Konserve Ve Baharatlar",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,48.0,"73,85 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Tukaş Ketçap 650 gr,Tukaş,"Soslar, Gıda, Temel Gıda Ürünleri, Ketçap, Konserve Ve Baharatlar",a101,Atlamataşı Fatih Istanbul,63.9,"98,31 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Heinz Ketçap 460 gr,Heinz,"Hazır&hazırlanacak S, Soslar, Kuru Gıdalar, 080401-ketçap, Gıda, 0804-ketçap-mayonez, Konserve/sos/baharat, Hazır Soslar, Ketçap, 08-konserve",bim,Sinanağafatih,79.75,"173,37 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Heinz Ketçap 460 gr,Heinz,"Hazır&hazırlanacak S, Soslar, Kuru Gıdalar, 080401-ketçap, Gıda, 0804-ketçap-mayonez, Konserve/sos/baharat, Hazır Soslar, Ketçap, 08-konserve",sok,Cemberlıtas,79.9,"173,70 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Heinz Ketçap 570 gr,Heinz,"Ketçaplar, Hazır&hazırlanacak S, Soslar, Kuru Gıdalar, Gıda, Konserve Salça Sos, Konserve/sos/baharat, Hazır Soslar",migros,Mjet Cağaloğlu Istanbul,97.95,"171,84 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Heinz Ketçap 570 gr,Heinz,"Ketçaplar, Hazır&hazırlanacak S, Soslar, Kuru Gıdalar, Gıda, Konserve Salça Sos, Konserve/sos/baharat, Hazır Soslar",carrefour,Istanbul Fatıh Mını,104.9,"184,04 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Tamek Ketçap 600 gr,Tamek,"Ketçaplar, Hazır&hazırlanacak S, Soslar, Kuru Gıdalar, Gıda, Konserve Salça Sos, Konserve/sos/baharat, Hazır Soslar",carrefour,Istanbul Cıhangır Gurme,65.5,"109,17 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Hellmann's Ketçap 460 gr,Hellmann's,"Ketçaplar, Hazır&hazırlanacak S, Soslar, Kuru Gıdalar, Gıda, Konserve Salça Sos, Konserve/sos/baharat, Hazır Soslar, Ketçap, Konserve Ve Baharatlar",carrefour,Istanbul Fatıh Mını,85.9,"186,74 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Tukaş Ketçap 400 gr,Tukaş,"Ketçaplar, Soslar, Konserve Salça Sos, Hazır Soslar, Ketçap, Konserve Ve Baharatlar",migros,Mjet Yenikapı Ido Istanbul,39.95,"99,88 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Heinz Ketçap 375 gr,Heinz,"Ketçaplar, Hazır&hazırlanacak S, Soslar, Kuru Gıdalar, Gıda, Konserve Salça Sos, Konserve/sos/baharat, Hazır Soslar",migros,Mjet Cağaloğlu Istanbul,78.95,"210,53 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Heinz Ketçap 375 gr,Heinz,"Ketçaplar, Hazır&hazırlanacak S, Soslar, Kuru Gıdalar, Gıda, Konserve Salça Sos, Konserve/sos/baharat, Hazır Soslar",carrefour,Istanbul Fatıh Mını,79.9,"213,07 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Ketçap 1000 Gr Bolbol,Bolbol,"080401-ketçap, 0804-ketçap-mayonez, 08-konserve",bim,Sinanağafatih,49.0,"49,00 ₺/kg",13.06.2025 13:49,0,İSTANBUL
Ketçap,Migros Acılı Ketçap 1 kg,Migros,"Pl Hazır Soslar, Pl Ketçaplar, Pl Konserve Salça Sos, Pl Soslar",migros,Mjet Kumkapı Istanbul,49.95,"49,95 ₺/kg",13.06.2025 13:48,0,İSTANBUL
Ketçap,Tat Ketçap Acı 390 gr,Tat,"Hazır&hazırlanacak S, Ketçaplar, Kuru Gıdalar, Soslar, Gıda, Konserve Salça Sos, Konserve/sos/baharat, Hazır Soslar, Ketçap",carrefour,Istanbul Cıhangır Gurme,49.95,"128,08 ₺/kg",13.06.2025 13:48,0,İSTANBUL
