,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Bisküvi,Bisküvi Macchıato Krema Dol.125g Bisküvi Mood,Markasız,"17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, 170702-kremalı Bisküvi",bim,Sinanağafatih,21.0,"21.000,00 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Ülker Pötibör Bisküvi Mini Çifte Lezzet Bisküvi,Ülker,"Bisküviler, Kuru Gıdalar, Gıda, Bi̇sküvi̇, Kek Ve Mamalar, Sade Bisküvi, Sade/klasık Bısküvı, Bi̇sküvi̇ler",carrefour,Istanbul Taksım Asmalı Mescıt,19.25,"128,33 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Bisküvi Çilekli Kapl.marsh. Bifasoft160g,Bifasoft,"17-grup Spot, 170703-kaplamalı Bisküvi, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,19.0,"19.000,00 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Lotus Bisküvi 125 Gr,Lotus Bıscoff,"Tatlı Bisküvi Kek Gofret, Kuru Gıdalar, Gıda, Bisküvi Ve Çikolata, Tatlı Bisküvi, Tatlı Bi̇sküvi̇ler, Farklı Bısküvı, Bi̇sküvi̇ler",carrefour,Istanbul Karaköy Mını,141.25,"1.130,00 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Haylayf Bisküvi 256 gr,Ülker,"0701-bi̇sküvi̇, Kuru Gıdalar, Gıda, Farklı Bısküvı, 070101-sade Bisküvi, 07-bisküvi-çikolata., Bi̇sküvi̇ler",bim,Sinanağafatih,37.0,"144,53 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Haylayf Bisküvi 256 gr,Ülker,"0701-bi̇sküvi̇, Kuru Gıdalar, Gıda, Farklı Bısküvı, 070101-sade Bisküvi, 07-bisküvi-çikolata., Bi̇sküvi̇ler",carrefour,Istanbul Fatıh Mını,37.9,"148,05 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Copppenrath Tereyağlı Bisküvi 200 gr,Copppenrath,"Kuru Gıdalar, Gıda, Farklı Bısküvı, Bi̇sküvi̇ler",carrefour,Istanbul Karaköy Mını,181.13,"905,65 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Copppenrath Karamelli Bisküvi 250 gr,Copppenrath,"Kuru Gıdalar, Gıda, Farklı Bısküvı, Bi̇sküvi̇ler",carrefour,Istanbul Karaköy Mını,150.75,"603,00 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Bisküvi Hind.cev. 154 Gr Cocostar,Cocostar,"17-grup Spot, 170703-kaplamalı Bisküvi, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,47.5,"47.500,00 ₺/kg",15.06.2025 14:54,0,İSTANBUL
Bisküvi,Bisküvi Kakaolu 156 Gr Milka,Milka,"17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata, 170702-kremalı Bisküvi",bim,Sinanağafatih,99.0,"99.000,00 ₺/kg",15.06.2025 14:54,0,İSTANBUL
