,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Ekmek Hamuru (Yufka),Bagetta Yufka 800 Gr,Bagetta ,"Gıda, Temel Gıda Ürünleri, Unlu Mamüller, Yufka",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,79.95,"99,94 ₺/kg",20.06.2025 10:19,0,İSTANBUL
Ekmek Hamuru (Yufka),Tamköy Yufka 800 gr,Tamköy,"Pastane Ve Fırın Ürünleri̇, Yufka-sigara Böreği, Pastane Ve Fırın Ürünleri, Unlu Mamuller",sok,Kumkapı,79.95,"99,94 ₺/kg",20.06.2025 10:19,0,İSTANBUL
Ekmek Hamuru (Yufka),Yufka 500 gr Nimet,Nimet,"Normal Yufka, Yufka, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,39.95,"79,90 ₺/kg",20.06.2025 10:19,0,İSTANBUL
Ekmek Hamuru (Yufka),Yufka 1000 gr Nimet,Nimet,"Normal Yufka, Yufka, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,75.0,"75,00 ₺/kg",20.06.2025 10:19,0,İSTANBUL
Ekmek Hamuru (Yufka),Tamköy Yufka 500 gr,Tamköy,"Pastane Ve Fırın Ürünleri̇, Yufka-sigara Böreği, Pastane Ve Fırın Ürünleri, Unlu Mamuller",sok,Kumkapı,54.95,"109,90 ₺/kg",20.06.2025 10:20,0,İSTANBUL
Ekmek Hamuru (Yufka),Myfresh Yufka 500 gr,Myfresh,"Unlu Mamuller Servis, Paketli Unlu Mamüller, Yufka",migros,Mjet Cağaloğlu Istanbul,64.45,"128,90 ₺/kg",20.06.2025 10:19,0,İSTANBUL
Ekmek Hamuru (Yufka),Bagetta Yufka 500 Gr,Bagetta ,"Gıda, Temel Gıda Ürünleri, Unlu Mamüller, Yufka",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,54.95,"109,90 ₺/kg",20.06.2025 10:20,0,İSTANBUL
Ekmek Hamuru (Yufka),Myfresh Yufka 1000 gr,Myfresh,"Unlu Mamuller Servis, Paketli Unlu Mamüller, Yufka",migros,Mjet Yenikapı Aksaray Istanbul,69.0,"69,00 ₺/kg",20.06.2025 10:20,0,İSTANBUL
Ekmek Hamuru (Yufka),Yufka Üçgen 360 gr Nimet,Nimet,"Diğer Yufkalar, Yufka, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,41.0,"113,89 ₺/kg",20.06.2025 10:20,0,İSTANBUL
Ekmek Hamuru (Yufka),Eyvallah Yufka Ekmek 500 gr,Eyvallah,"Dürümlavaş, Endüstri̇yel Ekmekler, Unlu Mamuller",sok,Mercan Mheminönü,75.0,"150,00 ₺/kg",20.06.2025 10:19,0,İSTANBUL
