,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Antep Fıstığı,Antep Fıstığı - kabuklu,Markasız,"Çarsı, Taze Gıdalar, Kuru Yemıs, Meyve Ve Sebze",carrefour,Adana Türkmenbaşı Süper,599.9,"599,90 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Emsal Antep Fıstığı 150 gr,Emsal,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Çerez, Kuruyemi̇ş, Antep Fıstığı",migros,Yeni Vilayet M Migros,151.95,"1.013,00 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Amigo Antep Fıstığı 150 gr,Amigo,"Çerez, Antep Fıstığı, Kuru Yemi̇şler",sok,Adana Seyhan Kurtuluş,125.0,"833,33 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Tadım Antep Fıstığı 90 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Adana Türkmenbaşı Süper,135.5,"1.505,56 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Antep Fıstığı 150 Gr Simbat,Simbat,"050202-kuruyemiş, 05-kuruyemiş, 0502-kuruyemi̇ş",bim,Çifte Minareseyhanadana,140.0,"933,33 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Ekonomik Antep Fıstığı 500 gr Keyifçe,Markasız,"17-grup Spot, 1705-kuruyemi̇ş, 170505-kuruyemiş",bim,Çifte Minareseyhanadana,330.0,"660,00 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Kuruyemiş Antep Fıstığı 150 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Antep Fıstığı",a101,Cebesoy Seyhan Adana,125.0,"833,33 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Tadım Kavrulmuş Antep Fıstığı 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kuruyemi̇şler, Kuruyemiş, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş, Antep Fıstığı",migros,Yeni Vilayet M Migros,267.95,"1.488,61 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Tadım Kavrulmuş Antep Fıstığı 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kuruyemi̇şler, Kuruyemiş, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş, Antep Fıstığı",a101,Cebesoy Seyhan Adana,268.0,"1.488,89 ₺/kg",24.06.2025 10:19,0,ADANA
Antep Fıstığı,Kuruyemiş Antep Fıstığı 250 gr Çerezya,Çerezya,"Kuruyemi̇şler, Kuruyemiş, Antep Fıstığı",a101,Cebesoy Seyhan Adana,189.0,"756,00 ₺/kg",24.06.2025 10:19,0,ADANA
