,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Ayçiçek Yağı,Migros Ayçiçek yağı 2l.,Migros,"Pl Ayçicek Yağı, Pl Sıvı Yağ Makarna Un, Pl Sıvı Yağlar, Pl Ayçi̇cek Yağı",migros,Yeni Vilayet M Migros,159.5,"79,75 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Carrefour Ayçiçek Yağı 1 lt,Carrefour,"Kuru Gıdalar, Gıda, Ayçıcek Yagı, Yaglar",carrefour,Adana Pınarkent Süper,79.9,"79,90 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Ayçiçek Yağı 5 Lt Safya,Safya,"170905-ayçiçeği Yağı, 17-grup Spot, 1709-katı Ve Sıvı Yağlar",bim,Çifte Minareseyhanadana,305.0,"305.000,00 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Yudum Ayçiçek Yağı 2 lt,Yudum,"Kuru Gıdalar, Gıda, Margarin Ve Sıvı Yağlar, Sıvı Yağlar, Ayçıcek Yagı, Ayçiçek Yağları, Yaglar, Ayçicek Yağı, Ayçiçek Y, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",carrefour,Adana Seyhan Çınarlı,234.95,"117,47 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Yudum Ayçiçek Yağı 2 lt,Yudum,"Kuru Gıdalar, Gıda, Margarin Ve Sıvı Yağlar, Sıvı Yağlar, Ayçıcek Yagı, Ayçiçek Yağları, Yaglar, Ayçicek Yağı, Ayçiçek Y, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Yeni Vilayet M Migros,234.95,"117,47 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Abalı Ayçiçek Yağı 2 l,Abalı,"Sıvı Yağlar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Adana Sular M Mıgros,178.95,"89,47 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Evin Ayçiçek yağı 1 lt,Evin,"Sıvı Yağlar, Ayçi̇çek Yağı, Katı Sıvı Yağlar, Ayçicek Yağı",sok,Adana Seyhan Kurtuluş,82.5,"82,50 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Abalı Ayçiçek Yağı 1 lt,Abalı,"Sıvı Yağlar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Yeni Vilayet M Migros,93.95,"93,95 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Komili Ayçiçek yağı 2 l,Komili,"Sıvı Yağlar, Katı Ve Sıvı Yağlar, Bitkisel Tohum Yağları, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Yeni Vilayet M Migros,230.95,"115,47 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Komili Ayçiçek yağı 2 l,Komili,"Sıvı Yağlar, Katı Ve Sıvı Yağlar, Bitkisel Tohum Yağları, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",a101,Cebesoy Seyhan Adana,230.95,"115,47 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Komili Ayçiçek yağı 1 lt,Komili,"Kuru Gıdalar, Gıda, Sıvı Yağlar, Ayçıcek Yagı, Yaglar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Yeni Vilayet M Migros,133.95,"133,95 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Biryağ Ayçiçek yağı 2 l,Biryağ,"Kuru Gıdalar, Gıda, Sıvı Yağlar, Ayçıcek Yagı, Katı Ve Sıvı Yağlar, Yaglar, Bitkisel Tohum Yağları, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",a101,Ramazanoğlu Seyhan Adana,159.0,"79,50 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Abalı Ayçiçek Yağı 5 lt,Abalı,"Sıvı Yağlar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Yeni Vilayet M Migros,392.95,"78,59 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Evin Ayçiçek yağı 2 Lt,Evin,"Sıvı Yağlar, Ayçi̇çek Yağı, Katı Sıvı Yağlar, Ayçicek Yağı",sok,Adana Seyhan Kurtuluş,160.0,"80,00 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Yudum Ayçiçek Yağı 1 lt,Yudum,"Gıda, Ayçıcek Yagı, Katı Sıvı Yağlar, Katı Ve Sıvı Yağlar, Bitkisel Tohum Yağları, Ayçi̇cek Yağı, Kuru Gıdalar, Sıvı Yağlar, Ayçi̇çek Yağı, Yaglar, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un",a101,Cumhuriyet Cad Seyhan Adana,125.0,"125,00 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Yudum Ayçiçek Yağı 1 lt,Yudum,"Gıda, Ayçıcek Yagı, Katı Sıvı Yağlar, Katı Ve Sıvı Yağlar, Bitkisel Tohum Yağları, Ayçi̇cek Yağı, Kuru Gıdalar, Sıvı Yağlar, Ayçi̇çek Yağı, Yaglar, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un",migros,Yeni Vilayet M Migros,138.95,"138,95 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Yudum Ayçiçek Yağı 1 lt,Yudum,"Gıda, Ayçıcek Yagı, Katı Sıvı Yağlar, Katı Ve Sıvı Yağlar, Bitkisel Tohum Yağları, Ayçi̇cek Yağı, Kuru Gıdalar, Sıvı Yağlar, Ayçi̇çek Yağı, Yaglar, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un",carrefour,Adana Seyhan Çınarlı,138.95,"138,95 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Emek Ayçiçek Yağı 2 l,Emek,"Sıvı Yağlar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Yeni Vilayet M Migros,183.0,"91,50 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Ayçiçek Yağı 2 Lt Sole,Sole,"0902-sıvı Yağlar, 09-katı Ve Sıvı Yağlar, 090202-ayçiçeği Yağı",bim,Çifte Minareseyhanadana,82.5,"41,25 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Migros Ayçiçek Yağı 5 lt Pet,Migros,"Pl Ayçicek Yağı, Pl Sıvı Yağ Makarna Un, Pl Sıvı Yağlar, Pl Ayçi̇cek Yağı",migros,Yeni Vilayet M Migros,319.0,"63,80 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Yudum Sprey Ayçiçek Cam 250 Ml,Yudum,"Kuru Gıdalar, Gıda, Sıvı Yağlar, Ayçıcek Yagı, Yaglar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",carrefour,Adana Türkmenbaşı Süper,73.65,"294,60 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Evin Ayçiçek Yağı Pet 5 Lt,Evin,"Sıvı Yağlar, Ayçi̇çek Yağı, Katı Sıvı Yağlar, Ayçicek Yağı",sok,Adana Seyhan Kurtuluş,318.0,"63,60 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Yudum Ayçiçek Yağı 4 lt Dap,Yudum,"Kuru Gıdalar, Gıda, Ayçıcek Yagı, Yaglar",carrefour,Adana Türkmenbaşı Süper,342.9,"85,72 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Carrefour Ayçiçek Yağı 5 lt Pet,Carrefour,"Kuru Gıdalar, Gıda, Ayçıcek Yagı, Yaglar",carrefour,Adana Seyhan Çınarlı,339.5,"67,90 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Ayçiçek Yağı Pet 5 Lt Sole,Sole,"0902-sıvı Yağlar, 09-katı Ve Sıvı Yağlar, 090202-ayçiçeği Yağı",bim,Çifte Minareseyhanadana,318.0,"63,60 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Tarım Kredi Ayçiçek Yağı Pet 1 Lt,Tarım Kredi,"Gıda, Sıvı Yağlar, Ayçiçek Yağı, Sıvı Yağ Ve Margarinler",tarim_kredi,Adana Yüreğir Yavuzlar,81.5,"81,50 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Tarım Kredi Anadolu Ayçiçek Yağı 2 Lt,Tarım Kredi,"Gıda, Sıvı Yağlar, Ayçiçek Yağı, Sıvı Yağ Ve Margarinler",tarim_kredi,Adana Seyhan Ibo Osman,159.0,"79,50 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Tarım Kredi Anadolu Ayçiçek Yağı 1 Lt,Tarım Kredi,"Gıda, Sıvı Yağlar, Ayçiçek Yağı, Sıvı Yağ Ve Margarinler",tarim_kredi,Adana Seyhan Ibo Osman,81.5,"81,50 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Komili Ayçiçek Yağı 4 lt Dar Pet,Komili,"Kuru Gıdalar, Gıda, Ayçıcek Yagı, Yaglar",carrefour,Adana Seyhan Çınarlı,309.95,"77,49 ₺/lt",24.06.2025 10:19,0,ADANA
Ayçiçek Yağı,Migros Ayçiçek yağı 2l.,Migros,"Pl Ayçicek Yağı, Pl Sıvı Yağ Makarna Un, Pl Sıvı Yağlar, Pl Ayçi̇cek Yağı",migros,Ankara Kolej M Mıgros,159.5,"79,75 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Ayçiçek Yağı 1 lt Biryağ,Biryağ,"Kuru Gıdalar, Margarin Ve Sıvı Yağlar, Gıda, Ayçiçek Yağları, Ayçıcek Yagı, Yaglar, Ayçiçek Y",carrefour,Ankara Hoşdere Süper Süper,95.9,"95,90 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Carrefour Ayçiçek Yağı 1 lt,Carrefour,"Kuru Gıdalar, Gıda, Ayçıcek Yagı, Yaglar",carrefour,Ankara Çankaya Esat Cad,79.9,"79,90 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Ayçiçek Yağı 5 Lt Safya,Safya,"170905-ayçiçeği Yağı, 17-grup Spot, 1709-katı Ve Sıvı Yağlar",bim,Konurçankaya,305.0,"305.000,00 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Yudum Ayçiçek Yağı 2 lt,Yudum,"Kuru Gıdalar, Gıda, Margarin Ve Sıvı Yağlar, Sıvı Yağlar, Ayçıcek Yagı, Ayçiçek Yağları, Yaglar, Ayçicek Yağı, Ayçiçek Y, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Ankara Kolej M Mıgros,234.95,"117,47 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Yudum Ayçiçek Yağı 2 lt,Yudum,"Kuru Gıdalar, Gıda, Margarin Ve Sıvı Yağlar, Sıvı Yağlar, Ayçıcek Yagı, Ayçiçek Yağları, Yaglar, Ayçicek Yağı, Ayçiçek Y, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",carrefour,Ankara Çankaya Esat Cad,234.95,"117,47 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Abalı Ayçiçek Yağı 2 l,Abalı,"Sıvı Yağlar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Ankara Kolej M Mıgros,178.95,"89,47 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Evin Ayçiçek yağı 1 lt,Evin,"Sıvı Yağlar, Ayçi̇çek Yağı, Katı Sıvı Yağlar, Ayçicek Yağı",sok,Çankaya Merkez,82.5,"82,50 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Abalı Ayçiçek Yağı 1 lt,Abalı,"Sıvı Yağlar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Ankara Kolej M Mıgros,93.95,"93,95 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Komili Ayçiçek yağı 2 l,Komili,"Sıvı Yağlar, Katı Ve Sıvı Yağlar, Bitkisel Tohum Yağları, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Ankara Kolej M Mıgros,230.95,"115,47 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Komili Ayçiçek yağı 2 l,Komili,"Sıvı Yağlar, Katı Ve Sıvı Yağlar, Bitkisel Tohum Yağları, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",a101,Yeni Kızılay Çankaya Ankara,230.95,"115,47 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Komili Ayçiçek yağı 1 lt,Komili,"Kuru Gıdalar, Gıda, Sıvı Yağlar, Ayçıcek Yagı, Yaglar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Ankara Kolej M Mıgros,133.95,"133,95 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Biryağ Ayçiçek yağı 2 l,Biryağ,"Kuru Gıdalar, Gıda, Sıvı Yağlar, Ayçıcek Yagı, Katı Ve Sıvı Yağlar, Yaglar, Bitkisel Tohum Yağları, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",a101,Mine Çankaya Çankaya Ankara,159.0,"79,50 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Biryağ Ayçiçek yağı 2 l,Biryağ,"Kuru Gıdalar, Gıda, Sıvı Yağlar, Ayçıcek Yagı, Katı Ve Sıvı Yağlar, Yaglar, Bitkisel Tohum Yağları, Ayçicek Yağı, Ayçiçeği Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",carrefour,Ankara Hoşdere Süper Süper,188.9,"94,45 ₺/lt",24.06.2025 10:19,0,ANKARA
Ayçiçek Yağı,Abalı Ayçiçek Yağı 5 lt,Abalı,"Sıvı Yağlar, Ayçicek Yağı, Sıvı Yağ Makarna Un, Ayçi̇cek Yağı",migros,Ziya Gökalp Ankara M Migros,392.95,"78,59 ₺/lt",24.06.2025 10:19,0,ANKARA
