,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Adana Seyhan Çınarlı,19.9,"19,90 ₺/adet",24.06.2025 10:19,0,ADANA
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Ankara Hoşdere Süper Süper,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,ANKARA
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Aydın Mımar Sınan Süper,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,AYDIN
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Pınarbaşı Cad Osmangazi Bursa,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,BURSA
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Denızlı Servergazı Süper,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,DENİZLİ
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Çınar Pamukkale Denizli,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,DENİZLİ
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Eskışehır Muttalıp Süper,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,ESKİŞEHİR
Dereotu,Dereotu Demet,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Dereotu",sok,Cemberlıtas,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,İSTANBUL
Dereotu,Dereotu Adet,Markasız,"Yeşillikler, Meyve Ve Sebzeler, Yeşillikl",hakmar,Valide  Üsküdar,17.95,"17,95 ₺/adet",24.06.2025 10:19,0,İSTANBUL
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Halil Rıfat Paşa Caddesi Konak Izmir,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,İZMİR
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Nil Cad Kocasinan Kayseri,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,KAYSERİ
Dereotu,Dereotu Adet,Markasız,"Yeşillikler, Meyve Ve Sebzeler, Yeşillikl",hakmar,Gültepe  Izmit,17.95,"17,95 ₺/adet",24.06.2025 10:19,0,KOCAELİ
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Mamuriye Meram Konya,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,KONYA
Dereotu,Dereotu Demet,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Dereotu",sok,Adapazarı Paye,19.9,"19,90 ₺/adet",24.06.2025 10:19,0,KONYA
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Hidayet Malatya,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,MALATYA
Dereotu,Dereotu Demet,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Dereotu",sok,Malatya Ilyas Mah,19.9,"19,90 ₺/adet",24.06.2025 10:19,0,MALATYA
Dereotu,Dereotu Demet,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Dereotu",sok,Mardin Keyfi Seyran,19.9,"19,90 ₺/adet",24.06.2025 10:19,0,MARDİN
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Orman Park Adapazarı Sakarya,13.9,"13,90 ₺/adet",24.06.2025 10:19,0,SAKARYA
Dereotu,Dereotu Adet,Markasız,"Yeşillikler, Meyve Ve Sebzeler, Yeşillikl",hakmar,Adakuleadapazarı,17.95,"17,95 ₺/adet",24.06.2025 10:19,0,SAKARYA
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Samsun Atakent Bulvarı Süper,17.9,"17,90 ₺/adet",24.06.2025 10:19,0,SAMSUN
Dereotu,Dereotu Demet,Markasız,"Otlar-yeşi̇lli̇kler, Sebzeler, Dereotu",sok,Sivas Mşehit Akyüz,19.9,"19,90 ₺/adet",24.06.2025 10:19,0,SİVAS
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Trabzon Vardarlar Süper,17.9,"17,90 ₺/adet",24.06.2025 10:19,0,TRABZON
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Erek Dağı Ipekyolu Van,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,VAN
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Zonguldak Demırpark Avm,15.9,"15,90 ₺/adet",24.06.2025 10:19,0,ZONGULDAK
Dereotu,Dereotu,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Şht Ramazan Akbulut Merkez Aksaray,22.9,"22,90 ₺/adet",24.06.2025 10:19,0,AKSARAY
