,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Adana Türkmenbaşı Süper,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,ADANA
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Mithatpaşa Çankaya Ankara,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,ANKARA
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Ankara Çankaya Esat Cad,34.9,"34,90 ₺/kg",24.06.2025 10:19,0,ANKARA
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Ismetpaşa Caddesi Muratpaşa Antalya,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,ANTALYA
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Antalya Narencıye Süper,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,ANTALYA
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Kozdibi Merkez Aydın,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,AYDIN
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Aydın Mımar Sınan Süper,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,AYDIN
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Elif Sare Karesi Balıkesir,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,BALIKESİR
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Hocaalizade Mah Osmangazi Bursa,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,BURSA
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Bursa Nılüfer Kanunı Cad Süpe,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,BURSA
Kabak,Kabak Dolmalık Top,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Bursa Kent Meydanı Süper,59.95,"59,95 ₺/kg",24.06.2025 10:19,0,BURSA
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Çınar Pamukkale Denizli,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,DENİZLİ
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Denızlı Ünıversıte Süper,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,DENİZLİ
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Yenişehir Yenişehir Diyarbakır,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,DİYARBAKIR
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Kombina Yakutiye Erzurum,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,ERZURUM
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Eskışehır Yedıler Süper,34.9,"34,90 ₺/kg",24.06.2025 10:19,0,ESKİŞEHİR
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",sok,Kurtlusoğuksu Mah,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,HATAY
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",hakmar,Selamlıüsküdar,24.95,"24,95 ₺/kg",24.06.2025 10:19,0,İSTANBUL
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Kadırga Fatih Istanbul,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,İSTANBUL
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Istanbul Fatıh Mını,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,İSTANBUL
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",sok,Cemberlıtas,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,İSTANBUL
Kabak,Kabak Siyah,Markasız,"Meyvelerı Yenen Sebz, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Cıhangır Gurme,49.95,"49,95 ₺/kg",24.06.2025 10:19,0,İSTANBUL
Kabak,Bal Kabağı,Markasız,"Normal Se, Meyve Ve Sebzeler, Sebzeler, Mevsi̇m Sebzeleri̇ İşleti̇ci̇, Kabak Kg.işletici, Normal Sebzeler, Sebzeler Işletici",sok,Cemberlıtas,49.9,"49,90 ₺/kg",24.06.2025 10:19,0,İSTANBUL
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Halil Rıfat Paşa Caddesi Konak Izmir,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,İZMİR
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Izmır Park Avm Süper,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,İZMİR
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Stadyum Merkez Kars,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,KARS
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Kulepark Merkez Kastamonu,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,KASTAMONU
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Hastaneler Kocasinan Kayseri,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,KAYSERİ
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",hakmar,Seyyid  Izmit,24.95,"24,95 ₺/kg",24.06.2025 10:19,0,KOCAELİ
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Taşköprü Derince Kocaeli,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,KOCAELİ
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",sok,Kocaeli Üniversite,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,KOCAELİ
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Balık Hali Meram Konya,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,KONYA
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",sok,Adapazarı Paye,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,KONYA
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Hüseyinbey Battalgazi Malatya,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,MALATYA
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Ravza Artuklu Mardin,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,MARDİN
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",hakmar,Adakuleadapazarı,24.95,"24,95 ₺/kg",24.06.2025 10:19,0,SAKARYA
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Adapazarı Serdıvan Cadde 54 Sü,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,SAKARYA
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Kurşunlu Ilkadım Samsun,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,SAMSUN
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Samsun Gürbüz,39.9,"39,90 ₺/kg",24.06.2025 10:19,0,SAMSUN
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",sok,Sivas Sait Paşa,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,SİVAS
Kabak,Kabak ,Markasız,"Normal Se, Meyve Ve Sebzeler, Patlıcan-kabak, Sebze, Normal Sebzeler",a101,Çiftlikönü Süleymanpaşa Tekirdağ,42.9,"42,90 ₺/kg",24.06.2025 10:19,0,TEKİRDAĞ
Kabak,Kabak Sakız,Markasız,"Meyvelerı Yenen Sebz, Mevsi̇m Sebzeleri̇, Sebzeler, Taze Gıdalar, Kabak, Sebze, Meyve Ve Sebze",carrefour,Tekırdağ Değırmenaltı Mını,34.9,"34,90 ₺/kg",24.06.2025 10:19,0,TEKİRDAĞ
