,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kakaolu Toz İçecekler,Nesquik Kakaolu Süt 6x180 ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Gıda, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",migros,Yeni Vilayet M Migros,143.95,"133,29 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik Kakaolu Süt 6x180 ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Gıda, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",carrefour,Adana Türkmenbaşı Süper,145.5,"134,72 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik Çilekli Süt 180 Ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Gıda, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",migros,Yeni Vilayet M Migros,29.75,"165,28 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik Çilekli Süt 180 Ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Gıda, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",carrefour,Adana Seyhan Çınarlı,30.0,"166,67 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik Kakaolu Süt 180 Ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Gıda, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",migros,Yeni Vilayet M Migros,29.75,"165,28 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik Kakaolu Süt 180 Ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Gıda, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",carrefour,Adana Seyhan Çınarlı,30.0,"166,67 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik quik Muz Aromalı Süt 180 ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Gıda, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",migros,Yeni Vilayet M Migros,29.75,"165,28 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik Laktozsuz Şeker İlavesiz Kakaolu Süt 180 ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Gıda, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",migros,Yeni Vilayet M Migros,34.5,"191,67 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik Laktozsuz Şeker ilavesiz Kakaolu Süt 6x180 ml,Nesquik,"Uzun Ömürlü Süt, Aromalı Süt, Süt, Süt Yoğurt Ve Günlük Paketli",migros,Yeni Vilayet M Migros,186.95,"173,10 ₺/lt",24.06.2025 10:19,0,ADANA
Kakaolu Toz İçecekler,Nesquik quik Kakaolu Toz 180 gr,Nesquik,"Kuru Gıdalar, Sıcak Çikolata, Gıda, Kahve/çay Ve Di̇ğer, Çıkolatalı Içecekler, Çay Ve Sıcak İçecekler, Içecekler",carrefour,Adana Türkmenbaşı Süper,77.5,"430,56 ₺/kg",24.06.2025 10:19,0,ADANA
