,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",sok,Adana Seyhan Kurtuluş,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,ADANA
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Adana Seyhan Çınarlı,9.9,"9,90 ₺/adet",24.06.2025 10:19,0,ADANA
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",migros,Ankara Kolej M Mıgros,9.95,"9,95 ₺/adet",24.06.2025 10:19,0,ANKARA
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",sok,Çankaya Izmir Cadde,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,ANKARA
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Ankara Çankaya Esat Cad,9.9,"9,90 ₺/adet",24.06.2025 10:19,0,ANKARA
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Sakarya Caddesi Çankaya Ankara,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,ANKARA
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",migros,Mjet Kaleiçi Antalya,15.95,"15,95 ₺/adet",24.06.2025 10:19,0,ANTALYA
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",sok,Antalya Subaşı,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,ANTALYA
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Ismetpaşa Caddesi Muratpaşa Antalya,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,ANTALYA
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",migros,Yedieylül Mhefeler Aydın M,12.95,"12,95 ₺/adet",24.06.2025 10:19,0,AYDIN
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Aydın Mımar Sınan Süper,9.9,"9,90 ₺/adet",24.06.2025 10:19,0,AYDIN
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",migros,Balıkesir Eskiterminal M,13.95,"13,95 ₺/adet",24.06.2025 10:19,0,BALIKESİR
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",sok,Balıkesir Lisesi,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,BALIKESİR
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Akıncılar Karesi Balıkesir,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,BALIKESİR
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",migros,Mjet Kükürtlü Bursa,13.95,"13,95 ₺/adet",24.06.2025 10:19,0,BURSA
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",sok,Meridyen Avm,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,BURSA
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Bursa Nılüfer Kanunı Cad Süpe,9.9,"9,90 ₺/adet",24.06.2025 10:19,0,BURSA
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Pınarbaşı Cad Osmangazi Bursa,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,BURSA
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",migros,5m Horizon Garden Avm Denizli,12.95,"12,95 ₺/adet",24.06.2025 10:19,0,DENİZLİ
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Denızlı Ünıversıte Süper,9.9,"9,90 ₺/adet",24.06.2025 10:19,0,DENİZLİ
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Gürcan  Pamukkale De,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,DENİZLİ
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",migros,Mjet Diyarbakır Ofis,15.95,"15,95 ₺/adet",24.06.2025 10:19,0,DİYARBAKIR
Maydanoz,Maydanoz Demet,Markasız,"Otlar-yeşi̇lli̇kler, Üretim Ürünleri Meyve Sebze, Yeşillik, Sebzeler, Maydanoz, Salatalık Yeşi̇lli̇kler",sok,Diyarbakır Ofis,16.9,"16,90 ₺/adet",24.06.2025 10:19,0,DİYARBAKIR
Maydanoz,Maydanoz,Markasız,"Meyve Ve Sebzeler, Yeşillik, Otlar, Taze Gıdalar, Sebze, Meyve Ve Sebze",a101,Yenişehir Yenişehir Diyarbakır,9.9,"9,90 ₺/adet",24.06.2025 10:19,0,DİYARBAKIR
