,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kek,Kek Muzlu Ülker 8 Kek Kutu 28x18g,Ulker,"170705-kremalı Kek, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,79.0,"2,82 ₺/adet",26.06.2025 10:23,0,İSTANBUL
Kek,Kek Çikolatalı & muzlu 55 gr 8 Kek,Ülker,"Tatlı Bisküvi Kek Gofret, Gıda, Bi̇sküvi̇, Kek Ve Mamalar, Atıştırmalık, Bisküvi Ve Çikolata, 170705-kremalı Kek, 17-grup Spot, Kek, Kuru Gıdalar, Kekler, Bi̇sküvi̇ler, 1707-bi̇sküvi̇-çi̇kolata, Dolgulu Kekler, Mini Kek",bim,Sinanağafatih,6.5,"118,18 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Kek Çikolatalı & muzlu 55 gr 8 Kek,Ülker,"Tatlı Bisküvi Kek Gofret, Gıda, Bi̇sküvi̇, Kek Ve Mamalar, Atıştırmalık, Bisküvi Ve Çikolata, 170705-kremalı Kek, 17-grup Spot, Kek, Kuru Gıdalar, Kekler, Bi̇sküvi̇ler, 1707-bi̇sküvi̇-çi̇kolata, Dolgulu Kekler, Mini Kek",migros,Mjet Yenikapı Ido Istanbul,9.95,"180,91 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Kek Çikolatalı & muzlu 55 gr 8 Kek,Ülker,"Tatlı Bisküvi Kek Gofret, Gıda, Bi̇sküvi̇, Kek Ve Mamalar, Atıştırmalık, Bisküvi Ve Çikolata, 170705-kremalı Kek, 17-grup Spot, Kek, Kuru Gıdalar, Kekler, Bi̇sküvi̇ler, 1707-bi̇sküvi̇-çi̇kolata, Dolgulu Kekler, Mini Kek",carrefour,Istanbul Cıhangır Gurme,10.4,"189,09 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Kek Orman Meyveli 162g Ülker 8 Kek Mini,Ulker,"170705-kremalı Kek, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,37.5,"37.500,00 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Kek Orman Meyveli Çikolata 55 gr 8 Kek,Ülker,"Bi̇sküvi̇, Kek Ve Mamalar, Kekler, Dolgulu Kekler",a101,Atlamataşı Fatih Istanbul,8.75,"159,09 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Kaplamalı Kek Çikolatalı 40g Papita,Markasız,"170705-kremalı Kek, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,13.0,"325,00 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Kek Süt Dilimi 4x28g Kinder,Kinder,"170705-kremalı Kek, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,45.0,"11,25 ₺/adet",26.06.2025 10:22,0,İSTANBUL
Kek,Kek Bıscolata Pıa Browni 108g,Biscolata,"170706-kaplamalı Kek, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,45.0,"45.000,00 ₺/kg",26.06.2025 10:22,0,İSTANBUL
Kek,Kek Meyveli 35 gr Torku,Torku,"Kek, Gıda, Bi̇sküvi̇, Kek Ve Mamalar, Kekler, Atıştırmalık, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Meyveli Kekler",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,6.9,"197,14 ₺/kg",26.06.2025 10:22,0,İSTANBUL
Kek,Kek Meyveli 45 gr Kekspır,Kekspır,"Bi̇sküvi̇, Kek Ve Mamalar, Kekler, Meyveli Kekler",a101,Atlamataşı Fatih Istanbul,5.5,"122,22 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Kek Kakaolu 45 gr Browni,Eti,"Kakaolu Kekler, Bi̇sküvi̇, Kek Ve Mamalar, Kekler",a101,Atlamataşı Fatih Istanbul,11.75,"261,11 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Kek Tiramisu 45 gr Olala,Ülker,"Bi̇sküvi̇, Kek Ve Mamalar, Kekler, Dolgulu Kekler",a101,Atlamataşı Fatih Istanbul,20.0,"444,44 ₺/kg",26.06.2025 10:23,0,İSTANBUL
Kek,Peki Kakaolu Kek 200 gr,Peki,"Kek, Baton Kek, Atıştırmalık",sok,Mercan Mheminönü,25.0,"125,00 ₺/kg",26.06.2025 10:22,0,İSTANBUL
Kek,Peki Kakaolu Kek 40 gr,Peki,"Kek, Atıştırmalık, Mini Kek",sok,Mercan Mheminönü,5.0,"125,00 ₺/kg",26.06.2025 10:22,0,İSTANBUL
