,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kabak Çekirdeği,Kabak Çekirdeği ,Markasız,"Çarsı, Taze Gıdalar, Kuru Yemıs, Meyve Ve Sebze",carrefour,Istanbul Fatıh Mını,299.9,"299,90 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Iç Kabak Çekirdeği 70g Simbat,Simbat,"17-grup Spot, 1705-kuruyemi̇ş, 170505-kuruyemiş",bim,Sinanağafatih,24.5,"350,00 ₺/kg",02.07.2025 10:19,0,İSTANBUL
Kabak Çekirdeği,Kabak Çekirdeği 200 gr Nutfest,Nutfest,"170504-çekirdek, 17-grup Spot, 1705-kuruyemi̇ş",bim,Sinanağafatih,47.5,"237,50 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Kabak Çekirdeği 200 gr Nutova,Nutova,"170504-çekirdek, 17-grup Spot, 1705-kuruyemi̇ş",bim,Sinanağafatih,57.5,"287,50 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Amigo Kabak Çekirdeği 200 gr,Amigo,"Kabak Çekirdeği, Çerez, Kuru Yemi̇şler",sok,Mercan Mheminönü,59.5,"297,50 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Carrefour Kabak Çekirdeği 200 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Çekirdek",carrefour,Istanbul Fatıh Mını,59.9,"299,50 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Migros Kabak Çekirdeği 200 gr,Migros,"Pl Kuruyemi̇ş, Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Kabak Çekirdeği, Pl Çerez",migros,Mjet Cağaloğlu Istanbul,59.5,"297,50 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Kabak Çekirdeği 200 Gr Simbat,Simbat,"05-kuruyemiş, 0502-kuruyemi̇ş, 050201-çekirdek",bim,Sinanağafatih,59.5,"297,50 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Kuruyemiş Kabak Çekirdeği 200 gr Çerezya,Çerezya,"Kabak Çekirdeği, Kuruyemi̇şler, Kuruyemiş",a101,Atlamataşı Fatih Istanbul,59.5,"297,50 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Tadım Kavrulmuş Kabak Çekirdeği 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kabak Çekirdeği, Kuruyemi̇şler, Çekirdek, Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Mjet Yenikapı Aksaray Istanbul,89.95,"499,72 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Tadım Kavrulmuş Kabak Çekirdeği 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kabak Çekirdeği, Kuruyemi̇şler, Çekirdek, Kuruyemiş, Çerez, Kuruyemi̇ş",a101,Atlamataşı Fatih Istanbul,89.95,"499,72 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Tadım Kavrulmuş Kabak Çekirdeği 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Kabak Çekirdeği, Kuruyemi̇şler, Çekirdek, Kuruyemiş, Çerez, Kuruyemi̇ş",carrefour,Istanbul Fatıh Mını,90.9,"505,00 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Master Nut Kabak Çekirdeği 120 gr,Master,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Çekirdek",carrefour,Istanbul Cıhangır Gurme,54.5,"454,17 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Tarım Kredi Kabak Çekirdeği Çiğ 250 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kabak Çekirdek, Kuruyemi̇ş-kurutulmuş Meyve",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,79.9,"319,60 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Tadım Kavrulmuş Tuzsuz Kabak Çekirdeği 180 gr,Tadım,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Kabak Çekirdeği, Gıda, Kuruyemi̇şler, Çekirdek, Çerez, Kuruyemi̇ş",carrefour,Istanbul Fatıh Mını,90.9,"505,00 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Tarım Kredi Kabak Çekirdeği Kavrulmuş Tuzsuz 250 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kabak Çekirdek, Kuruyemi̇ş-kurutulmuş Meyve",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,74.0,"296,00 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Kabak Çekirdeği,Tarım Kredi Kabak Çekirdeği Kavrulmuş Az Tuzlu 250 Gr,Tarım Kredi,"Gıda, Atıştırmalık, Kabak Çekirdek, Kuruyemi̇ş-kurutulmuş Meyve",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,74.0,"296,00 ₺/kg",02.07.2025 10:20,0,İSTANBUL
