,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Krem Peynir,Krem Peynir 270 gr Teksüt,Teksüt,"Krem Peynirler, 170221-sürülebilir Peynir, 1702-sütlü Mamuller, Süt Ve Süt Ürünleri, 17-grup Spot, Krem Peyn",bim,Sinanağafatih,44.5,"164,81 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Krem Peynir 270 gr Teksüt,Teksüt,"Krem Peynirler, 170221-sürülebilir Peynir, 1702-sütlü Mamuller, Süt Ve Süt Ürünleri, 17-grup Spot, Krem Peyn",hakmar,Valide  Üsküdar,64.5,"238,89 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Peynir Krem 400 gr Torku,Torku,"Süt Ve Sütlü Mamüller, Krem Peynir, Gıda, Peyni̇r, Süt Ve Süt Ürünleri, Sürülebilir Peynir",a101,Kadırga Fatih Istanbul,79.0,"197,50 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Peynir Krem 400 gr Torku,Torku,"Süt Ve Sütlü Mamüller, Krem Peynir, Gıda, Peyni̇r, Süt Ve Süt Ürünleri, Sürülebilir Peynir",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,89.9,"224,75 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Peynir Krem 400 gr Pınar,Pınar,"Süt Ve Sütlü Mamüller, Krem Peynir, Sürülebilir Peynir",a101,Atlamataşı Fatih Istanbul,99.0,"247,50 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Bahçıvan Krem Peynir 300 gr,Bahçıvan,"Peynır, Peynir Paket, Gıda, Krem Peynir, Self Servıs, Peynir Günlük Servis Ve Katı Yağ, Eritme Peynir, Eri̇tme Peyni̇r",carrefour,Istanbul Cıhangır Gurme,92.5,"308,33 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,İçim Krem Peynir 300 Gr,Ülker,"Peynır, Peynir Paket, Gıda, Peyni̇r, Krem Peynir, Peynir Günlük Servis Ve Katı Yağ, Self Servıs, Süt Ve Süt Ürünleri, Eri̇tme Peyni̇r, Eritme Peynir",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,69.9,"233,00 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,İçim Krem Peynir 300 Gr,Ülker,"Peynır, Peynir Paket, Gıda, Peyni̇r, Krem Peynir, Peynir Günlük Servis Ve Katı Yağ, Self Servıs, Süt Ve Süt Ürünleri, Eri̇tme Peyni̇r, Eritme Peynir",carrefour,Istanbul Fatıh Mını,79.95,"266,50 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Peynir Krem 500 gr Milkten,Milkten,"Süt Ve Sütlü Mamüller, Krem Peynir, Sürülebilir Peynir",a101,Atlamataşı Fatih Istanbul,79.0,"158,00 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Migros Krem Peynir 500 gr,Migros,"Pl Peynir Paket, Pl Krem Peynir, Pl Eri̇tme Peyni̇r, Pl Peynir Günlük Servis Ve Katı Yağ",migros,Mjet Cağaloğlu Istanbul,79.9,"159,80 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Tarsüt Krem Peynir 300 Gr,Tarım Kredi,"Gıda, Peyni̇r, Krem Peynir, Süt Ve Süt Ürünleri",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,49.5,"165,00 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Pınar Krem Peyniri 300 gr,Pınar,"Peynır, Peynir Paket, Krem Peynir, Gıda, Peynir Günlük Servis Ve Katı Yağ, Self Servıs, Eri̇tme Peyni̇r, Eritme Peynir",carrefour,Istanbul Karaköy Mını,92.75,"309,17 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Krem Peynir 500 gr Aktek,Aktek,"Krem Peynirler, Süt Ve Süt Ürünleri, Krem Peyn",hakmar,Valide  Üsküdar,79.0,"158,00 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,Peynir Krem 500 gr Aknaz,Aknaz,"0207-sürülebi̇li̇r&üçgen Peyni̇r, 020702-sürülebilir Peynir, 02-sütlü Mamuller",bim,Sinanağafatih,79.0,"158,00 ₺/kg",10.07.2025 10:20,0,İSTANBUL
Krem Peynir,"Peynir Krem 24*12,5gr Karper Piknik",Karper ,"1702-sütlü Mamuller, 170220-eritme Peynir, 17-grup Spot",bim,Sinanağafatih,69.0,"2,88 ₺/adet",10.07.2025 10:20,0,İSTANBUL
