,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Tahıl Gevreği,Tahıl Gevreği Kakaolu 2x700 gr Nesquik,Nestle,"Gevrekler, Kahvaltılıklar, Kakaolu Mısır Gevr.",a101,Atlamataşı Fatih Istanbul,129.0,"92,14 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Mısır Gevreği Çikolatalı 1000 gr Nesquik,Nesquik,"060501-mısır&buğday Gevreği, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gevrekler, Gıda, 0605-gevrek, Hububat Ürünleri̇, Kahvaltılıklar, 06-kahvaltılıklar, Kakaolu Mısır Gevr., Kakaolu Gevrekler, Gevr Müsli Ve Granol",a101,Atlamataşı Fatih Istanbul,99.0,"99,00 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Mısır Gevreği Çikolatalı 1000 gr Nesquik,Nesquik,"060501-mısır&buğday Gevreği, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gevrekler, Gıda, 0605-gevrek, Hububat Ürünleri̇, Kahvaltılıklar, 06-kahvaltılıklar, Kakaolu Mısır Gevr., Kakaolu Gevrekler, Gevr Müsli Ve Granol",bim,Sinanağafatih,210.0,"210,00 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Mısır Gevreği Çikolatalı 1000 gr Nesquik,Nesquik,"060501-mısır&buğday Gevreği, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gevrekler, Gıda, 0605-gevrek, Hububat Ürünleri̇, Kahvaltılıklar, 06-kahvaltılıklar, Kakaolu Mısır Gevr., Kakaolu Gevrekler, Gevr Müsli Ve Granol",migros,Mjet Cağaloğlu Istanbul,210.95,"210,95 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Nestle Nesquik Mısır Gevreği 450 Gr,Nesquik,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Atıştırmalık, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Hububat Ürünleri̇, Kahvaltılıklar, Kakaolu Gevrekler, Gevr Müsli Ve Granol, Yetişkin Gevrek",carrefour,Istanbul Fatıh Molla Güranı,97.48,"216,62 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Nestle Nesquik Mısır Gevreği 450 Gr,Nesquik,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Atıştırmalık, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Hububat Ürünleri̇, Kahvaltılıklar, Kakaolu Gevrekler, Gevr Müsli Ve Granol, Yetişkin Gevrek",tarim_kredi,Istanbul Fatih Yedikule Imrahor,127.9,"284,22 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Nestle Nesquik Mısır Gevreği 450 Gr,Nesquik,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Atıştırmalık, Bi̇sküvi̇-kek-gofret-çi̇kolata-ci̇ps-kgevrek, Hububat Ürünleri̇, Kahvaltılıklar, Kakaolu Gevrekler, Gevr Müsli Ve Granol, Yetişkin Gevrek",migros,Mjet Beyazıt Mithatpaşa,137.95,"306,56 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Mısır Gevreği 310 gr Çokokare Nesquik,Nesquik,"060501-mısır&buğday Gevreği, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gevrekler, Gıda, Hububat Ürünleri̇, 0605-gevrek, Kahvaltılıklar, 06-kahvaltılıklar, Kakaolu Mısır Gevr., Gevr Müsli Ve Granol, Kakaolu Gevrekler",bim,Marmarayfatih,92.5,"298,39 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Mısır Gevreği 310 gr Çokokare Nesquik,Nesquik,"060501-mısır&buğday Gevreği, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gevrekler, Gıda, Hububat Ürünleri̇, 0605-gevrek, Kahvaltılıklar, 06-kahvaltılıklar, Kakaolu Mısır Gevr., Gevr Müsli Ve Granol, Kakaolu Gevrekler",a101,Atlamataşı Fatih Istanbul,92.5,"298,39 ₺/kg",25.07.2025 07:10,0,İSTANBUL
Tahıl Gevreği,Mısır Gevreği 310 gr Çokokare Nesquik,Nesquik,"060501-mısır&buğday Gevreği, Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gevrekler, Gıda, Hububat Ürünleri̇, 0605-gevrek, Kahvaltılıklar, 06-kahvaltılıklar, Kakaolu Mısır Gevr., Gevr Müsli Ve Granol, Kakaolu Gevrekler",carrefour,Istanbul Fatıh Mını,92.5,"298,39 ₺/kg",25.07.2025 07:10,0,İSTANBUL
