,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Domates,Domates,Markasız,"Mevsi̇m Sebzeleri̇, 10-meyve Sebze, Meyve Ve Sebzeler, Meyve Sebze, 1001-meyve Sebzeler, Üretim Ürünleri Meyve Sebze, Sebzeler, Meyve-sebze, 100102-karpuz, Sebze, Domates",migros,Mjet Beyazıt Mithatpaşa,39.5,"39,50 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Domates,Markasız,"Mevsi̇m Sebzeleri̇, 10-meyve Sebze, Meyve Ve Sebzeler, Meyve Sebze, 1001-meyve Sebzeler, Üretim Ürünleri Meyve Sebze, Sebzeler, Meyve-sebze, 100102-karpuz, Sebze, Domates",tarim_kredi,Istanbul Fatih Market,39.9,"39,90 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Domates,Markasız,"Mevsi̇m Sebzeleri̇, 10-meyve Sebze, Meyve Ve Sebzeler, Meyve Sebze, 1001-meyve Sebzeler, Üretim Ürünleri Meyve Sebze, Sebzeler, Meyve-sebze, 100102-karpuz, Sebze, Domates",a101,Saraç Ishak Fatih Istanbul,44.5,"44,50 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Domates,Markasız,"Mevsi̇m Sebzeleri̇, 10-meyve Sebze, Meyve Ve Sebzeler, Meyve Sebze, 1001-meyve Sebzeler, Üretim Ürünleri Meyve Sebze, Sebzeler, Meyve-sebze, 100102-karpuz, Sebze, Domates",sok,Kadırga,44.5,"44,50 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Domates,Markasız,"Mevsi̇m Sebzeleri̇, 10-meyve Sebze, Meyve Ve Sebzeler, Meyve Sebze, 1001-meyve Sebzeler, Üretim Ürünleri Meyve Sebze, Sebzeler, Meyve-sebze, 100102-karpuz, Sebze, Domates",bim,Marmarayfatih,49.5,"49,50 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Pembe Domates,Markasız,"Mevsi̇m Sebzeleri̇, 10-meyve Sebze, Meyvelerı Yenen Sebz, 1001-meyve Sebzeler, Sebzeler, Taze Gıdalar, 100102-karpuz, Sebze, Domates, Meyve Ve Sebze",bim,Sinanağafatih,59.0,"59,00 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Pembe Domates,Markasız,"Mevsi̇m Sebzeleri̇, 10-meyve Sebze, Meyvelerı Yenen Sebz, 1001-meyve Sebzeler, Sebzeler, Taze Gıdalar, 100102-karpuz, Sebze, Domates, Meyve Ve Sebze",sok,Cemberlıtas,69.9,"69,90 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Pembe Domates,Markasız,"Mevsi̇m Sebzeleri̇, 10-meyve Sebze, Meyvelerı Yenen Sebz, 1001-meyve Sebzeler, Sebzeler, Taze Gıdalar, 100102-karpuz, Sebze, Domates, Meyve Ve Sebze",carrefour,Istanbul Karaköy Mını,75.9,"75,90 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Salkım Domates,Markasız,"Mevsi̇m Sebzeleri̇, Meyvelerı Yenen Sebz, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Domates, Meyve Ve Sebze",carrefour,Istanbul Fatıh Mını,29.9,"29,90 ₺/kg",29.07.2025 09:15,0,İSTANBUL
Domates,Salkım Domates,Markasız,"Mevsi̇m Sebzeleri̇, Meyvelerı Yenen Sebz, Meyve Ve Sebzeler, Sebzeler, Taze Gıdalar, Sebze, Domates, Meyve Ve Sebze",sok,Mercan Mheminönü,49.9,"49,90 ₺/kg",29.07.2025 09:15,0,İSTANBUL
