,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Elma,Elma Starking,Markasız,"Yumuşak Çekirdekli, 10-meyve Sebze, Meyveler, Meyve Sebze, Sert Meyveler, 1001-meyve Sebzeler, Meyve-sebze, Taze Gıdalar, 100101-muz, Elma, Meyve, Meyve Ve Sebze",bim,Sinanağafatih,49.0,"49,00 ₺/kg",31.07.2025 07:59,0,İSTANBUL
Elma,Elma Starking,Markasız,"Yumuşak Çekirdekli, 10-meyve Sebze, Meyveler, Meyve Sebze, Sert Meyveler, 1001-meyve Sebzeler, Meyve-sebze, Taze Gıdalar, 100101-muz, Elma, Meyve, Meyve Ve Sebze",carrefour,Istanbul Fatıh Molla Güranı,79.9,"79,90 ₺/kg",31.07.2025 07:59,0,İSTANBUL
Elma,Elma Starking,Markasız,"Yumuşak Çekirdekli, 10-meyve Sebze, Meyveler, Meyve Sebze, Sert Meyveler, 1001-meyve Sebzeler, Meyve-sebze, Taze Gıdalar, 100101-muz, Elma, Meyve, Meyve Ve Sebze",sok,Cemberlıtas,84.9,"84,90 ₺/kg",31.07.2025 07:59,0,İSTANBUL
Elma,Elma Granny,Markasız,"Meyveler, Sert Meyveler, Meyve Sebze, Meyve-sebze, Elma, Meyve",sok,Kumkapı,89.9,"89,90 ₺/kg",31.07.2025 07:59,0,İSTANBUL
Elma,Elma Amasya,Markasız,"Meyveler, Sert Meyveler, Elma",sok,Cemberlıtas,84.9,"84,90 ₺/kg",31.07.2025 07:59,0,İSTANBUL
Elma,Elma Fuji,Markasız,"Yumuşak Çekirdekli, Meyveler, Sert Meyveler, Taze Gıdalar, Elma, Meyve Ve Sebze, Meyve",sok,Cemberlıtas,84.9,"84,90 ₺/kg",31.07.2025 07:58,0,İSTANBUL
Elma,Elma Golden,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Sinanağafatih,39.0,,31.07.2025 07:58,0,İSTANBUL
Elma,Elma Eko,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Sinanağafatih,29.0,"29,00 ₺/kg",31.07.2025 07:59,0,İSTANBUL
Elma,Elma Fuji Dökme,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Sinanağafatih,49.0,,31.07.2025 07:58,0,İSTANBUL
Elma,Elma Granny Smith,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Sinanağafatih,49.0,,31.07.2025 07:58,0,İSTANBUL
Elma,Elma Grany Smith,Markasız,"Yumuşak Çekirdekli, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Istanbul Fatıh Molla Güranı,99.9,"99,90 ₺/kg",31.07.2025 07:59,0,İSTANBUL
