,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kaşar Peyniri,Tahsildaroğlu Eski Kaşar,Tahsildaroğlu,"Sarküterı, Taze Gıdalar, Süt Ürünlerı, Kaşar Peynir Kg",carrefour,Istanbul Cıhangır Gurme,825.0,"825,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Cihanser Kars Eski Kaşar,Cihanser,"Sarküterı, Taze Gıdalar, Süt Ürünlerı, Kaşar Peynir Kg",carrefour,Istanbul Cıhangır Gurme,790.0,"790,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Carrefour Eski Kaşar Peynir,Carrefour,"Sarküterı, Taze Gıdalar, Süt Ürünlerı, Kaşar Peynir Kg",carrefour,Istanbul Cıhangır Gurme,469.5,"469,50 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Ünal Blok Taze Kaşar,Ünal,"Sarküterı, Taze Gıdalar, Süt Ürünlerı, Kaşar Peynir Kg",carrefour,Istanbul Cıhangır Gurme,489.0,"489,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Karagöl Mut Kaşar Peyniri,Karagöl,"Sarküterı, Taze Gıdalar, Süt Ürünlerı, Kaşar Peynir Kg",carrefour,Istanbul Cıhangır Gurme,515.0,"515,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Altınkılıç Mandıra Eski Kaşar,Altınkılıç,"Sarküterı, Taze Gıdalar, Süt Ürünlerı, Kaşar Peynir Kg",carrefour,Istanbul Cıhangır Gurme,815.0,"815,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Eski Kaşar 250 gr Peysan,Markasız,"1702-sütlü Mamuller, 170222-eski Kaşar, 17-grup Spot",bim,Sinanağafatih,115.0,"460,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Kaşar Taze Binvezir 1000 Gr,Binvezir,"170223-taze Kaşar, 1702-sütlü Mamuller, 17-grup Spot",bim,Sinanağafatih,259.0,"259,00 ₺/kg",01.08.2025 08:47,0,İSTANBUL
Kaşar Peyniri,Taze Kaşar Binvezir 1000 Gr,Binvezir,"170223-taze Kaşar, 1702-sütlü Mamuller, 17-grup Spot",bim,Sinanağafatih,259.0,"259,00 ₺/kg",01.08.2025 08:47,0,İSTANBUL
Kaşar Peyniri,Kaşar Taze 1000 gr Yörükoğlu,Yörükoğlu,"170223-taze Kaşar, 1702-sütlü Mamuller, 17-grup Spot",bim,Sinanağafatih,279.0,"279,00 ₺/kg",01.08.2025 08:47,0,İSTANBUL
Kaşar Peyniri,Kaşar Taze 700 Gr Özgüllü,Özgüllü,"0208-kaşar Peyni̇r&tost Peyni̇r, 02-sütlü Mamuller, 020802-taze Kaşar",bim,Sinanağafatih,259.0,"370,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Peynir Kaşar 500 gr Tarabya,Tarabya,"Süt Ve Sütlü Mamüller, Kaşar Peynir, Taze Kaşar",a101,Atlamataşı Fatih Istanbul,159.5,"319,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Peynir Kaşar 225 gr Tarabya,Tarabya,"Süt Ve Sütlü Mamüller, Kaşar Peynir, Taze Kaşar",a101,Atlamataşı Fatih Istanbul,73.5,"326,67 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Peynir Kaşar 1 kg Tarabya,Tarabya,"Süt Ve Sütlü Mamüller, Kaşar Peynir, Taze Kaşar",a101,Atlamataşı Fatih Istanbul,290.0,"290,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Peynir Kaşar 1 kg Muratbey,Muratbey,"Süt Ve Sütlü Mamüller, Kaşar Peynir, Taze Kaşar",a101,Atlamataşı Fatih Istanbul,379.0,"379,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Kaşar Peyniri,Peynir Kaşar 400 gr Ekici,Ekici,"Süt Ve Sütlü Mamüller, Peynir Paket, Kaşar Peyni̇ri̇, Kaşar Peynir, Peynir Günlük Servis Ve Katı Yağ, Taze Kaşar",a101,Eminönü Fatih Istanbul,155.0,"387,50 ₺/kg",01.08.2025 08:48,0,İSTANBUL
