,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Toz Şeker,Migros Toz Şeker 1 kg,Migros,"Pl Şeker, Pl Şeker Çeşi̇tleri̇, Pl Bakliyat Bulgur Pirinç Şeker, Pl Toz Şekerler",migros,Mjet Cağaloğlu Istanbul,43.95,"43,95 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Nar Toz Şeker 5 kg,Nar,"Bakliyat Bulgur Pirinç Şeker, Şeker, Toz Şekerler, Bakli̇yat Ve Kuru Gıdalar, Şeker Çeşi̇tleri̇, Toz Şeker",migros,Mjet Yenikapı Aksaray Istanbul,180.0,"36,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Nar Toz Şeker 5 kg,Nar,"Bakliyat Bulgur Pirinç Şeker, Şeker, Toz Şekerler, Bakli̇yat Ve Kuru Gıdalar, Şeker Çeşi̇tleri̇, Toz Şeker",a101,Atlamataşı Fatih Istanbul,219.5,"43,90 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Carrefour Toz Şeker 5 kg,Carrefour,"Kuru Gıdalar, Gıda, Mutfak Şekerleri, Mutfak Şekerleri̇",carrefour,Istanbul Karaköy Mını,189.5,"37,90 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Bor Toz Şeker 1 kg,Bor Şeker,"Şeker, Gıda, Toz Şekerler, Mutfak Şekerleri, 04-bakliyat Ve Unlu Mamuller, Bakli̇yat Ve Kuru Gıdalar, 0411-şeker, Mutfak Şekerleri̇, Toz Şeker, Bakliyat Bulgur Pirinç Şeker, Kuru Gıdalar, 041101-toz Şeker, Şeker Çeşi̇tleri̇",bim,Sinanağafatih,40.0,"40,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Balküpü Toz Şeker 1 kg,Balküpü,"Kuru Gıdalar, Şeker, Gıda, Mutfak Şekerleri, Bakli̇yat Ve Kuru Gıdalar, Mutfak Şekerleri̇, Toz Şeker",carrefour,Istanbul Fatıh Molla Güranı,45.5,"45,50 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Torku Toz Şeker 5 kg,Torku,"Bakliyat Bulgur Pirinç Şeker, Şeker, Toz Şekerler, Bakli̇yat Ve Kuru Gıdalar, Şeker Çeşi̇tleri̇, Toz Şeker",migros,Mjet Yenikapı Ido Istanbul,199.95,"39,99 ₺/kg",01.08.2025 08:47,0,İSTANBUL
Toz Şeker,Migros Toz Şeker 5 kg,Migros,"Pl Şeker, Pl Şeker Çeşi̇tleri̇, Pl Bakliyat Bulgur Pirinç Şeker, Pl Toz Şekerler",migros,Mjet Yenikapı Ido Istanbul,188.5,"37,70 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Altınküp Toz Şeker 5 kg,Altınküp,"Şeker, Mutfak Şekerleri, Beyaz Toz Şeker",sok,Mercan Mheminönü,189.0,"37,80 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Irmak Toz Şeker 3 kg,Irmak,"Bakliyat Bulgur Pirinç Şeker, Şeker, Toz Şekerler, Bakli̇yat Ve Kuru Gıdalar, Şeker Çeşi̇tleri̇, Toz Şeker",migros,Mjet Beyazıt Mithatpaşa,131.95,"43,98 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Irmak Toz Şeker 5 kg,Irmak,"Bakliyat Bulgur Pirinç Şeker, Şeker, Toz Şekerler, Bakli̇yat Ve Kuru Gıdalar, Şeker Çeşi̇tleri̇, Toz Şeker",migros,Mjet Cağaloğlu Istanbul,214.95,"42,99 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Bor Toz Şeker 5 kg,Bor Şeker,"Bakliyat Bulgur Pirinç Şeker, Kuru Gıdalar, Şeker, Gıda, Toz Şekerler, Mutfak Şekerleri, Bakli̇yat Ve Kuru Gıdalar, Mutfak Şekerleri̇, Şeker Çeşi̇tleri̇, Toz Şeker",migros,Mjet Cağaloğlu Istanbul,249.95,"49,99 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Nar Toz Şeker 1 kg,Nar,"Bakliyat Bulgur Pirinç Şeker, Şeker, Toz Şekerler, 041101-toz Şeker, 04-bakliyat Ve Unlu Mamuller, Bakli̇yat Ve Kuru Gıdalar, 0411-şeker, Şeker Çeşi̇tleri̇, Toz Şeker",bim,Sinanağafatih,40.0,"40,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Nar Toz Şeker 1 kg,Nar,"Bakliyat Bulgur Pirinç Şeker, Şeker, Toz Şekerler, 041101-toz Şeker, 04-bakliyat Ve Unlu Mamuller, Bakli̇yat Ve Kuru Gıdalar, 0411-şeker, Şeker Çeşi̇tleri̇, Toz Şeker",a101,Atlamataşı Fatih Istanbul,49.5,"49,50 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Destan Toz Şeker 5 kg,Destan,"Şeker, Gıda, Temel Gıda Ürünleri, Toz",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,199.5,"39,90 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Carrefour Toz Şeker 3 kg,Carrefour,"Kuru Gıdalar, Gıda, Mutfak Şekerleri, Mutfak Şekerleri̇",carrefour,Istanbul Cıhangır Gurme,125.9,"41,97 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Carrefour Toz Şeker 1 kg,Carrefour,"Kuru Gıdalar, Gıda, Mutfak Şekerleri, Mutfak Şekerleri̇",carrefour,Istanbul Fatıh Mını,44.95,"44,95 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Toz Şeker 1 kg Albeyaz,Albeyaz,"041101-toz Şeker, 04-bakliyat Ve Unlu Mamuller, 0411-şeker",bim,Sinanağafatih,40.0,"40,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Toz Şeker 1 kg Gül Aras,Markasız,"041101-toz Şeker, 04-bakliyat Ve Unlu Mamuller, 0411-şeker",bim,Sinanağafatih,40.0,"40,00 ₺/kg",01.08.2025 08:47,0,İSTANBUL
Toz Şeker,Migros Toz Şeker 1 kg (pl4),Migros,"Pl Şeker, Pl Şeker Çeşi̇tleri̇, Pl Bakliyat Bulgur Pirinç Şeker, Pl Toz Şekerler",migros,Mjet Beyazıt Mithatpaşa,43.95,"43,95 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Migros Toz Şeker 3 kg (pl1),Migros,"Pl Şeker, Pl Şeker Çeşi̇tleri̇, Pl Bakliyat Bulgur Pirinç Şeker, Pl Toz Şekerler",migros,Mjet Cağaloğlu Istanbul,123.5,"41,17 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Kayseri Şeker Toz Şeker 5 kg,Kayseri Şeker,"Bakliyat Bulgur Pirinç Şeker, Şeker, Toz Şekerler, Şeker Çeşi̇tleri̇",migros,Mjet Beyazıt Mithatpaşa,209.95,"41,99 ₺/kg",01.08.2025 08:47,0,İSTANBUL
Toz Şeker,Tatküpü Kristal Toz Şeker 5000 gr,Tatküpü,"Kuru Gıdalar, Gıda, Mutfak Şekerleri, Mutfak Şekerleri̇",carrefour,Istanbul Taksım Asmalı Mescıt,177.1,"35,42 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Carrefour Kahverengi Toz Şeker 500 Gr,Carrefour,"Kuru Gıdalar, Gıda, Mutfak Şekerleri, Mutfak Şekerleri̇",carrefour,Istanbul Fatıh Mını,65.0,"130,00 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Tarım Kredi Toz Şeker 1 kg,Tarım Kredi,"Şeker, Gıda, Temel Gıda Ürünleri, Toz",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,42.9,"42,90 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Tarım Kredi Toz Şeker 2 kg,Tarım Kredi,"Şeker, Gıda, Temel Gıda Ürünleri, Toz",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,82.5,"41,25 ₺/kg",01.08.2025 08:48,0,İSTANBUL
Toz Şeker,Türk Şeker Kristal Toz Şeker 5 kg,Türk Şeker,"Şeker, Gıda, Toz Şekerler, 04-bakliyat Ve Unlu Mamuller, Mutfak Şekerleri, Beyaz Toz Şeker, 0411-şeker, Mutfak Şekerleri̇, Bakliyat Bulgur Pirinç Şeker, Kuru Gıdalar, 041101-toz Şeker, Temel Gıda Ürünleri, Şeker Çeşi̇tleri̇, Toz",migros,Mjet Beyazıt Mithatpaşa,173.95,"34,79 ₺/kg",01.08.2025 08:47,0,İSTANBUL
