,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Fındık Ezmesi,Fiskobirlik Fındık Ezmesi 180 gr,Fiskobirlik,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Fındık Ezmesı, Sürülebilirler, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler, Fındık Ezmesi, Krem Çikolata Ve Ezmeler",sok,Mercan Mheminönü,129.0,"716,67 ₺/kg",02.08.2025 11:48,0,İSTANBUL
Fındık Ezmesi,Fiskobirlik Fındık Ezmesi 180 gr,Fiskobirlik,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Fındık Ezmesı, Sürülebilirler, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler, Fındık Ezmesi, Krem Çikolata Ve Ezmeler",migros,Mjet Bankalar Cad Karaköy Ist,131.95,"733,06 ₺/kg",02.08.2025 11:48,0,İSTANBUL
Fındık Ezmesi,Fiskobirlik Fındık Ezmesi 180 gr,Fiskobirlik,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Fındık Ezmesı, Sürülebilirler, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler, Fındık Ezmesi, Krem Çikolata Ve Ezmeler",carrefour,Istanbul Cıhangır Gurme,137.25,"762,50 ₺/kg",02.08.2025 11:48,0,İSTANBUL
Fındık Ezmesi,Fındık Ezmesi 350 gr Sarelle,Sarelle,"Ezmeler, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Fındık Ezmesı, Sürülebilirler, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler, Fındık Ezmesi",migros,Mjet Cağaloğlu Istanbul,239.95,"685,57 ₺/kg",02.08.2025 11:48,0,İSTANBUL
Fındık Ezmesi,Fındık Ezmesi 350 gr Sarelle,Sarelle,"Ezmeler, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Fındık Ezmesı, Sürülebilirler, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler, Fındık Ezmesi",carrefour,Istanbul Fatıh Molla Güranı,242.25,"692,14 ₺/kg",02.08.2025 11:48,0,İSTANBUL
Fındık Ezmesi,Fiskobirlik Fındık Ezmesi 300 gr,Fiskobirlik,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Fındık Ezmesı, Sürülebilirler, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler",migros,Mjet Cağaloğlu Istanbul,213.45,"711,50 ₺/kg",02.08.2025 11:49,0,İSTANBUL
Fındık Ezmesi,Fiskobirlik Fındık Ezmesi 300 gr,Fiskobirlik,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Gıda, Fındık Ezmesı, Sürülebilirler, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler",carrefour,Istanbul Fatıh Mını,214.75,"715,83 ₺/kg",02.08.2025 11:49,0,İSTANBUL
Fındık Ezmesi,Şeker Ilavesiz %70 Fındık Ezmesi Çotonak,Markasız,"170713-diğer Ezmeler, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,165.0,,02.08.2025 11:49,0,İSTANBUL
Fındık Ezmesi,Nutmaster Kakaolu Fındık Ezmesi 700 gr,Nutmaster,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler, Kakao Fındık Kremaları",migros,Mjet Beyazıt Mithatpaşa,126.75,"181,07 ₺/kg",02.08.2025 11:49,0,İSTANBUL
Fındık Ezmesi,Fındık Ezmesi 320 gr Cam Findux,Findux,"Ezmeler, Kahvaltılıklar, Fındık Ezmesi",a101,Atlamataşı Fatih Istanbul,109.0,"340,62 ₺/kg",02.08.2025 11:48,0,İSTANBUL
Fındık Ezmesi,Sarelle Bitter Fındık ezmesi 350 gr,Sarelle,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Sürülebilirler, Kahvaltılıklar, Krem Çi̇kolata Ve Ezmeler, Kakao Fındık Kremaları",migros,Mjet Cağaloğlu Istanbul,159.95,"457,00 ₺/kg",02.08.2025 11:48,0,İSTANBUL
Fındık Ezmesi,Tarım Kredi Fındık Ezmesi 300 gr,Tarım Kredi,"Gıda, Bal-helva-reçel-krema-ezme, Şarküteri-kahvaltılık, Fındık Ezme",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,109.0,"363,33 ₺/kg",02.08.2025 11:48,0,İSTANBUL
