,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Bal,Bal Çam 460 gr Balçiçek,Balçiçek,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Sinanağafatih,99.0,"215,22 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Balparmak Apitera Propolis + Bal 7x7 gr,Balparmak,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Bal Ürünleri̇, Gıda, Kahvaltılıklar, Apiterapi Sağlık Ürünleri, Ballar-tahın Pekmez, Ballar, Çiçek Balı",carrefour,Istanbul Cıhangır Gurme,187.0,"3.816,33 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Bal Süzme Çiçek 850 gr Seğmen,Seğmen,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Sinanağafatih,225.0,"264,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Arıvital Yayla Petek Bal 520 Gr,Arıvital,"Gıda, Bal-helva-reçel-krema-ezme, Şarküteri-kahvaltılık, Petek Bal",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,199.0,"382,69 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Bal Çam 460 gr Kozan Kooperatif,Kozan Kooperatif,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Sinanağafatih,99.0,"215,22 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Bal Süzme Çiçek 850 gr Balçiçek,Balçiçek,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Sinanağafatih,225.0,"264,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Pınar Bal Çiçek Pratik Kahvaltı 20 gr,Pınar,"Gıda, Self Servıs, Günlük, Ballar",carrefour,Istanbul Fatıh Mını,13.0,"650,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Bal Çiçek Çıt Kapak 460 gr Balparmak,Balparmak,"06-kahvaltılıklar, 060301-süzme Bal, 0603-bal",bim,Sinanağafatih,245.0,"532,61 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Tarım Kredi Süzme Çiçek Bal Kavanoz 850 Gr,Tarım Kredi,"Gıda, Bal-helva-reçel-krema-ezme, Şarküteri-kahvaltılık, Çiçek Balı",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,225.0,"264,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Tarım Kredi Çıtkapak Süzme Çiçek Bal 280 Gr,Tarım Kredi,"Gıda, Bal-helva-reçel-krema-ezme, Çam Balı, Şarküteri-kahvaltılık",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,84.5,"301,79 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,S. S. 745 Say. Kozan Bal Kooperatifi Çiçek Balı 850 gr,S.S.745,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Bal Ürünleri̇, Kahvaltılıklar, Çicek Balları",migros,Mjet Cağaloğlu Istanbul,289.95,"341,12 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Çiçek Balı 850 gr Burmella,Burmella,"Kahvaltılıklar, Bal, Çiçek Balı",a101,Kadırga Fatih Istanbul,225.0,"264,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Çam Balı 460 gr Balgurmesi,Bal Gurmesi,"Kahvaltılıklar, Çam Balı, Bal",a101,Atlamataşı Fatih Istanbul,113.0,"245,65 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Çiçek Balı 850 gr Binboğa,Binboğa,"Gıda, Kahvaltılıklar, Bal-helva-reçel-krema-ezme, 06-kahvaltılıklar, Şarküteri-kahvaltılık, Bal, 060301-süzme Bal, Çiçek Balı, 0603-bal",bim,Sinanağafatih,225.0,"264,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Kovandan Çiçek Balı 850 Gr,Kovandan,"Kahvaltılıklar, Ballar, Çiçek Balı",sok,Mercan Mheminönü,225.0,"264,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Kovandan Çiçek Balı 460 Gr,Kovandan,"Kahvaltılıklar, Ballar, Çiçek Balı",sok,Mercan Mheminönü,113.0,"245,65 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Migros Çiçek Balı 460 gr,Migros,"Pl Çicek Balları, Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Bal Ürünleri̇, Pl Kahvaltılıklar",migros,Mjet Yenikapı Ido Istanbul,113.0,"245,65 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Balparmak Çam Balı 850 gr,Balparmak,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Bal Ürünleri̇, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Çam Balları",migros,Mjet Cağaloğlu Istanbul,625.0,"735,29 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Balparmak Çam Balı 850 gr,Balparmak,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Bal Ürünleri̇, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Çam Balları",carrefour,Istanbul Cıhangır Gurme,650.0,"764,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Migros Çiçek Balı 850 gr,Migros,"Pl Çicek Balları, Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Bal Ürünleri̇, Pl Kahvaltılıklar",migros,Mjet Beyazıt Mithatpaşa,225.0,"264,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Çiçek Balı 850 gr Oğul Arı,Oğul Arı,"Kahvaltılıklar, Bal, Çiçek Balı",a101,Atlamataşı Fatih Istanbul,225.0,"264,71 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Balparmak Yayla Çiçek Balı 460 gr,Balparmak,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Bal Ürünleri̇, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Çicek Balları",carrefour,Istanbul Cıhangır Gurme,399.9,"869,35 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Balparmak Balkovan Çiçek Balı 460 Gr,Balparmak,"Kahvaltılıklar, Ballar, Çiçek Balı",sok,Mercan Mheminönü,245.0,"532,61 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Anavarza Süzme Çiçek Balı 220 gr,Anavarza,"Kuru Gıdalar, Gıda, Kahvaltılıklar, Ballar-tahın Pekmez, Ballar, Çiçek Balı",carrefour,Istanbul Cıhangır Gurme,166.25,"755,68 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Kooperatifi Balı Rafadan Tayfa 40 gr,Kooperatif Balı,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Bal Ürünleri̇, Kahvaltılıklar, Çicek Balları",migros,Mjet Cağaloğlu Istanbul,39.95,"998,75 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Bal,Tarım Kredi Çiçek Balı 450 Gr,Tarım Kredi,"Gıda, Bal-helva-reçel-krema-ezme, Şarküteri-kahvaltılık, Çiçek Balı",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,119.9,"266,44 ₺/kg",04.08.2025 07:42,0,İSTANBUL
