,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Margarin,Margarin Kase 600 gr Bizim,Bizim,"Margarin Kase, Katı Ve Sıvı Yağlar, Katı Yağlar",a101,Kadırga Fatih Istanbul,49.5,"82,50 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Bizim Paket Margarin 250 Gr,Bizim,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, Margarin, 09-katı Ve Sıvı Yağlar, Katı Sıvı Yağlar, Margarin Paket, Katı Ve Sıvı Yağlar, Self Servıs, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, Peynir Günlük Servis Ve Katı Yağ, 0901-margari̇n, Günlük, Sıvı Yağ Ve Margarinler",migros,Mjet Bankalar Cad Karaköy Ist,25.0,"100,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Bizim Paket Margarin 250 Gr,Bizim,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, Margarin, 09-katı Ve Sıvı Yağlar, Katı Sıvı Yağlar, Margarin Paket, Katı Ve Sıvı Yağlar, Self Servıs, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, Peynir Günlük Servis Ve Katı Yağ, 0901-margari̇n, Günlük, Sıvı Yağ Ve Margarinler",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,34.5,"138,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Bizim Paket Margarin 250 Gr,Bizim,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, Margarin, 09-katı Ve Sıvı Yağlar, Katı Sıvı Yağlar, Margarin Paket, Katı Ve Sıvı Yağlar, Self Servıs, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, Peynir Günlük Servis Ve Katı Yağ, 0901-margari̇n, Günlük, Sıvı Yağ Ve Margarinler",bim,Mercanfatih,35.0,"140,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Bizim Paket Margarin 250 Gr,Bizim,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, Margarin, 09-katı Ve Sıvı Yağlar, Katı Sıvı Yağlar, Margarin Paket, Katı Ve Sıvı Yağlar, Self Servıs, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, Peynir Günlük Servis Ve Katı Yağ, 0901-margari̇n, Günlük, Sıvı Yağ Ve Margarinler",a101,Atlamataşı Fatih Istanbul,35.0,"140,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Bizim Paket Margarin 250 Gr,Bizim,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, Margarin, 09-katı Ve Sıvı Yağlar, Katı Sıvı Yağlar, Margarin Paket, Katı Ve Sıvı Yağlar, Self Servıs, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, Peynir Günlük Servis Ve Katı Yağ, 0901-margari̇n, Günlük, Sıvı Yağ Ve Margarinler",sok,Mercan Mheminönü,35.0,"140,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Bizim Paket Margarin 250 Gr,Bizim,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, Margarin, 09-katı Ve Sıvı Yağlar, Katı Sıvı Yağlar, Margarin Paket, Katı Ve Sıvı Yağlar, Self Servıs, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, Peynir Günlük Servis Ve Katı Yağ, 0901-margari̇n, Günlük, Sıvı Yağ Ve Margarinler",carrefour,Istanbul Fatıh Mını,40.75,"163,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Bizim Kase Margarin 250 gr,Bizim,"Gıda, Peynir Günlük Servis Ve Katı Yağ, Margarin Paket, Kase Margarin, Self Servıs, Günlük, Margari̇n, Margarın",carrefour,Istanbul Cıhangır Gurme,51.9,"207,60 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Margarin Kase 400 gr Teremyağ,Teremyağ,"Margarin Kase, Katı Ve Sıvı Yağlar, Katı Yağlar",a101,Atlamataşı Fatih Istanbul,74.5,"186,25 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Margarin Kase 250 gr Vera,Vera,"Margarin Kase, Katı Ve Sıvı Yağlar, Katı Yağlar",a101,Atlamataşı Fatih Istanbul,21.5,"86,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Evin Kase Margarin 250 Gr,Evin,"Katı Sıvı Yağlar, Margarin, Kase Margarin, Margari̇n",sok,Mercan Mheminönü,21.5,"86,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Margarin Paket 250 gr Sana,Sana,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, 09-katı Ve Sıvı Yağlar, Margarin, Katı Sıvı Yağlar, Self Servıs, Margarin Paket, Katı Ve Sıvı Yağlar, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, 0901-margari̇n, Günlük, Peynir Günlük Servis Ve Katı Yağ, Sıvı Yağ Ve Margarinler",carrefour,Istanbul Fatıh Molla Güranı,27.5,"110,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Margarin Paket 250 gr Sana,Sana,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, 09-katı Ve Sıvı Yağlar, Margarin, Katı Sıvı Yağlar, Self Servıs, Margarin Paket, Katı Ve Sıvı Yağlar, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, 0901-margari̇n, Günlük, Peynir Günlük Servis Ve Katı Yağ, Sıvı Yağ Ve Margarinler",sok,Mercan Mheminönü,34.5,"138,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Margarin Paket 250 gr Sana,Sana,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, 09-katı Ve Sıvı Yağlar, Margarin, Katı Sıvı Yağlar, Self Servıs, Margarin Paket, Katı Ve Sıvı Yağlar, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, 0901-margari̇n, Günlük, Peynir Günlük Servis Ve Katı Yağ, Sıvı Yağ Ve Margarinler",a101,Atlamataşı Fatih Istanbul,34.5,"138,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Margarin Paket 250 gr Sana,Sana,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, 09-katı Ve Sıvı Yağlar, Margarin, Katı Sıvı Yağlar, Self Servıs, Margarin Paket, Katı Ve Sıvı Yağlar, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, 0901-margari̇n, Günlük, Peynir Günlük Servis Ve Katı Yağ, Sıvı Yağ Ve Margarinler",migros,Mjet Yenikapı Aksaray Istanbul,34.5,"138,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Margarin,Margarin Paket 250 gr Sana,Sana,"Gıda, Bi̇tki̇sel Yağ Ve Margari̇nler, 09-katı Ve Sıvı Yağlar, Margarin, Katı Sıvı Yağlar, Self Servıs, Margarin Paket, Katı Ve Sıvı Yağlar, Paket Margarin, Margari̇n, 090101-margarin Paket, Katı Yağlar, Margarın, 0901-margari̇n, Günlük, Peynir Günlük Servis Ve Katı Yağ, Sıvı Yağ Ve Margarinler",bim,Marmarayfatih,34.5,"138,00 ₺/kg",04.08.2025 07:42,0,İSTANBUL
