,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Sakız,Sakız Falım 3 lü,Falım,"0707-çi̇kletler, 07-bisküvi-çikolata., 070701-sakızlar",bim,Sinanağafatih,29.0,"9,67 ₺/adet",07.08.2025 19:50,0,İSTANBUL
Sakız,Sakız Damla 3x7g Yıldız Ülker,Ulker,"170716-sakızlar, 17-grup Spot, 1707-bi̇sküvi̇-çi̇kolata",bim,Sinanağafatih,19.0,"6,33 ₺/adet",07.08.2025 19:51,0,İSTANBUL
Sakız,Toybox Oyuncaklı Sakız 5 Gr,Toybox,"Şekerleme-sakız, Gıda, Atıştırmalık, Sakız, Şekerli Sakız",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,15.0,"3.000,00 ₺/kg",07.08.2025 19:50,0,İSTANBUL
Sakız,Vivident Damla Sakız 26 Gr,Vivident,"Sakızlar, Kuru Gıdalar, Gıda, Sekerleme, Aromalı Sakızlar, Şerit Sakız, Sakız, Çi̇kolata Ve Şekerlemeler, Şekerleme Ve Fmcg Premium Ürünler, Şeri̇t Sakız",migros,Mjet Yenikapı Ido Istanbul,42.95,"1.651,92 ₺/kg",07.08.2025 19:50,0,İSTANBUL
Sakız,Sakız Damla 67 gr Vivident,Vivident,"Sakızlar, Kuru Gıdalar, Aromalı Sakızlar, Gıda, Sekerleme, Çi̇kolata Ve Şekerlemeler, Sakız, Draje Sakız, Şekerleme Ve Fmcg Premium Ürünler",migros,Mjet Cağaloğlu Istanbul,79.95,"1.193,28 ₺/kg",07.08.2025 19:50,0,İSTANBUL
Sakız,Toybox Metre Sakız 28 Gr,Toybox,"Şekerleme-sakız, Gıda, Atıştırmalık, Sakız",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,15.0,"535,71 ₺/kg",07.08.2025 19:51,0,İSTANBUL
Sakız,Sakız Karbonatlı 3x8 gr Falım Işıl,Falım,"Sakızlar, Şekersiz  Sakızlar, Çi̇kolata Ve Şekerlemeler",a101,Kadırga Fatih Istanbul,29.0,"1.208,33 ₺/kg",07.08.2025 19:51,0,İSTANBUL
Sakız,Sakız Yuvarlak 21 gr Pıt Pıt,Pıt Pıt,"Sakızlar, Aromalı Sakızlar, Çi̇kolata Ve Şekerlemeler",a101,Kadırga Fatih Istanbul,6.0,"285,71 ₺/kg",07.08.2025 19:51,0,İSTANBUL
Sakız,Vivident Şerit Sakız Extra 26 gr,Vivident,"Sakızlar, Şekerleme-sakız, Kuru Gıdalar, Gıda, Aromalı Sakızlar, Sekerleme, Şerit Sakız, Atıştırmalık, Sakız, Çi̇kolata Ve Şekerlemeler, Şekerleme Ve Fmcg Premium Ürünler, Şeri̇t Sakız",migros,Mjet Yenikapı Ido Istanbul,42.95,"1.651,92 ₺/kg",07.08.2025 19:50,0,İSTANBUL
Sakız,Sakız Sekersiz Bublefresh 27 gr Tipitip,Tipitip,"Sakızlar, Aromalı Sakızlar, Çi̇kolata Ve Şekerlemeler",a101,Kadırga Fatih Istanbul,20.0,"740,74 ₺/kg",07.08.2025 19:50,0,İSTANBUL
Sakız,Sakız Meyve Aromalı 27 gr Tipitip,Tipitip,"Sakızlar, Aromalı Sakızlar, Çi̇kolata Ve Şekerlemeler",a101,Türkeli Fatih Istanbul,20.0,"740,74 ₺/kg",07.08.2025 19:50,0,İSTANBUL
Sakız,Bubblicious Karışık Meyveli Sakız 38 gr,Bublicious,"Sakızlar, Kuru Gıdalar, Şekerli̇ Sakız, Aromalı Sakızlar, Gıda, Sekerleme, Sakız, Çi̇kolata Ve Şekerlemeler, Şekerleme Ve Fmcg Premium Ürünler, Şekerli Sakız",carrefour,Istanbul Karaköy Mını,25.25,"664,47 ₺/kg",07.08.2025 19:50,0,İSTANBUL
Sakız,Bubblicious Karışık Meyveli Sakız 38 gr,Bublicious,"Sakızlar, Kuru Gıdalar, Şekerli̇ Sakız, Aromalı Sakızlar, Gıda, Sekerleme, Sakız, Çi̇kolata Ve Şekerlemeler, Şekerleme Ve Fmcg Premium Ürünler, Şekerli Sakız",migros,Mjet Cağaloğlu Istanbul,26.45,"696,05 ₺/kg",07.08.2025 19:50,0,İSTANBUL
Sakız,Sakız Meyve Aromalı 76 Gr Oneo,Oneo,"Sakızlar, Kuru Gıdalar, Gıda, Sekerleme, Dolgulu Draje Sakız, 170716-sakızlar, 17-grup Spot, Sakız, Draje Sakız, 1707-bi̇sküvi̇-çi̇kolata, Şekerleme Ve Fmcg Premium Ürünler",bim,Sinanağafatih,45.0,"592,11 ₺/kg",07.08.2025 19:51,0,İSTANBUL
Sakız,Sakız Meyve Aromalı 76 Gr Oneo,Oneo,"Sakızlar, Kuru Gıdalar, Gıda, Sekerleme, Dolgulu Draje Sakız, 170716-sakızlar, 17-grup Spot, Sakız, Draje Sakız, 1707-bi̇sküvi̇-çi̇kolata, Şekerleme Ve Fmcg Premium Ürünler",migros,Mjet Bankalar Cad Karaköy Ist,64.95,"854,61 ₺/kg",07.08.2025 19:51,0,İSTANBUL
Sakız,Sakız Meyve Aromalı 76 Gr Oneo,Oneo,"Sakızlar, Kuru Gıdalar, Gıda, Sekerleme, Dolgulu Draje Sakız, 170716-sakızlar, 17-grup Spot, Sakız, Draje Sakız, 1707-bi̇sküvi̇-çi̇kolata, Şekerleme Ve Fmcg Premium Ürünler",carrefour,Istanbul Taksım Asmalı Mescıt,91.9,"1.209,21 ₺/kg",07.08.2025 19:51,0,İSTANBUL
Sakız,Sakız Muz Çilek 25 gr Şıpsevdi,Şıpsevdi,"Sakızlar, Aromalı Sakızlar, Çi̇kolata Ve Şekerlemeler",a101,Kadırga Fatih Istanbul,12.5,"500,00 ₺/kg",07.08.2025 19:50,0,İSTANBUL
